name;price;quantity;category;fromCity;isAvailable;views
marvelous face wash;74.17;585;cosmetics;Бильбао;False;33421
superb shampoo;16.61;786;cosmetics;Сория;True;88033
pleasant screws;54.24;553;tools;Прага;False;3705
attractive conditioner;47.97;728;cosmetics;Тбилиси;False;14134
delightful nail polish;83.29;659;cosmetics;Алма-Ата;False;41576
gorgeous makeup remover;21.92;520;cosmetics;Ташкент;False;57822
Logitech Wireless Keyboard;53203;12;Мартоса;False;38210
sublime lip balm;91.5;1039;cosmetics;Вильявисиоса;True;22875
tasteful paint;51.09;777;tools;Малага;True;3203
Intel Core i5;40192;58;Хихон;True;30367
beautiful body wash;77.23;851;cosmetics;Эль-Пуэрто-де-Санта-Мария;True;24665
marvelous nails;97.69;636;tools;Подгорица;False;97995
glamorous kiwifruit;80.28;565;fruit;Лас-Росас;True;93882
magnificent raspberry;22.17;1017;fruit;Артейхо;False;53573
attractive scaffolding;14.66;828;tools;Тирана;False;25965
Brother DCP-T510W;85249;33;Эль-Пуэрто-де-Санта-Мария;True;97809
elegant exfoliator;60.7;626;cosmetics;Сан-Себастьян;False;16754
tasteful facial cleanser;80.18;533;cosmetics;Фигерас;True;55873
pretty raspberry;70.08;904;fruit;Астана;True;75366
marvelous lotion;73.46;914;cosmetics;Фигерас;True;85041
pleasant shampoo;47.92;743;cosmetics;Семана;False;82033
Corsair HS60;55862;64;Кордова;True;14122
tasteful lip balm;10.8;685;cosmetics;Сеговия;False;84170
stylish manicure set;35.91;490;cosmetics;Кордова;True;38791
AMD Ryzen 5;98929;70;Ереван;False;69698
HP LaserJet Pro;37352;36;Мерида;False;41632
amazing plum;74.19;1001;fruit;Луго;True;68044
AMD Ryzen 5;78983;11;Алма-Ата;True;8051
pretty nail file;50.17;486;cosmetics;Прага;True;23734
amazing trim;67.31;841;tools;Алькала-де-Энарес;False;12191
tasteful moisturizer;95.85;947;cosmetics;Белград;False;95007
AMD Ryzen 5;28206;29;София;False;86498
pleasant serum;17.33;788;cosmetics;Хельсинки;False;2318
magnificent cherry;50.72;705;fruit;Артейхо;True;82220
magnificent paint;92.46;503;tools;Афины;True;49487
luxurious orange;81.49;822;fruit;Вальядолид;False;3543
tasteful face wash;91.37;808;cosmetics;Пласенсия;True;87006
HP LaserJet Pro;18842;22;Афины;False;92699
pleasant nail polish;97.33;796;cosmetics;Ташкент;True;94372
elegant pedicure set;56.65;686;cosmetics;Луго;False;93676
delightful nail polish;18.58;910;cosmetics;Тудела;True;78770
stylish night cream;86.67;955;cosmetics;Сьюдад-Реаль;True;89352
HP LaserJet Pro;43401;24;Тудела;True;27969
exquisite apple;82.73;586;fruit;Семана;True;76760
marvelous doors;11.75;1039;tools;Хихон;False;31955
Ricoh Aficio MP;53173;42;Сантьяго-де-Компостела;True;75036
nice nail polish;60.68;894;cosmetics;Белград;True;44852
amazing baby shampoo;59.5;523;cosmetics;Бильбао;True;79398
NVIDIA GeForce GTX 1050;80401;70;Хихон;True;72666
pleasant flooring;13.7;578;tools;Тарраса;False;70678
