name;method;param
superb moisturizer;remove;
WD Blue HDD;price_percent;0.17
pleasant conditioner;quantity_add;2
gorgeous electrical;price_percent;0.17
pleasant nails;quantity_sub;-53
elegant baby shampoo;price_abs;78.76
Ricoh Aficio MP;remove;
stylish cherry;price_percent;0.2
refined nail file;available;False
pretty wallpaper;quantity_sub;-106
magnificent banana;available;True
stylish wallpaper;available;False
magnificent strawberry;available;False
pretty glue;price_percent;-0.1
delightful serum;quantity_add;96
magnificent scaffolding;price_percent;0.11
superb windows;price_abs;-5
marvelous nails;price_abs;7
gorgeous electrical;quantity_sub;-31
pretty papaya;price_abs;3
luxurious perfume;quantity_sub;-25
NVIDIA GeForce GTX 1050;available;True
Razer Variau;quantity_sub;-12
trendy perfume;available;True
stylish apple;remove;
glamorous scaffolding;remove;
Brother DCP-T510W;available;False
pretty papaya;available;True
glamorous tile;available;False
luxurious grapes;price_percent;0.12
stylish conditioner;remove;
Kingston Canvas Select Plus;quantity_sub;-6
magnificent papaya;remove;
AMD Ryzen 5;available;True
pretty wallpaper;quantity_sub;-80
HP LaserJet Pro;price_abs;5356
Brother DCP-T510W;quantity_sub;-8
WD Blue HDD;quantity_add;2
pleasant conditioner;price_abs;-8
luxurious mango;quantity_sub;-62
Razer Variau;quantity_add;4
tasteful plum;quantity_sub;-58
trendy flooring;available;True
elegant baby shampoo;quantity_add;61
pretty pineapple;remove;
Kingston Canvas Select Plus;price_abs;2572
gorgeous electrical;price_percent;0.1
EVGA 500B 80+ BRONZE;remove;
Brother DCP-T510W;available;True
pretty wallpaper;price_percent;0.02
sublime perfume;quantity_sub;-57
refined roofing;quantity_add;104
delightful scaffolding;quantity_add;14
trendy insulation;price_percent;0.12
gorgeous insulation;available;True
HP LaserJet Pro;price_percent;0.17
glamorous moustache wax;price_abs;100.46300000000001
Brother DCP-T510W;quantity_sub;-1
Ricoh Aficio MP;remove;
nice grapes;quantity_add;79
Razer Variau;quantity_sub;-4
SteelSeries Arctis 7;price_percent;0.16
luxurious perfume;quantity_add;97
Ricoh Aficio MP;quantity_add;7
Epson Expression Home XP;quantity_add;2
beautiful exfoliator;remove;
glamorous scaffolding;price_abs;-3
pleasant nails;price_abs;4
superb blueberry;quantity_sub;-137
exquisite plum;quantity_sub;-44
trendy flooring;price_percent;-0.12
exquisite flooring;price_percent;-0.05
Epson Expression Home XP;available;False
trendy perfume;available;True
Razer Variau;remove;
stylish exfoliator;price_abs;1
exquisite plum;quantity_add;116
superb tape measure;remove;
pretty pineapple;available;True
luxurious drywall;remove;
AMD Ryzen 5;price_percent;0.15
pleasant conditioner;quantity_add;15
Razer Variau;available;False
sublime perfume;remove;
AMD Ryzen 5;available;True
sublime perfume;quantity_add;71
trendy insulation;price_percent;-0.17
refined bubble bath;remove;
glamorous nail polish;quantity_add;13
AMD Ryzen 5;quantity_sub;-6
NVIDIA GeForce GTX 1050;quantity_sub;-1
AMD Ryzen 5;available;True
pretty deodorant;price_abs;2
trendy insulation;price_abs;-4
Kingston Canvas Select Plus;price_percent;-0.18
Kingston Canvas Select Plus;quantity_sub;-10
amazing flooring;price_percent;-0.06
tasteful glue;price_abs;10
HP LaserJet Pro;quantity_sub;-5
