name;method;param
Samsung 970 EVO SSD;quantity_add;10
attractive paint;quantity_add;116
Logitech Wireless Keyboard;available;False
glamorous guava;price_abs;-11
delightful level;price_abs;12
attractive plum;remove;
luxurious insulation;available;True
nice chisel;price_percent;0.0
gorgeous wheelbarrow;available;True
stylish moustache wax;quantity_sub;-51
Ricoh Aficio MP;price_percent;-0.08
gorgeous nails;quantity_add;162
tasteful hair mask;quantity_add;60
beautiful axe;available;False
superb axe;available;False
nice roofing;available;True
Ricoh Aficio MP;quantity_sub;-6
NVIDIA GeForce GTX 1050;remove;
exquisite lotion;available;True
exquisite cherry;quantity_sub;-123
SteelSeries Arctis 7;quantity_add;1
Epson Expression Home XP;remove;
amazing cherry;available;True
Samsung 970 EVO SSD;price_abs;11851
Canon PIXMA;quantity_add;13
pleasant wallpaper;price_percent;0.09
glamorous serum;price_percent;0.03
luxurious body wash;remove;
luxurious nail file;price_percent;-0.07
stylish blueberry;price_abs;12
marvelous strawberry;price_percent;0.02
luxurious body wash;quantity_sub;-8
Canon PIXMA;remove;
AMD Ryzen 5;quantity_sub;-2
tasteful papaya;price_percent;-0.19
refined boysenberry;quantity_sub;-96
delightful night cream;available;False
pleasant nail file;price_abs;1
exquisite mango;price_abs;-9
superb night cream;price_percent;0.19
luxurious toner;remove;
pretty cherry;quantity_add;114
Epson Expression Home XP;quantity_sub;-10
luxurious toner;quantity_add;8
glamorous kiwifruit;quantity_sub;-157
glamorous papaya;quantity_add;159
Logitech Wireless Keyboard;available;True
Samsung 970 EVO SSD;quantity_sub;-5
pretty scaffolding;price_percent;0.18
gorgeous wheelbarrow;price_percent;0.1
nice perfume;price_abs;1
nice chisel;quantity_add;98
Logitech Wireless Keyboard;price_abs;12356
gorgeous serum;remove;
delightful kiwifruit;price_percent;-0.1
Corsair HS60;quantity_add;10
glamorous kiwifruit;remove;
delightful plum;quantity_sub;-78
attractive mango;quantity_add;9
Logitech Wireless Keyboard;available;True
Logitech Wireless Keyboard;quantity_add;1
Ricoh Aficio MP;quantity_add;5
exquisite baby shampoo;quantity_add;32
nice chisel;quantity_sub;-69
delightful plum;available;False
Samsung 970 EVO SSD;quantity_add;2
gorgeous serum;remove;
superb lip balm;remove;
trendy face wash;quantity_sub;-70
Epson Expression Home XP;quantity_sub;-5
superb peach;price_abs;-9
magnificent eye cream;price_percent;0.2
Razer Variau;price_percent;0.17
glamorous guava;quantity_add;28
pleasant eye cream;price_abs;5
HP LaserJet Pro;quantity_add;3
beautiful axe;quantity_add;176
attractive mango;price_abs;15
beautiful axe;remove;
pleasant roofing;quantity_sub;-85
magnificent face wash;quantity_sub;-118
NVIDIA GeForce GTX 1050;price_percent;-0.12
magnificent baby shampoo;quantity_add;114
tasteful strawberry;price_abs;76.63700000000001
trendy shovel;quantity_sub;-69
exquisite cherry;price_abs;75.31700000000001
beautiful baseboard;quantity_add;54
delightful plum;price_abs;3
beautiful toner;remove;
Epson Expression Home XP;quantity_sub;-1
NVIDIA GeForce GTX 1050;remove;
beautiful axe;price_percent;-0.14
glamorous serum;available;True
luxurious insulation;remove;
trendy toner;quantity_sub;-137
pleasant nail file;price_percent;-0.07
delightful doors;available;True
Intel Core i5;quantity_sub;-4
magnificent face wash;quantity_sub;-20
nice chisel;available;True
Samsung 970 EVO SSD;available;True
marvelous plumbing;quantity_add;42
gorgeous nails;price_percent;0.12
Ricoh Aficio MP;quantity_sub;-13
tasteful doors;remove;
nice perfume;price_abs;-1
pretty tile;quantity_add;117
refined cherry;price_abs;25.289
SteelSeries Arctis 7;price_abs;-7147
sublime doors;price_abs;-13
superb lip balm;quantity_add;19
attractive guava;quantity_add;57
luxurious nail file;price_percent;0.04
attractive plum;quantity_sub;-116
luxurious body wash;available;False
exquisite mango;quantity_add;4
beautiful saw;quantity_sub;-7
stylish manicure set;quantity_add;83
gorgeous wheelbarrow;remove;
magnificent face wash;remove;
AMD Ryzen 5;remove;
nice roofing;price_percent;-0.03
trendy shovel;quantity_sub;-19
elegant mango;price_abs;14
Canon PIXMA;price_percent;-0.17
beautiful peach;available;False
marvelous plum;price_percent;-0.02
pretty cherry;available;True
stylish glue;available;True
pleasant nail file;price_percent;0.04
superb melon;available;False
Corsair HS60;remove;
pretty tile;quantity_add;170
Razer Variau;price_percent;0.12
luxurious insulation;price_abs;-8
luxurious nail file;available;True
refined wheelbarrow;available;True
gorgeous wheelbarrow;available;True
Razer Variau;available;False
pretty scaffolding;price_percent;0.18
glamorous serum;quantity_add;31
Logitech Wireless Keyboard;price_percent;0.12
exquisite pedicure set;price_abs;0
SteelSeries Arctis 7;available;False
