name;method;param
marvelous doors;price_percent;0.12
Logitech Wireless Keyboard;quantity_add;7
beautiful roofing;price_abs;-2
sublime chisel;price_abs;-1
pleasant level;quantity_add;10
gorgeous plum;remove;
elegant melon;price_abs;-8
Razer Variau;available;True
Samsung 970 EVO SSD;quantity_add;1
beautiful insulation;price_percent;-0.08
pleasant bubble bath;quantity_sub;-19
Corsair HS60;available;True
HyperX DDR4 RAM;quantity_add;9
magnificent facial cleanser;quantity_sub;-75
Razer Variau;available;False
pleasant grapes;remove;
pretty apple;remove;
trendy kiwifruit;quantity_add;99
refined facial cleanser;quantity_sub;-65
beautiful roofing;quantity_add;117
EVGA 500B 80+ BRONZE;remove;
Kingston Canvas Select Plus;available;True
luxurious pedicure set;price_abs;3
attractive lip balm;available;True
luxurious baby shampoo;price_percent;0.03
luxurious pedicure set;remove;
pretty orange;quantity_sub;-106
gorgeous pedicure set;quantity_add;38
stylish facial cleanser;available;False
amazing baby shampoo;price_abs;5
elegant melon;available;True
SteelSeries Arctis 7;quantity_sub;-1
delightful moustache wax;price_abs;46.69500000000001
HyperX DDR4 RAM;price_abs;-1420
luxurious moisturizer;price_abs;-2
Intel Core i5;quantity_add;3
marvelous bubble bath;price_percent;0.12
sublime baseboard;quantity_sub;-41
Canon PIXMA;price_percent;-0.14
refined facial cleanser;available;True
Razer Variau;quantity_add;1
magnificent conditioner;remove;
marvelous manicure set;quantity_add;113
tasteful hair mask;price_percent;-0.18
nice tape measure;available;True
sublime level;remove;
elegant ladder;quantity_add;92
WD Blue HDD;remove;
beautiful moisturizer;quantity_sub;-52
pleasant plumbing;quantity_add;123
luxurious apple;price_percent;0.17
trendy pedicure set;quantity_add;73
Brother DCP-T510W;quantity_sub;-1
magnificent facial cleanser;price_abs;7
sublime chisel;quantity_sub;-120
beautiful manicure set;remove;
HP LaserJet Pro;quantity_add;1
NVIDIA GeForce GTX 1050;remove;
nice exfoliator;remove;
Samsung 970 EVO SSD;remove;
superb level;price_percent;-0.09
magnificent conditioner;price_abs;-2
Ricoh Aficio MP;price_percent;-0.19
sublime baseboard;price_abs;-4
magnificent facial cleanser;price_abs;-4
pretty lotion;available;False
trendy chisel;quantity_add;157
trendy nail file;quantity_sub;-10
exquisite raspberry;price_abs;-7
pleasant bubble bath;price_abs;2
Corsair HS60;quantity_add;3
gorgeous boysenberry;quantity_sub;-141
HP LaserJet Pro;available;True
superb banana;available;False
amazing raspberry;price_abs;8
Kingston Canvas Select Plus;quantity_add;5
glamorous hammer;quantity_add;103
luxurious moisturizer;price_percent;-0.18
sublime papaya;price_abs;14.234
SteelSeries Arctis 7;quantity_add;6
pleasant bubble bath;available;False
delightful peach;price_abs;7
trendy kiwifruit;quantity_add;65
Corsair HS60;available;True
AMD Ryzen 5;price_percent;0.07
delightful toner;quantity_sub;-81
Razer Variau;price_percent;-0.11
superb deodorant;remove;
nice exfoliator;quantity_add;49
glamorous papaya;price_abs;1
luxurious saw;quantity_sub;-65
pleasant strawberry;available;False
pleasant grapes;available;True
glamorous papaya;remove;
gorgeous plum;remove;
HyperX DDR4 RAM;quantity_sub;-5
Intel Core i5;price_abs;-3050
trendy nail polish;remove;
sublime papaya;price_percent;-0.11
magnificent conditioner;quantity_add;160
pleasant grapes;quantity_add;8
Samsung 970 EVO SSD;available;True
Kingston Canvas Select Plus;price_abs;-1244
trendy orange;available;True
luxurious pedicure set;price_percent;0.05
Razer Variau;price_percent;0.05
attractive hammer;remove;
marvelous doors;price_abs;-10
EVGA 500B 80+ BRONZE;remove;
pleasant bubble bath;price_percent;-0.09
exquisite blueberry;quantity_sub;-18
Ricoh Aficio MP;quantity_add;4
nice exfoliator;quantity_add;96
NVIDIA GeForce GTX 1050;available;True
AMD Ryzen 5;price_percent;0.09
beautiful moisturizer;quantity_sub;-30
magnificent raspberry;remove;
pretty drywall;price_abs;6
elegant moisturizer;remove;
Epson Expression Home XP;price_percent;-0.08
gorgeous boysenberry;quantity_sub;-91
nice tape measure;available;True
trendy pedicure set;price_percent;0.0
HP LaserJet Pro;quantity_sub;-7
WD Blue HDD;remove;
nice tape measure;price_percent;-0.13
pleasant night cream;quantity_add;160
Logitech Wireless Keyboard;price_percent;0.08
WD Blue HDD;quantity_add;1
AMD Ryzen 5;available;False
marvelous nail file;quantity_add;51
Razer Variau;price_abs;18275
Kingston Canvas Select Plus;quantity_sub;-1
WD Blue HDD;remove;
amazing windows;quantity_sub;-143
elegant lotion;quantity_add;54
amazing baby shampoo;quantity_add;122
nice body wash;remove;
gorgeous wallpaper;remove;
luxurious pedicure set;remove;
Samsung 970 EVO SSD;quantity_add;3
Intel Core i5;quantity_sub;-8
HP LaserJet Pro;quantity_add;1
Intel Core i5;quantity_sub;-2
delightful wallpaper;price_percent;0.02
luxurious apple;remove;
tasteful nail polish;quantity_add;120
EVGA 500B 80+ BRONZE;price_percent;-0.11
WD Blue HDD;remove;
beautiful roofing;quantity_add;104
nice body wash;quantity_sub;-182
WD Blue HDD;quantity_add;1
sublime banana;quantity_add;170
Ricoh Aficio MP;price_abs;1646
glamorous shampoo;remove;
AMD Ryzen 5;quantity_add;1
magnificent eye cream;available;True
Canon PIXMA;price_abs;8187
exquisite hair mask;remove;
superb level;remove;
Samsung 970 EVO SSD;quantity_add;6
elegant melon;available;True
attractive serum;available;True
gorgeous pedicure set;available;True
nice tape measure;price_abs;5
HyperX DDR4 RAM;price_abs;43
glamorous shampoo;available;True
magnificent ladder;price_percent;0.05
marvelous serum;quantity_add;93
luxurious moisturizer;remove;
Samsung 970 EVO SSD;quantity_add;3
marvelous doors;price_percent;0.09
beautiful moisturizer;available;True
delightful peach;price_abs;-9
WD Blue HDD;available;False
NVIDIA GeForce GTX 1050;available;True
HP LaserJet Pro;price_percent;0.02
beautiful insulation;remove;
refined papaya;available;True
HP LaserJet Pro;remove;
superb manicure set;quantity_add;9
delightful toner;quantity_add;65
trendy conditioner;quantity_sub;-101
NVIDIA GeForce GTX 1050;price_abs;-3524
NVIDIA GeForce GTX 1050;available;True
stylish facial cleanser;quantity_sub;-90
Razer Variau;price_abs;-3458
Razer Variau;quantity_sub;-9
SteelSeries Arctis 7;quantity_add;5
superb banana;remove;
amazing raspberry;quantity_sub;-8
stylish facial cleanser;remove;
delightful peach;quantity_sub;-157
pleasant level;available;False
gorgeous pedicure set;price_percent;0.05
sublime chisel;price_abs;-2
amazing raspberry;available;True
Kingston Canvas Select Plus;available;False
WD Blue HDD;price_percent;0.06
pleasant level;price_percent;0.04
gorgeous boysenberry;remove;
Samsung 970 EVO SSD;quantity_add;10
elegant melon;available;False
Corsair HS60;price_percent;-0.06
NVIDIA GeForce GTX 1050;remove;
elegant flooring;remove;
NVIDIA GeForce GTX 1050;price_abs;5815
magnificent eye cream;price_percent;0.05
attractive face wash;quantity_sub;-149
marvelous doors;remove;
pleasant bubble bath;quantity_add;24
Kingston Canvas Select Plus;price_abs;-3628
Brother DCP-T510W;quantity_sub;-5
Kingston Canvas Select Plus;remove;
stylish wallpaper;remove;
glamorous papaya;remove;
luxurious exfoliator;quantity_sub;-51
nice exfoliator;quantity_sub;-35
sublime peach;quantity_add;12
Canon PIXMA;remove;
Logitech Wireless Keyboard;quantity_sub;-5
trendy pedicure set;quantity_add;42
pretty orange;remove;
sublime banana;price_percent;-0.07
Canon PIXMA;price_percent;0.07
Epson Expression Home XP;price_percent;-0.19
Kingston Canvas Select Plus;quantity_add;6
magnificent raspberry;remove;
Intel Core i5;quantity_add;2
delightful cranberry;price_percent;-0.03
marvelous serum;remove;
superb shampoo;quantity_add;136
pretty apple;price_percent;0.15
pleasant strawberry;quantity_add;109
luxurious glue;price_abs;-12
delightful toner;quantity_sub;-25
tasteful guava;remove;
Intel Core i5;price_percent;-0.15
gorgeous apricot;remove;
superb shampoo;quantity_add;130
magnificent conditioner;quantity_sub;-172
Logitech Wireless Keyboard;price_percent;0.0
luxurious glue;remove;
Kingston Canvas Select Plus;quantity_add;4
Razer Variau;quantity_add;6
superb banana;remove;
gorgeous sunscreen;remove;
EVGA 500B 80+ BRONZE;price_abs;42211.4
superb level;price_percent;-0.02
marvelous serum;quantity_sub;-43
Ricoh Aficio MP;quantity_add;1
gorgeous pedicure set;quantity_add;100
pleasant shovel;price_percent;0.12
nice exfoliator;quantity_add;49
WD Blue HDD;price_abs;31678.9
Samsung 970 EVO SSD;price_abs;13695
elegant ladder;price_percent;0.18
Brother DCP-T510W;price_percent;0.02
trendy scaffolding;price_abs;0
trendy level;price_abs;-3
Corsair HS60;price_abs;18760
superb banana;quantity_add;102
pretty wallpaper;price_percent;0.09
pretty wheelbarrow;remove;
marvelous boysenberry;available;True
pretty apple;price_percent;0.18
magnificent conditioner;remove;
glamorous papaya;quantity_sub;-44
SteelSeries Arctis 7;remove;
sublime chisel;price_percent;0.07
tasteful siding;remove;
refined facial cleanser;price_percent;-0.15
superb shampoo;price_abs;-1
superb deodorant;quantity_add;88
SteelSeries Arctis 7;price_abs;-3805
superb banana;remove;
HyperX DDR4 RAM;price_abs;-11332
glamorous papaya;available;True
