name;method;param
exquisite conditioner;available;True
Razer Variau;available;True
trendy perfume;quantity_add;15
SteelSeries Arctis 7;price_abs;-746
sublime deodorant;price_abs;-10
delightful raspberry;quantity_add;143
EVGA 500B 80+ BRONZE;available;True
delightful raspberry;quantity_add;42
Canon PIXMA;quantity_add;1
trendy flooring;price_abs;18
amazing pedicure set;price_percent;0.16
Canon PIXMA;price_abs;-1286
trendy cranberry;quantity_sub;-122
stylish shampoo;quantity_add;130
pretty level;remove;
Logitech Wireless Keyboard;price_abs;-3486
Razer Variau;quantity_add;7
Logitech Wireless Keyboard;price_percent;-0.02
stylish shampoo;quantity_add;113
SteelSeries Arctis 7;price_percent;-0.01
tasteful peach;remove;
beautiful siding;price_percent;-0.1
superb cranberry;price_percent;-0.03
Ricoh Aficio MP;quantity_sub;-3
exquisite melon;available;False
magnificent manicure set;remove;
refined blueberry;available;False
elegant trim;remove;
pleasant insulation;quantity_add;31
Corsair HS60;quantity_add;12
Samsung 970 EVO SSD;price_abs;-707
pretty moustache wax;remove;
SteelSeries Arctis 7;remove;
Canon PIXMA;quantity_sub;-3
amazing cherry;available;False
exquisite papaya;quantity_add;99
glamorous wallpaper;price_percent;0.09
amazing nail file;remove;
Samsung 970 EVO SSD;quantity_sub;-4
glamorous plum;quantity_add;47
pleasant conditioner;price_percent;-0.01
stylish roofing;price_abs;-8
Corsair HS60;quantity_sub;-14
Logitech Wireless Keyboard;remove;
beautiful nails;remove;
delightful bubble bath;price_abs;-10
magnificent tape measure;price_abs;1
sublime hammer;price_percent;0.06
amazing grapes;remove;
exquisite melon;quantity_sub;-64
SteelSeries Arctis 7;price_percent;0.05
Ricoh Aficio MP;price_abs;-5176
marvelous papaya;quantity_add;104
trendy cranberry;price_abs;-5
HyperX DDR4 RAM;available;False
pretty baseboard;price_percent;0.12
refined blueberry;quantity_sub;-135
Brother DCP-T510W;remove;
magnificent electrical;quantity_add;6
Razer Variau;price_percent;0.18
delightful bubble bath;quantity_add;175
beautiful wallpaper;price_percent;0.12
tasteful peach;price_abs;6
pleasant saw;available;True
Canon PIXMA;available;True
marvelous manicure set;available;False
HP LaserJet Pro;remove;
WD Blue HDD;quantity_sub;-6
pretty baseboard;quantity_sub;-54
Canon PIXMA;available;True
Samsung 970 EVO SSD;price_percent;0.0
AMD Ryzen 5;quantity_sub;-8
Corsair HS60;quantity_add;7
Canon PIXMA;price_percent;-0.01
luxurious sunscreen;quantity_add;135
tasteful deodorant;remove;
stylish roofing;remove;
gorgeous cranberry;quantity_add;75
Intel Core i5;available;True
magnificent axe;quantity_add;79
pleasant shampoo;quantity_sub;-149
magnificent screws;price_abs;1
delightful moisturizer;price_abs;-3
elegant trim;quantity_sub;-59
magnificent electrical;quantity_add;142
SteelSeries Arctis 7;price_percent;-0.02
luxurious windows;price_percent;0.06
tasteful paint;quantity_add;67
magnificent electrical;quantity_add;151
luxurious sunscreen;price_abs;-8
superb nail polish;price_abs;103.433
pleasant insulation;remove;
tasteful toner;quantity_add;128
glamorous plum;quantity_sub;-110
SteelSeries Arctis 7;price_abs;79324.3
NVIDIA GeForce GTX 1050;price_abs;1807
SteelSeries Arctis 7;remove;
delightful baseboard;price_percent;-0.19
luxurious scaffolding;price_abs;3
exquisite conditioner;available;True
refined cherry;quantity_add;32
amazing grapes;available;False
HP LaserJet Pro;remove;
superb boysenberry;quantity_add;7
attractive apple;quantity_sub;-92
NVIDIA GeForce GTX 1050;remove;
beautiful level;quantity_add;46
pretty baseboard;price_percent;-0.17
magnificent manicure set;quantity_add;56
amazing nail file;quantity_add;186
trendy toothpaste;available;True
luxurious guava;price_percent;0.08
AMD Ryzen 5;remove;
Logitech Wireless Keyboard;remove;
EVGA 500B 80+ BRONZE;available;True
amazing glue;quantity_sub;-85
superb cranberry;remove;
marvelous papaya;price_percent;0.18
delightful orange;quantity_sub;-78
Brother DCP-T510W;remove;
Samsung 970 EVO SSD;quantity_add;8
attractive apple;quantity_sub;-70
amazing grapes;quantity_add;135
amazing grapes;quantity_add;111
Razer Variau;quantity_add;7
pleasant shampoo;price_percent;-0.11
HP LaserJet Pro;price_abs;-11109
Samsung 970 EVO SSD;remove;
luxurious sunscreen;price_abs;-12
HyperX DDR4 RAM;quantity_add;2
superb exfoliator;quantity_add;71
trendy cranberry;quantity_add;20
nice moisturizer;quantity_sub;-46
elegant bubble bath;price_abs;28.809000000000005
Logitech Wireless Keyboard;available;True
Samsung 970 EVO SSD;quantity_sub;-10
magnificent manicure set;quantity_sub;-108
EVGA 500B 80+ BRONZE;price_abs;1044
exquisite lip balm;price_abs;4
exquisite papaya;price_abs;-6
Intel Core i5;price_percent;-0.07
Epson Expression Home XP;price_percent;-0.14
elegant bubble bath;available;True
HyperX DDR4 RAM;quantity_add;3
trendy flooring;price_percent;-0.03
