name;method;param
Brother DCP-T510W;available;False
Logitech Wireless Keyboard;quantity_add;3
EVGA 500B 80+ BRONZE;remove;
EVGA 500B 80+ BRONZE;quantity_add;2
sublime pineapple;price_percent;0.15
Intel Core i5;price_abs;-10478
superb kiwifruit;price_abs;41.965
exquisite drywall;quantity_add;162
stylish blueberry;remove;
Intel Core i5;quantity_sub;-1
Samsung 970 EVO SSD;quantity_sub;-1
SteelSeries Arctis 7;price_percent;0.13
tasteful scaffolding;quantity_sub;-39
Epson Expression Home XP;price_abs;1011
exquisite grapes;price_percent;-0.02
marvelous bubble bath;price_abs;-1
nice apple;price_percent;0.03
exquisite cranberry;price_abs;-5
Epson Expression Home XP;price_abs;1427
glamorous peach;quantity_add;123
pleasant banana;remove;
AMD Ryzen 5;quantity_add;11
Razer Variau;price_abs;2163
superb baseboard;quantity_sub;-134
pretty hammer;remove;
beautiful sunscreen;quantity_sub;-103
pretty sunscreen;quantity_sub;-134
magnificent perfume;quantity_sub;-82
beautiful wheelbarrow;price_abs;-2
Razer Variau;quantity_sub;-2
Razer Variau;price_percent;-0.08
beautiful baby shampoo;price_abs;16
gorgeous banana;price_percent;-0.08
Brother DCP-T510W;price_percent;0.13
glamorous insulation;available;True
glamorous doors;price_percent;0.2
elegant toner;quantity_add;48
Brother DCP-T510W;quantity_add;2
refined siding;quantity_add;102
gorgeous apricot;quantity_add;127
gorgeous apricot;available;True
refined lip balm;price_percent;0.13
Canon PIXMA;quantity_add;5
delightful lip balm;remove;
Samsung 970 EVO SSD;price_abs;47062.4
beautiful sunscreen;quantity_sub;-114
sublime level;available;True
tasteful peach;quantity_sub;-177
pretty screws;quantity_sub;-60
Brother DCP-T510W;price_percent;-0.18
elegant toner;quantity_sub;-86
Intel Core i5;price_percent;0.16
Intel Core i5;price_abs;101532.20000000001
delightful lip balm;quantity_sub;-105
glamorous electrical;remove;
SteelSeries Arctis 7;quantity_sub;-5
nice windows;price_abs;9
attractive windows;available;True
Canon PIXMA;price_abs;1476
Canon PIXMA;quantity_sub;-1
Logitech Wireless Keyboard;price_percent;-0.15
refined lip balm;remove;
glamorous peach;price_abs;6
Brother DCP-T510W;available;True
trendy bubble bath;quantity_sub;-35
gorgeous perfume;quantity_sub;-10
luxurious lip balm;price_abs;-11
stylish level;quantity_add;41
gorgeous banana;price_percent;0.13
gorgeous apricot;available;True
Canon PIXMA;price_abs;32235.500000000004
glamorous sunscreen;quantity_add;71
nice baseboard;remove;
magnificent perfume;price_percent;0.08
nice windows;quantity_add;13
trendy roofing;price_percent;0.0
tasteful peach;quantity_sub;-38
beautiful nails;price_abs;-4
glamorous hair mask;price_abs;1
Canon PIXMA;price_abs;-118
gorgeous body wash;remove;
Corsair HS60;remove;
Intel Core i5;remove;
luxurious lip balm;remove;
beautiful baby shampoo;quantity_add;83
glamorous insulation;price_percent;0.04
stylish level;remove;
Ricoh Aficio MP;remove;
Epson Expression Home XP;available;True
Intel Core i5;price_abs;11025
magnificent lip balm;price_abs;-5
refined cherry;price_abs;18.799000000000003
Epson Expression Home XP;price_percent;-0.17
NVIDIA GeForce GTX 1050;quantity_sub;-3
marvelous roofing;quantity_sub;-20
Logitech Wireless Keyboard;quantity_add;3
pretty sunscreen;available;False
superb baseboard;price_percent;0.15
Canon PIXMA;price_percent;-0.01
Intel Core i5;quantity_add;3
Ricoh Aficio MP;available;False
beautiful baby shampoo;price_abs;-12
nice scaffolding;remove;
gorgeous perfume;quantity_add;22
nice scaffolding;available;False
gorgeous nails;available;True
SteelSeries Arctis 7;remove;
refined cherry;remove;
magnificent lip balm;price_percent;-0.2
attractive windows;price_abs;0
pretty apricot;price_percent;-0.04
glamorous doors;price_abs;-2
glamorous peach;price_abs;-17
glamorous peach;price_percent;0.01
AMD Ryzen 5;quantity_add;7
nice apple;price_abs;-16
delightful lip balm;quantity_sub;-169
Canon PIXMA;remove;
Canon PIXMA;quantity_sub;-2
beautiful baby shampoo;quantity_sub;-151
tasteful level;remove;
pretty level;available;True
Canon PIXMA;price_percent;0.14
attractive screws;remove;
exquisite perfume;price_abs;13.244
Canon PIXMA;price_percent;-0.09
Canon PIXMA;remove;
superb baby shampoo;quantity_add;21
superb kiwifruit;quantity_add;50
HP LaserJet Pro;price_abs;-485
exquisite pedicure set;price_percent;0.0
Samsung 970 EVO SSD;quantity_add;8
tasteful guava;price_percent;0.04
magnificent chisel;price_abs;1
magnificent chisel;price_percent;0.12
SteelSeries Arctis 7;remove;
gorgeous perfume;quantity_add;109
magnificent chisel;remove;
pretty hammer;available;True
trendy bubble bath;price_percent;0.18
Epson Expression Home XP;price_percent;-0.07
Canon PIXMA;price_percent;-0.13
elegant moisturizer;quantity_add;69
AMD Ryzen 5;quantity_add;1
Epson Expression Home XP;quantity_sub;-1
sublime glue;remove;
trendy cranberry;quantity_add;172
marvelous roofing;quantity_add;40
Epson Expression Home XP;available;True
beautiful nails;available;True
Samsung 970 EVO SSD;available;False
Ricoh Aficio MP;quantity_add;1
gorgeous apricot;price_abs;-11
Razer Variau;quantity_add;2
WD Blue HDD;price_percent;-0.06
nice baseboard;price_abs;6
Canon PIXMA;quantity_sub;-3
Ricoh Aficio MP;remove;
Intel Core i5;quantity_add;7
Canon PIXMA;price_percent;0.11
luxurious paint;quantity_add;29
trendy face wash;quantity_add;27
delightful ladder;price_abs;1
HP LaserJet Pro;remove;
elegant mango;available;True
pretty hammer;price_percent;0.1
HP LaserJet Pro;remove;
tasteful scaffolding;quantity_sub;-54
amazing sunscreen;price_percent;0.2
Intel Core i5;price_abs;-2828
Brother DCP-T510W;price_percent;0.03
Logitech Wireless Keyboard;price_abs;10669
Logitech Wireless Keyboard;price_percent;0.1
glamorous sunscreen;quantity_sub;-47
luxurious makeup remover;quantity_sub;-116
gorgeous ladder;price_abs;-6
pretty level;price_abs;-14
Razer Variau;quantity_add;3
Canon PIXMA;available;True
WD Blue HDD;quantity_sub;-2
Canon PIXMA;remove;
Razer Variau;available;False
delightful lip balm;available;True
magnificent perfume;available;False
glamorous peach;quantity_sub;-95
Razer Variau;price_percent;0.04
Razer Variau;quantity_sub;-1
Intel Core i5;quantity_add;4
magnificent deodorant;quantity_sub;-110
Logitech Wireless Keyboard;available;True
AMD Ryzen 5;quantity_add;11
Brother DCP-T510W;quantity_sub;-9
Brother DCP-T510W;quantity_sub;-3
AMD Ryzen 5;quantity_add;10
magnificent perfume;quantity_sub;-187
Ricoh Aficio MP;quantity_sub;-8
delightful exfoliator;quantity_sub;-155
pretty screws;quantity_add;94
delightful axe;quantity_add;47
Canon PIXMA;quantity_sub;-3
nice scaffolding;available;False
