name;price;quantity;category;fromCity;isAvailable;views
refined roofing;18.7;577;tools;Астана;True;63792
Epson Expression Home XP;97143;27;Рига;False;86452
NVIDIA GeForce GTX 1050;18967;44;Осера;True;30968
pretty conditioner;17.29;939;cosmetics;Осера;False;65303
Samsung 970 EVO SSD;62093;17;Сантьяго-де-Компостела;False;87591
elegant apricot;13.78;566;fruit;Мурсия;True;82494
Ricoh Aficio MP;83387;61;Кадакес;True;79957
beautiful peach;29.83;895;fruit;Душанбе;True;34157
pleasant toner;67.45;707;cosmetics;Баку;True;73537
HyperX DDR4 RAM;67342;60;Мерида;True;81453
glamorous facial cleanser;97.02;640;cosmetics;Подгорица;False;37746
Razer Variau;82910;59;Сория;False;22149
pleasant blackberry;63.64;945;fruit;Луго;True;66343
Ricoh Aficio MP;43864;64;Варшава;True;77975
EVGA 500B 80+ BRONZE;72293;39;Тбилиси;True;91930
refined roofing;97.9;712;tools;Прага;False;43846
Samsung 970 EVO SSD;99738;39;Москва;True;65521
AMD Ryzen 5;34553;21;Любляна;False;80807
delightful sunscreen;33.44;916;cosmetics;Самора;True;27140
luxurious wallpaper;21.51;908;tools;Артейхо;True;85481
WD Blue HDD;84592;45;Бишкек;True;84003
delightful mango;82.68;806;fruit;Скопье;False;13825
Razer Variau;13574;26;Таллин;True;23586
refined perfume;18.3;686;cosmetics;Тудела;True;38010
pleasant wheelbarrow;25.1;681;tools;Ереван;True;56354
stylish doors;94.24;1050;tools;Санкт-Петербург;False;8089
tasteful paint;64.73;933;tools;Мерида;True;35677
Samsung 970 EVO SSD;34166;37;Прага;False;2061
superb insulation;13.85;775;tools;Куэнка;True;83642
pleasant toothpaste;26.63;572;cosmetics;Тарраса;False;70480
nice blueberry;79.16;867;fruit;Эльче;False;91800
marvelous nail file;71.92;565;cosmetics;Луарка;False;43865
attractive tape measure;10.35;954;tools;Минск;True;14127
elegant sunscreen;56.58;685;cosmetics;Бильбао;False;14445
HyperX DDR4 RAM;65963;38;Пласенсия;True;29532
sublime sunscreen;53.12;891;cosmetics;Авилес;False;67204
magnificent toothpaste;53.66;891;cosmetics;Осера;False;87667
pleasant baseboard;86.23;614;tools;Скопье;False;10030
gorgeous serum;17.12;948;cosmetics;Киев;True;43736
HP LaserJet Pro;67542;50;Эль-Пуэрто-де-Санта-Мария;True;64969
stylish grapes;79.59;709;fruit;Бильбао;True;26566
superb eye cream;91.94;955;cosmetics;Бланес;True;33045
Razer Variau;72402;42;Навалькарнеро;True;65339
SteelSeries Arctis 7;94279;47;Сьюдад-Реаль;True;59693
Corsair HS60;55568;39;Махадаонда;False;82668
sublime blueberry;10.4;701;fruit;Пласенсия;False;8188
exquisite doors;79.4;864;tools;Кишинев;True;15588
sublime trim;42.72;661;tools;Кишинев;False;87705
SteelSeries Arctis 7;56619;76;Тирана;False;17112
magnificent serum;95.08;593;cosmetics;Кадакес;False;20555
stylish baseboard;18.69;498;tools;Баку;False;62803
EVGA 500B 80+ BRONZE;63113;75;Авилес;False;6005
elegant cranberry;80.92;975;fruit;Севилья;False;6964
elegant peach;17.49;746;fruit;Малага;False;61772
elegant screws;75.86;699;tools;Камбадос;True;68033
NVIDIA GeForce GTX 1050;71973;20;Тбилиси;False;86843
glamorous nail file;92.48;886;cosmetics;Сеговия;True;25502
Brother DCP-T510W;17090;38;Мерида;True;35730
sublime moustache wax;94.79;779;cosmetics;Касерес;True;78670
magnificent guava;16.52;544;fruit;Хихон;True;28876
magnificent toner;93.0;843;cosmetics;Фигерас;True;22679
Razer Variau;94719;48;Ереван;True;47692
amazing papaya;41.69;649;fruit;Вильнюс;False;12587
NVIDIA GeForce GTX 1050;82188;27;Авилес;True;62340
HP LaserJet Pro;41283;19;Рига;True;67699
Razer Variau;10742;12;Бланес;True;52129
Canon PIXMA;11627;26;Мурсия;False;92565
Ricoh Aficio MP;75584;30;Минск;False;47584
HP LaserJet Pro;62758;21;Овьедо;False;76974
tasteful moisturizer;39.06;703;cosmetics;Минск;True;98742
trendy boysenberry;71.06;577;fruit;Монсон;True;66469
magnificent nails;60.03;904;tools;Мартоса;False;25780
delightful bubble bath;23.85;860;cosmetics;Монсон;True;90326
Samsung 970 EVO SSD;18030;48;Мартоса;True;98893
tasteful saw;25.61;802;tools;Прага;False;529
glamorous screws;14.88;829;tools;Тарраса;False;71259
Canon PIXMA;76013;46;Монсон;True;24149
amazing nail file;62.91;658;cosmetics;Алма-Ата;False;92443
glamorous boysenberry;85.64;607;fruit;Сантьяго-де-Компостела;True;53140
WD Blue HDD;75357;37;Касерес;True;33708
Samsung 970 EVO SSD;97579;43;Вроцлав;False;38580
refined cherry;27.35;806;fruit;Мерида;False;11205
exquisite tile;25.46;660;tools;Бургос;False;24153
