name;price;quantity;category;fromCity;isAvailable;views
delightful banana;16.83;783;fruit;Луарка;False;33061
beautiful siding;83.52;956;tools;Вильнюс;False;60099
delightful axe;47.45;602;tools;Махадаонда;False;21969
EVGA 500B 80+ BRONZE;73626;67;Монсон;True;88571
nice manicure set;78.86;505;cosmetics;Куэнка;True;1898
tasteful plum;53.55;625;fruit;Бишкек;True;49455
gorgeous windows;26.58;844;tools;Астана;True;58422
magnificent cherry;34.96;606;fruit;Вроцлав;False;69536
Brother DCP-T510W;83452;64;Валенсия;False;19677
beautiful plum;59.58;684;fruit;Тирана;True;68389
elegant body wash;73.18;852;cosmetics;Мадрид;True;27902
HP LaserJet Pro;13466;66;Трухильо;False;36220
luxurious shovel;48.01;1001;tools;Тарраса;False;14359
HyperX DDR4 RAM;63139;67;Хихон;False;8937
gorgeous wallpaper;20.48;805;tools;Бургос;False;43077
Kingston Canvas Select Plus;69716;58;Тарраса;True;41938
Logitech Wireless Keyboard;67027;32;Семана;False;70512
Canon PIXMA;89771;62;Пласенсия;False;89401
refined blackberry;69.66;1013;fruit;Астана;False;72386
refined perfume;47.57;743;cosmetics;Семана;True;92045
pleasant blackberry;56.07;699;fruit;Касерес;True;75936
NVIDIA GeForce GTX 1050;54635;35;Сеговия;True;59568
beautiful trim;29.68;584;tools;Бургос;False;96930
nice glue;11.78;699;tools;Овьедо;True;4294
amazing perfume;91.94;831;cosmetics;Бургос;False;27693
HP LaserJet Pro;69571;72;София;False;68169
refined eye cream;82.99;852;cosmetics;Скопье;False;73175
sublime apple;20.79;952;fruit;Малага;True;97177
amazing deodorant;88.94;1015;cosmetics;Пласенсия;True;34644
SteelSeries Arctis 7;84826;42;Хихон;False;18574
superb hammer;34.24;801;tools;Варшава;True;69829
Kingston Canvas Select Plus;31752;16;Авилес;False;9019
exquisite facial cleanser;26.18;768;cosmetics;Бильбао;False;3950
glamorous lotion;65.2;732;cosmetics;Эльче;True;51044
pretty insulation;82.49;819;tools;Сараево;False;70148
trendy moisturizer;14.43;682;cosmetics;Скопье;False;98267
Razer Variau;24530;45;Хельсинки;True;98052
beautiful trim;66.06;707;tools;Сан-Себастьян;True;38484
luxurious glue;46.28;813;tools;Осера;True;84307
magnificent papaya;57.83;668;fruit;Баку;True;94173
Corsair HS60;94482;38;Севилья;True;4425
exquisite cranberry;63.79;490;fruit;Навалькарнеро;True;80595
pleasant deodorant;44.79;919;cosmetics;Гранада;True;19253
nice plumbing;58.73;989;tools;Валенсия;False;98143
refined wallpaper;67.83;498;tools;Кадакес;False;85482
WD Blue HDD;50825;73;Кадакес;False;5706
NVIDIA GeForce GTX 1050;92584;77;Бланес;False;363
Canon PIXMA;29881;13;Картахена;True;16791
amazing paint;43.89;765;tools;Вальядолид;False;24561
glamorous manicure set;37.67;975;cosmetics;Навалькарнеро;False;73185
amazing baby shampoo;89.87;541;cosmetics;Скопье;True;17583
WD Blue HDD;73524;31;Сантьяго-де-Компостела;True;5657
