name;method;param
pleasant moustache wax;remove;
Logitech Wireless Keyboard;quantity_add;5
refined blackberry;price_percent;0.15
exquisite nail file;quantity_sub;-74
elegant ladder;available;False
glamorous grapes;quantity_sub;-38
sublime eye cream;price_percent;0.18
Ricoh Aficio MP;available;True
HP LaserJet Pro;available;True
elegant pedicure set;quantity_add;82
superb toner;price_abs;9
amazing guava;quantity_sub;-125
amazing plum;remove;
Samsung 970 EVO SSD;quantity_sub;-4
HyperX DDR4 RAM;price_percent;0.17
beautiful melon;price_abs;16
stylish ladder;quantity_add;4
trendy perfume;remove;
elegant pedicure set;available;True
tasteful cranberry;remove;
elegant lip balm;remove;
NVIDIA GeForce GTX 1050;quantity_add;7
gorgeous conditioner;remove;
EVGA 500B 80+ BRONZE;quantity_sub;-1
marvelous pineapple;price_abs;-10
trendy pedicure set;remove;
sublime grapes;quantity_add;125
pleasant papaya;remove;
sublime grapes;price_abs;2
gorgeous electrical;price_percent;-0.08
magnificent night cream;price_percent;-0.14
magnificent serum;quantity_add;122
stylish strawberry;price_abs;0
Razer Variau;remove;
delightful apple;available;True
trendy pedicure set;quantity_add;61
pretty electrical;price_percent;-0.01
tasteful body wash;quantity_add;79
tasteful body wash;price_percent;-0.05
Kingston Canvas Select Plus;quantity_add;7
gorgeous shovel;price_percent;0.2
marvelous banana;available;True
amazing moustache wax;quantity_add;75
tasteful apricot;available;False
superb shampoo;price_abs;14
exquisite windows;quantity_add;87
Brother DCP-T510W;price_percent;0.13
EVGA 500B 80+ BRONZE;available;True
superb shampoo;quantity_sub;-11
pleasant peach;price_percent;-0.02
glamorous plum;available;True
Brother DCP-T510W;quantity_sub;-2
attractive shovel;quantity_add;154
SteelSeries Arctis 7;quantity_sub;-1
amazing guava;available;True
Brother DCP-T510W;price_percent;0.13
luxurious exfoliator;price_abs;11
exquisite wallpaper;quantity_add;7
Samsung 970 EVO SSD;quantity_sub;-9
elegant lip balm;quantity_add;3
stylish ladder;remove;
Intel Core i5;remove;
tasteful boysenberry;price_abs;20.273
stylish bubble bath;available;True
gorgeous shovel;available;True
Samsung 970 EVO SSD;remove;
Samsung 970 EVO SSD;price_percent;-0.06
stylish ladder;available;False
Corsair HS60;price_percent;-0.15
refined nails;quantity_sub;-34
Ricoh Aficio MP;price_abs;4677
Ricoh Aficio MP;quantity_sub;-5
pleasant papaya;quantity_sub;-193
Kingston Canvas Select Plus;price_percent;-0.02
exquisite wallpaper;price_percent;-0.1
Logitech Wireless Keyboard;quantity_add;7
pleasant moustache wax;price_percent;0.03
trendy pedicure set;quantity_add;10
elegant plumbing;available;True
sublime eye cream;quantity_sub;-113
delightful moisturizer;quantity_sub;-92
luxurious exfoliator;quantity_sub;-73
elegant lip balm;remove;
nice sunscreen;price_abs;107.33800000000001
EVGA 500B 80+ BRONZE;remove;
delightful insulation;price_abs;6
nice sunscreen;available;False
EVGA 500B 80+ BRONZE;price_percent;-0.01
HyperX DDR4 RAM;quantity_sub;-8
