name;price;quantity;category;fromCity;isAvailable;views
elegant guava;78.03;1037;fruit;Москва;False;92477
glamorous insulation;82.77;949;tools;Тбилиси;True;35712
Kingston Canvas Select Plus;56145;53;Тарраса;True;47342
attractive axe;18.48;776;tools;Загреб;True;13313
tasteful wheelbarrow;94.13;796;tools;Навалькарнеро;False;37004
delightful axe;17.49;897;tools;Монсон;True;35590
tasteful trim;77.89;777;tools;Афины;False;37380
trendy pineapple;24.77;504;fruit;Виго;True;56090
NVIDIA GeForce GTX 1050;49223;33;Гранада;False;43926
HP LaserJet Pro;93041;13;Самора;False;93204
trendy wallpaper;19.52;801;tools;Санхенхо;True;29104
exquisite boysenberry;35.1;636;fruit;Вроцлав;False;80293
glamorous banana;49.33;895;fruit;Таллин;False;83774
Canon PIXMA;17407;53;Вильнюс;False;16224
HP LaserJet Pro;63036;74;Навалькарнеро;True;25794
exquisite kiwifruit;86.38;938;fruit;Виго;True;60945
Brother DCP-T510W;72542;22;Бургос;True;67823
delightful nails;49.34;562;tools;Сантьяго-де-Компостела;False;27752
beautiful lotion;99.85;554;cosmetics;Прага;False;44679
gorgeous pineapple;80.73;856;fruit;Москва;False;31194
amazing strawberry;39.64;494;fruit;Подгорица;False;90784
Samsung 970 EVO SSD;28058;55;Картахена;True;90259
stylish roofing;12.57;701;tools;Афины;False;64345
pleasant melon;23.0;723;fruit;Виго;True;44235
marvelous insulation;16.58;800;tools;Севилья;True;30378
sublime nail file;62.79;552;cosmetics;Семана;False;64192
EVGA 500B 80+ BRONZE;48444;54;Вильявисиоса;True;44833
Epson Expression Home XP;66691;50;Севилья;False;5889
NVIDIA GeForce GTX 1050;57796;65;Сараево;False;21752
superb strawberry;27.91;937;fruit;Лас-Росас;True;57195
SteelSeries Arctis 7;77155;41;Хельсинки;False;49721
superb saw;58.27;764;tools;Трухильо;True;77257
luxurious grapes;79.38;973;fruit;Авилес;True;78992
elegant makeup remover;95.06;790;cosmetics;Барселона;True;24501
nice night cream;25.54;898;cosmetics;Любляна;True;49558
luxurious grapes;93.9;599;fruit;Самора;False;36397
Canon PIXMA;68426;54;Киев;True;50285
Kingston Canvas Select Plus;55907;13;Самора;False;717
tasteful pedicure set;65.21;944;cosmetics;Бланес;True;16546
glamorous boysenberry;95.62;772;fruit;Любляна;False;74868
magnificent paint;73.85;902;tools;Бишкек;False;64530
Kingston Canvas Select Plus;61653;57;Скопье;True;69037
glamorous flooring;65.19;765;tools;Авилес;True;66890
superb tile;94.32;760;tools;Прага;True;59904
marvelous eye cream;87.58;988;cosmetics;Эльче;True;98919
AMD Ryzen 5;11886;33;Монсон;True;9276
trendy raspberry;24.96;865;fruit;Подгорица;True;44660
Brother DCP-T510W;43267;53;Вроцлав;True;21960
Samsung 970 EVO SSD;26502;77;Бишкек;False;11588
amazing apple;65.91;791;fruit;Трухильо;True;20042
beautiful mango;69.48;802;fruit;Варшава;True;32479
Brother DCP-T510W;19687;42;Ла-Корунья;False;25220
sublime grapes;90.31;804;fruit;Навалькарнеро;False;91236
tasteful tape measure;97.71;656;tools;Овьедо;False;46729
gorgeous shovel;38.07;936;tools;Авилес;True;57170
NVIDIA GeForce GTX 1050;75884;36;Гранада;False;16367
Razer Variau;33001;60;Хихон;True;21835
refined shovel;46.37;594;tools;Самора;False;79192
stylish plumbing;79.36;477;tools;Сеговия;True;92643
glamorous face wash;58.69;589;cosmetics;Севилья;False;86837
luxurious lotion;15.64;944;cosmetics;Авилес;True;25776
AMD Ryzen 5;98456;18;Артейхо;True;33813
glamorous grapes;47.07;553;fruit;Малага;True;86677
Epson Expression Home XP;28382;21;Хихон;True;76683
beautiful hammer;91.92;585;tools;Сантьяго-де-Компостела;False;24698
Canon PIXMA;83817;54;Подгорица;True;37979
glamorous serum;46.91;856;cosmetics;Загреб;False;64558
refined hair mask;82.52;897;cosmetics;Луго;True;4860
pretty electrical;16.29;857;tools;Ташкент;False;34098
Canon PIXMA;78787;37;Картахена;False;91146
delightful pineapple;73.32;561;fruit;Камбадос;True;48861
trendy scaffolding;70.54;977;tools;Навалькарнеро;True;78326
WD Blue HDD;38180;26;Мурсия;True;96958
pleasant bubble bath;13.83;1016;cosmetics;Малага;True;54469
Corsair HS60;18638;48;Мурсия;False;68477
delightful face wash;75.51;521;cosmetics;Рига;False;46830
tasteful blueberry;42.29;931;fruit;Овьедо;False;84847
stylish melon;78.83;884;fruit;Тарраса;True;9849
Intel Core i5;84808;18;Сараево;True;59491
AMD Ryzen 5;53298;69;Хихон;True;54096
Corsair HS60;67080;54;Баку;True;82679
stylish hair mask;83.32;818;cosmetics;Авилес;True;45199
magnificent papaya;84.02;633;fruit;Хельсинки;False;85975
nice exfoliator;11.61;835;cosmetics;Будапешт;False;37854
Kingston Canvas Select Plus;80094;43;Прага;False;92185
beautiful siding;30.76;696;tools;Кишинев;True;92832
pleasant night cream;88.86;780;cosmetics;Вильявисиоса;False;42504
marvelous plumbing;20.63;871;tools;София;False;49342
stylish paint;61.23;889;tools;Сеговия;True;38678
tasteful boysenberry;38.54;946;fruit;Санкт-Петербург;True;68620
beautiful windows;92.23;950;tools;Будапешт;True;98597
sublime moustache wax;76.06;590;cosmetics;Осера;True;92334
superb orange;46.41;911;fruit;Ташкент;True;11381
WD Blue HDD;61693;50;Сан-Себастьян;True;67616
delightful apricot;18.11;755;fruit;Скопье;True;948
luxurious tile;83.02;692;tools;Краков;False;7068
Brother DCP-T510W;65508;65;Льейда;True;29711
AMD Ryzen 5;75761;63;Санкт-Петербург;False;87356
magnificent wallpaper;91.6;756;tools;Луго;True;3091
superb apple;53.35;918;fruit;Алькала-де-Энарес;False;56303
luxurious bubble bath;33.67;475;cosmetics;Хельсинки;True;16923
attractive shampoo;84.9;873;cosmetics;Льейда;True;66095
Kingston Canvas Select Plus;98831;35;Мадрид;False;38281
HP LaserJet Pro;85692;34;Мартоса;True;32988
attractive drywall;26.49;628;tools;Краков;True;70187
Intel Core i5;81434;59;Хихон;True;50364
AMD Ryzen 5;73332;59;Алькала-де-Энарес;True;56113
HP LaserJet Pro;85631;15;Валенсия;True;71451
Kingston Canvas Select Plus;40595;31;Баку;True;72569
tasteful lotion;36.72;932;cosmetics;Мерида;True;44693
EVGA 500B 80+ BRONZE;12286;28;Гранада;False;39959
nice peach;67.34;970;fruit;Фигерас;False;68107
magnificent exfoliator;76.94;965;cosmetics;Лас-Росас;True;22521
sublime chisel;38.82;622;tools;Санхенхо;False;44667
Ricoh Aficio MP;43040;47;Хихон;True;8589
Brother DCP-T510W;10626;49;Мерида;True;11602
WD Blue HDD;38604;46;Белград;False;40704
trendy cranberry;60.74;897;fruit;Тудела;True;75778
stylish boysenberry;33.69;613;fruit;Луарка;True;18307
beautiful orange;48.66;880;fruit;Краков;False;34358
exquisite chisel;13.97;835;tools;Виго;True;43544
delightful apple;84.74;534;fruit;Будапешт;False;18313
SteelSeries Arctis 7;93703;77;Вильнюс;True;84861
superb guava;61.69;786;fruit;Астана;False;8469
WD Blue HDD;20615;21;Скопье;True;65775
nice facial cleanser;28.38;586;cosmetics;Прага;True;21055
Razer Variau;79953;45;Алькала-де-Энарес;True;37914
EVGA 500B 80+ BRONZE;23413;42;Тудела;False;1151
exquisite facial cleanser;91.87;918;cosmetics;Пласенсия;False;98474
amazing flooring;72.41;897;tools;Сантьяго-де-Компостела;True;63444
exquisite lotion;17.56;652;cosmetics;Куэнка;True;98795
attractive deodorant;11.14;636;cosmetics;Рига;False;91770
Corsair HS60;22972;42;Санкт-Петербург;True;53890
nice baseboard;35.86;738;tools;Краков;True;82370
superb hair mask;83.87;967;cosmetics;Малага;True;17651
sublime wheelbarrow;40.74;875;tools;Мадрид;True;57835
attractive shovel;42.27;802;tools;Луарка;True;76070
Razer Variau;63146;15;Луго;True;42152
elegant tape measure;29.57;597;tools;Валенсия;False;21296
superb eye cream;46.36;912;cosmetics;Касерес;True;16167
Corsair HS60;11149;64;Картахена;False;37672
HP LaserJet Pro;39345;72;Мадрид;True;99277
WD Blue HDD;79353;10;Тарраса;False;73793
gorgeous toner;62.64;643;cosmetics;Афины;False;37540
Logitech Wireless Keyboard;40154;75;Семана;True;17480
Kingston Canvas Select Plus;84867;60;Кадакес;True;31925
Epson Expression Home XP;88345;15;Астана;True;25383
trendy baby shampoo;89.07;864;cosmetics;Осера;True;78048
AMD Ryzen 5;33996;12;Луарка;False;81111
HyperX DDR4 RAM;60186;76;Сория;True;6485
