name;price;quantity;category;fromCity;isAvailable;views
pretty guava;87.85;604;fruit;Бильбао;False;58107
superb flooring;97.42;726;tools;Осера;False;60807
pleasant hammer;51.68;944;tools;Бильбао;False;60758
Canon PIXMA;54567;10;Алькала-де-Энарес;True;74403
Corsair HS60;16860;60;Артейхо;True;37242
sublime peach;58.89;606;fruit;Алма-Ата;True;48706
beautiful flooring;84.55;546;tools;Малага;False;79633
NVIDIA GeForce GTX 1050;44090;34;Вроцлав;True;74747
amazing moisturizer;94.07;941;cosmetics;Санкт-Петербург;False;79575
magnificent plum;44.43;928;fruit;Луарка;True;15228
Logitech Wireless Keyboard;97408;25;Бильбао;False;88203
gorgeous strawberry;84.57;804;fruit;Луарка;True;31816
sublime banana;56.24;650;fruit;Сараево;False;55633
SteelSeries Arctis 7;52029;21;София;True;16639
sublime insulation;30.04;799;tools;Вальядолид;False;41942
exquisite toothpaste;37.39;685;cosmetics;Виго;True;42818
Brother DCP-T510W;43393;47;Артейхо;True;72387
Corsair HS60;35985;60;Будапешт;True;70587
Ricoh Aficio MP;53206;63;Ташкент;True;50934
sublime mango;67.18;875;fruit;Вильнюс;True;92255
luxurious paint;32.86;595;tools;Мурсия;False;71639
trendy siding;47.35;699;tools;Аликанте;False;42113
amazing lip balm;53.12;713;cosmetics;Афины;True;75863
glamorous guava;37.02;604;fruit;Вроцлав;True;19284
SteelSeries Arctis 7;24188;11;Астана;True;50301
exquisite toner;38.93;946;cosmetics;Эль-Пуэрто-де-Санта-Мария;True;58463
marvelous perfume;40.21;1000;cosmetics;Лас-Росас;False;67978
tasteful perfume;80.03;599;cosmetics;Рига;True;93217
superb hair mask;96.75;744;cosmetics;Камбадос;True;4084
Razer Variau;63591;26;Бильбао;False;39802
trendy tile;78.79;594;tools;Касерес;False;52250
Logitech Wireless Keyboard;18731;16;Сантьяго-де-Компостела;True;84541
Canon PIXMA;47038;64;Алма-Ата;True;79456
marvelous tile;56.54;857;tools;Валенсия;False;98012
delightful pedicure set;20.1;592;cosmetics;Загреб;True;13945
refined nail file;26.92;1001;cosmetics;Санкт-Петербург;False;85419
amazing wallpaper;56.36;933;tools;Санхенхо;True;28478
elegant peach;90.16;721;fruit;Сеговия;True;99956
trendy scaffolding;87.04;972;tools;Осера;True;85621
gorgeous chisel;96.89;844;tools;Душанбе;True;78061
stylish shampoo;10.28;674;cosmetics;Кишинев;True;83913
tasteful nails;89.14;1027;tools;Тирана;False;73709
Corsair HS60;98066;42;Сеговия;True;11241
sublime eye cream;93.87;691;cosmetics;Хихон;False;87660
tasteful wheelbarrow;48.09;624;tools;Мурсия;False;93909
attractive banana;53.41;708;fruit;Эль-Пуэрто-де-Санта-Мария;True;94267
Brother DCP-T510W;49652;44;Сараево;False;16969
pretty melon;47.72;580;fruit;Кадакес;True;51141
magnificent shampoo;53.0;942;cosmetics;Мартоса;True;61068
Corsair HS60;59566;26;Бильбао;False;54455
Brother DCP-T510W;67814;42;Хихон;True;74555
pretty mango;72.04;944;fruit;Бургос;True;56430
Corsair HS60;48347;65;Вроцлав;True;38831
sublime pineapple;21.91;851;fruit;Пласенсия;True;642
nice blueberry;22.73;732;fruit;Сантьяго-де-Компостела;False;18082
Ricoh Aficio MP;15489;49;Скопье;True;1643
delightful wheelbarrow;34.73;636;tools;Ла-Корунья;False;26166
gorgeous toothpaste;99.56;594;cosmetics;Москва;True;1570
gorgeous apple;90.57;504;fruit;Валенсия;True;7086
sublime night cream;53.9;786;cosmetics;Самора;True;65405
pleasant night cream;96.04;694;cosmetics;Эльче;True;48228
Corsair HS60;27693;36;Киев;False;48667
tasteful moisturizer;98.58;841;cosmetics;Бишкек;True;24436
pleasant banana;58.45;640;fruit;Вильнюс;True;23481
SteelSeries Arctis 7;48899;47;Ташкент;False;58701
refined conditioner;36.16;964;cosmetics;Сьюдад-Реаль;True;39654
Kingston Canvas Select Plus;82886;48;Мадрид;False;49621
superb wallpaper;68.83;541;tools;Любляна;True;56502
Logitech Wireless Keyboard;70788;58;Сьюдад-Реаль;True;14566
Samsung 970 EVO SSD;60897;50;Авилес;True;12710
amazing paint;32.41;975;tools;Тбилиси;True;77633
EVGA 500B 80+ BRONZE;83767;64;Осера;True;31955
Brother DCP-T510W;76309;74;Сантьяго-де-Компостела;True;70834
Samsung 970 EVO SSD;85659;55;Вильнюс;True;10524
beautiful chisel;46.89;897;tools;Фигерас;True;84113
Razer Variau;31862;67;Мерида;True;32058
Intel Core i5;69310;43;Бланес;True;67569
gorgeous windows;68.13;962;tools;Мадрид;True;12771
amazing lip balm;31.48;869;cosmetics;Фигерас;False;35815
marvelous lotion;61.31;479;cosmetics;Сараево;False;59647
NVIDIA GeForce GTX 1050;99974;39;Авилес;False;67361
superb level;62.45;703;tools;Луго;True;82071
sublime roofing;17.61;587;tools;София;False;66320
Epson Expression Home XP;46443;16;Мартоса;True;59067
Brother DCP-T510W;22898;23;Куэнка;True;32659
nice nail file;61.63;881;cosmetics;Белград;True;38574
SteelSeries Arctis 7;75775;73;Загреб;False;77084
HyperX DDR4 RAM;84465;55;Санхенхо;False;91830
delightful insulation;87.31;905;tools;Кордова;False;81905
stylish flooring;94.91;503;tools;Тудела;True;19334
stylish tape measure;29.24;999;tools;Вильнюс;True;51135
attractive hair mask;33.51;760;cosmetics;Бланес;True;66980
elegant baseboard;73.78;519;tools;Таллин;False;68902
pretty toner;26.54;603;cosmetics;Загреб;True;10211
glamorous facial cleanser;48.19;763;cosmetics;Ереван;True;20592
gorgeous boysenberry;91.78;495;fruit;Минск;True;90560
Epson Expression Home XP;55387;35;Сараево;True;83299
marvelous kiwifruit;53.8;582;fruit;Артейхо;True;15234
Epson Expression Home XP;75781;38;Вильявисиоса;False;15532
superb glue;62.78;854;tools;Бильбао;False;85692
Intel Core i5;81977;26;Мерида;True;61146
Kingston Canvas Select Plus;95793;56;Хихон;False;97784
elegant exfoliator;88.4;969;cosmetics;Валенсия;False;46549
magnificent body wash;71.64;783;cosmetics;Сория;False;78326
amazing mango;69.61;785;fruit;Вроцлав;False;32962
Corsair HS60;48673;32;Рига;False;66076
tasteful wallpaper;79.56;874;tools;Валенсия;True;39314
Kingston Canvas Select Plus;48598;43;Кадакес;True;24960
nice papaya;22.51;831;fruit;Хихон;False;60627
marvelous moustache wax;14.89;831;cosmetics;Аликанте;False;5544
nice face wash;88.48;947;cosmetics;Самора;True;77403
exquisite level;93.45;896;tools;Навалькарнеро;True;53415
luxurious level;25.25;843;tools;Бишкек;True;64183
Intel Core i5;43449;40;Касерес;False;21384
trendy windows;97.16;814;tools;Варшава;False;59309
nice pineapple;47.78;981;fruit;Любляна;True;66675
delightful papaya;13.18;757;fruit;Монсон;True;4432
pleasant baby shampoo;37.49;656;cosmetics;София;True;42227
luxurious tape measure;25.8;513;tools;Сараево;True;60322
pretty kiwifruit;88.39;656;fruit;Гранада;False;4252
stylish windows;58.58;673;tools;Малага;True;47107
refined toner;64.81;815;cosmetics;Вальядолид;True;6078
Ricoh Aficio MP;52299;19;Семана;True;16580
sublime boysenberry;75.33;538;fruit;Севилья;False;18833
Brother DCP-T510W;53724;37;Минск;False;13430
refined apple;69.57;531;fruit;Загреб;False;32831
magnificent ladder;97.31;699;tools;Варшава;True;48477
trendy apricot;45.91;903;fruit;Санхенхо;False;90849
Corsair HS60;78452;44;Фигерас;True;1561
glamorous perfume;14.64;473;cosmetics;Тарраса;False;9544
refined trim;95.53;675;tools;Камбадос;False;9955
exquisite level;95.89;596;tools;Алма-Ата;True;61754
pretty makeup remover;49.22;860;cosmetics;Овьедо;True;39770
refined drywall;41.18;676;tools;Хихон;True;3618
pleasant electrical;51.43;613;tools;Бильбао;False;93806
delightful chisel;65.51;800;tools;Сьюдад-Реаль;True;25142
attractive nail polish;49.4;708;cosmetics;Минск;True;54498
glamorous wheelbarrow;87.1;700;tools;Кордова;False;90452
exquisite boysenberry;74.52;815;fruit;Ла-Корунья;True;62369
Epson Expression Home XP;80945;43;Фигерас;False;41511
attractive trim;39.44;588;tools;Сьюдад-Реаль;True;46369
marvelous plum;85.79;822;fruit;Авилес;False;1796
HP LaserJet Pro;83245;14;Барселона;True;10706
trendy blackberry;88.13;601;fruit;Эль-Пуэрто-де-Санта-Мария;False;1186
NVIDIA GeForce GTX 1050;49330;10;Махадаонда;True;83550
attractive bubble bath;36.38;498;cosmetics;Алькала-де-Энарес;False;85345
Canon PIXMA;89644;61;Киев;False;4205
refined flooring;13.32;810;tools;Сьюдад-Реаль;True;37814
beautiful toothpaste;68.9;758;cosmetics;Ереван;False;4985
pleasant screws;90.02;857;tools;Алма-Ата;True;73910
superb paint;38.22;800;tools;Сьюдад-Реаль;False;60410
Kingston Canvas Select Plus;29497;16;Льейда;False;50883
magnificent perfume;69.32;974;cosmetics;Сеговия;True;75809
AMD Ryzen 5;93521;58;Рига;True;88175
gorgeous sunscreen;30.14;581;cosmetics;Таллин;True;74151
attractive trim;10.82;932;tools;Мартоса;True;45388
elegant siding;76.85;808;tools;Сараево;True;44916
Samsung 970 EVO SSD;28544;35;София;False;37054
glamorous hair mask;36.99;861;cosmetics;Прага;True;95890
Epson Expression Home XP;89200;77;Самора;True;40053
delightful blueberry;24.43;519;fruit;Льейда;True;99173
beautiful body wash;54.29;803;cosmetics;Махадаонда;True;44635
stylish insulation;36.43;586;tools;София;False;67741
AMD Ryzen 5;84626;56;Самора;False;53990
WD Blue HDD;23428;32;Рига;True;45695
pretty strawberry;14.57;676;fruit;Киев;True;23018
WD Blue HDD;31141;72;Трухильо;False;79363
sublime ladder;64.72;780;tools;Севилья;True;2811
Ricoh Aficio MP;60435;24;Осера;False;75358
nice strawberry;92.83;956;fruit;Мурсия;True;44992
stylish saw;28.51;656;tools;Вальядолид;True;74906
pleasant exfoliator;59.69;568;cosmetics;Ташкент;True;87797
elegant facial cleanser;97.55;691;cosmetics;Загреб;False;69171
attractive nail file;10.76;946;cosmetics;Скопье;True;30474
AMD Ryzen 5;24344;55;Бургос;False;14892
stylish saw;60.28;705;tools;Мадрид;True;66563
stylish sunscreen;60.1;721;cosmetics;Вильявисиоса;True;24792
attractive apple;72.3;658;fruit;Киев;False;75090
gorgeous doors;80.97;962;tools;Ташкент;True;6750
magnificent bubble bath;36.17;673;cosmetics;Луго;False;89827
gorgeous tape measure;66.07;545;tools;Тирана;False;36911
Brother DCP-T510W;15875;13;Мартоса;True;29024
tasteful kiwifruit;39.57;539;fruit;Пласенсия;True;36965
Kingston Canvas Select Plus;21055;28;Загреб;True;98744
attractive ladder;65.3;734;tools;Виго;True;3610
elegant peach;66.73;708;fruit;Тирана;False;77785
Logitech Wireless Keyboard;83187;25;Загреб;True;75211
glamorous cherry;33.49;795;fruit;Минск;False;56332
Ricoh Aficio MP;29592;55;Мадрид;True;28340
stylish shovel;59.92;571;tools;Тирана;False;48815
Intel Core i5;22474;10;Минск;False;82123
refined kiwifruit;51.46;678;fruit;Хихон;True;42277
gorgeous face wash;38.89;541;cosmetics;Лас-Росас;False;89785
AMD Ryzen 5;38825;49;Бланес;False;3377
superb wallpaper;98.13;600;tools;Вильнюс;False;54582
Epson Expression Home XP;77365;12;Осера;True;23954
Intel Core i5;19074;42;Загреб;True;36175
EVGA 500B 80+ BRONZE;57298;13;Луго;True;10356
nice peach;24.2;815;fruit;София;True;44001
amazing moisturizer;92.31;579;cosmetics;Сан-Себастьян;False;11332
beautiful deodorant;72.28;922;cosmetics;Овьедо;True;10112
exquisite doors;76.95;572;tools;Сьюдад-Реаль;True;93715
nice flooring;12.03;738;tools;Картахена;False;41941
trendy bubble bath;95.67;587;cosmetics;Киев;False;11745
EVGA 500B 80+ BRONZE;18635;38;Осера;True;1363
refined face wash;50.66;858;cosmetics;Трухильо;True;31346
beautiful sunscreen;32.82;918;cosmetics;Валенсия;False;85510
