name;method;param
Brother DCP-T510W;quantity_sub;-8
sublime axe;quantity_add;105
attractive plum;price_abs;-9
sublime conditioner;remove;
trendy drywall;quantity_sub;-16
exquisite wallpaper;quantity_sub;-108
pleasant cranberry;quantity_add;133
gorgeous bubble bath;quantity_add;27
HyperX DDR4 RAM;price_abs;1669
glamorous manicure set;quantity_add;81
glamorous exfoliator;quantity_add;98
Intel Core i5;remove;
beautiful shampoo;remove;
Corsair HS60;remove;
AMD Ryzen 5;quantity_add;10
Intel Core i5;remove;
stylish apricot;price_percent;0.11
gorgeous guava;available;True
stylish grapes;price_percent;0.2
Kingston Canvas Select Plus;quantity_add;10
stylish apricot;price_percent;0.17
sublime lip balm;quantity_add;176
tasteful doors;available;True
sublime axe;price_percent;-0.1
elegant perfume;price_percent;-0.08
elegant shampoo;price_abs;-16
Intel Core i5;price_percent;0.18
pleasant cranberry;quantity_add;126
glamorous insulation;quantity_add;103
marvelous flooring;quantity_sub;-9
stylish kiwifruit;price_percent;-0.08
delightful blueberry;remove;
beautiful manicure set;remove;
attractive wallpaper;quantity_sub;-98
Canon PIXMA;available;True
beautiful manicure set;price_abs;1
Canon PIXMA;quantity_sub;-8
tasteful lip balm;quantity_add;139
marvelous melon;price_abs;-7
glamorous nail file;quantity_add;79
pretty makeup remover;quantity_sub;-39
magnificent hammer;quantity_sub;-77
pleasant papaya;available;False
exquisite axe;price_percent;-0.09
Razer Variau;price_percent;0.01
Brother DCP-T510W;available;True
HyperX DDR4 RAM;price_percent;0.14
trendy body wash;quantity_add;99
marvelous siding;available;True
HyperX DDR4 RAM;quantity_add;12
pleasant exfoliator;quantity_sub;-69
exquisite wallpaper;remove;
trendy body wash;quantity_sub;-111
stylish blackberry;quantity_sub;-132
elegant pedicure set;price_percent;-0.01
gorgeous pedicure set;available;False
glamorous roofing;available;True
marvelous bubble bath;price_abs;-12
Logitech Wireless Keyboard;quantity_add;1
stylish apricot;price_abs;4
nice plum;quantity_add;114
Razer Variau;price_percent;0.12
marvelous bubble bath;quantity_add;89
magnificent glue;price_percent;-0.04
gorgeous banana;quantity_sub;-82
delightful blueberry;price_abs;103.037
pleasant conditioner;price_abs;70.4
gorgeous eye cream;available;False
beautiful apple;price_abs;106.843
Ricoh Aficio MP;available;False
glamorous shampoo;quantity_sub;-65
glamorous insulation;remove;
Ricoh Aficio MP;price_percent;0.01
Brother DCP-T510W;remove;
beautiful apple;price_percent;-0.1
luxurious eye cream;price_abs;-5
magnificent glue;price_abs;-6
glamorous serum;quantity_add;103
marvelous bubble bath;remove;
beautiful eye cream;price_abs;4
pleasant sunscreen;quantity_add;31
stylish eye cream;price_percent;0.04
elegant moisturizer;price_percent;-0.15
elegant perfume;remove;
EVGA 500B 80+ BRONZE;price_percent;-0.1
HyperX DDR4 RAM;quantity_add;1
beautiful nail polish;price_percent;0.04
tasteful kiwifruit;price_percent;0.12
elegant moisturizer;quantity_sub;-106
stylish wallpaper;remove;
Corsair HS60;available;False
stylish kiwifruit;price_abs;-2
WD Blue HDD;quantity_sub;-6
Canon PIXMA;quantity_add;5
gorgeous manicure set;available;True
Razer Variau;quantity_sub;-3
Kingston Canvas Select Plus;available;False
Kingston Canvas Select Plus;available;True
Corsair HS60;available;True
exquisite wallpaper;available;False
Canon PIXMA;quantity_sub;-6
attractive apricot;quantity_add;23
AMD Ryzen 5;quantity_add;2
beautiful moustache wax;available;True
