name;method;param
delightful chisel;price_abs;85.70100000000001
marvelous nail file;remove;
Canon PIXMA;available;True
amazing night cream;remove;
Epson Expression Home XP;price_percent;-0.17
tasteful strawberry;remove;
sublime plumbing;available;False
amazing raspberry;remove;
HP LaserJet Pro;available;False
gorgeous drywall;available;False
AMD Ryzen 5;remove;
stylish level;available;False
tasteful bubble bath;price_percent;-0.11
Epson Expression Home XP;quantity_add;2
Kingston Canvas Select Plus;price_abs;5649
sublime body wash;quantity_sub;-167
superb strawberry;price_abs;-7
tasteful bubble bath;price_percent;0.07
luxurious cranberry;quantity_sub;-47
Epson Expression Home XP;quantity_add;2
glamorous grapes;remove;
NVIDIA GeForce GTX 1050;remove;
trendy tile;available;True
exquisite scaffolding;quantity_sub;-145
NVIDIA GeForce GTX 1050;price_percent;-0.15
Ricoh Aficio MP;price_percent;0.07
exquisite screws;quantity_sub;-109
Ricoh Aficio MP;price_abs;-10314
sublime plumbing;available;True
elegant electrical;available;True
trendy blackberry;quantity_sub;-44
refined ladder;quantity_sub;-111
HP LaserJet Pro;price_abs;1455
delightful flooring;available;True
HyperX DDR4 RAM;quantity_add;1
EVGA 500B 80+ BRONZE;quantity_sub;-5
pleasant tape measure;available;True
EVGA 500B 80+ BRONZE;quantity_add;4
NVIDIA GeForce GTX 1050;quantity_add;1
SteelSeries Arctis 7;available;False
Brother DCP-T510W;quantity_add;1
Epson Expression Home XP;quantity_add;2
stylish pedicure set;price_abs;-7
sublime plumbing;price_abs;15
EVGA 500B 80+ BRONZE;quantity_sub;-10
Kingston Canvas Select Plus;remove;
superb paint;price_percent;0.07
refined roofing;price_abs;4
Corsair HS60;quantity_sub;-9
Corsair HS60;price_abs;108059.6
HyperX DDR4 RAM;quantity_add;5
AMD Ryzen 5;quantity_sub;-9
Intel Core i5;price_percent;0.0
luxurious papaya;price_percent;0.16
glamorous flooring;price_abs;100.914
Ricoh Aficio MP;remove;
beautiful eye cream;available;True
NVIDIA GeForce GTX 1050;available;False
gorgeous drywall;available;True
beautiful tape measure;remove;
superb orange;price_abs;-2
Intel Core i5;available;False
glamorous papaya;price_abs;5
glamorous grapes;quantity_add;75
superb cherry;price_percent;0.11
attractive pineapple;quantity_add;3
EVGA 500B 80+ BRONZE;quantity_sub;-7
stylish level;price_abs;87.34000000000002
glamorous papaya;available;False
luxurious papaya;available;False
trendy blackberry;quantity_sub;-12
Intel Core i5;available;True
Intel Core i5;remove;
Epson Expression Home XP;remove;
HyperX DDR4 RAM;quantity_add;10
trendy plum;remove;
pretty axe;quantity_sub;-33
Razer Variau;price_abs;-780
beautiful tape measure;remove;
gorgeous ladder;quantity_sub;-6
marvelous lip balm;price_percent;-0.11
tasteful bubble bath;remove;
HyperX DDR4 RAM;price_abs;1897
HP LaserJet Pro;quantity_add;3
marvelous lip balm;available;True
Samsung 970 EVO SSD;quantity_add;1
trendy papaya;remove;
marvelous lip balm;available;True
elegant pedicure set;quantity_add;80
Epson Expression Home XP;remove;
WD Blue HDD;price_percent;0.11
pretty axe;price_percent;-0.09
HP LaserJet Pro;quantity_sub;-4
exquisite scaffolding;price_abs;21.736000000000004
SteelSeries Arctis 7;remove;
gorgeous orange;quantity_add;68
WD Blue HDD;available;True
tasteful grapes;available;True
marvelous drywall;remove;
amazing electrical;price_abs;1
Corsair HS60;available;True
EVGA 500B 80+ BRONZE;available;True
trendy mango;quantity_add;67
beautiful plumbing;available;True
Samsung 970 EVO SSD;price_abs;2850
WD Blue HDD;price_abs;-14490
glamorous flooring;remove;
HP LaserJet Pro;remove;
pretty glue;remove;
glamorous flooring;price_percent;-0.06
luxurious papaya;remove;
amazing night cream;price_percent;-0.13
Kingston Canvas Select Plus;quantity_sub;-3
HyperX DDR4 RAM;remove;
AMD Ryzen 5;quantity_add;1
elegant roofing;quantity_sub;-168
tasteful paint;quantity_add;79
pretty axe;quantity_add;34
superb paint;price_abs;3
elegant roofing;price_abs;-5
stylish level;quantity_add;132
attractive siding;price_percent;-0.02
amazing doors;price_percent;-0.15
exquisite siding;quantity_sub;-47
superb lip balm;quantity_sub;-56
Logitech Wireless Keyboard;quantity_add;1
amazing night cream;price_percent;-0.01
exquisite siding;available;True
tasteful grapes;quantity_sub;-135
NVIDIA GeForce GTX 1050;quantity_add;2
exquisite scaffolding;quantity_add;111
Corsair HS60;quantity_add;9
sublime blackberry;quantity_add;140
Intel Core i5;quantity_add;9
pretty glue;price_abs;7
pretty baseboard;quantity_add;173
glamorous electrical;quantity_sub;-166
marvelous lip balm;price_abs;0
marvelous makeup remover;quantity_sub;-89
gorgeous ladder;quantity_sub;-173
Canon PIXMA;quantity_sub;-4
amazing raspberry;available;False
trendy tile;available;False
attractive face wash;price_percent;-0.03
amazing boysenberry;price_percent;-0.13
Samsung 970 EVO SSD;quantity_add;2
Epson Expression Home XP;quantity_sub;-8
Logitech Wireless Keyboard;price_abs;-6409
Samsung 970 EVO SSD;price_abs;-5140
SteelSeries Arctis 7;quantity_sub;-2
sublime blueberry;price_percent;0.06
Epson Expression Home XP;available;True
SteelSeries Arctis 7;quantity_sub;-2
delightful melon;quantity_add;72
stylish level;price_percent;-0.12
Samsung 970 EVO SSD;quantity_sub;-2
sublime level;available;True
beautiful eye cream;remove;
pleasant lotion;price_abs;10
attractive face wash;price_percent;0.07
NVIDIA GeForce GTX 1050;available;True
delightful melon;quantity_sub;-162
Razer Variau;price_percent;-0.04
stylish kiwifruit;remove;
pretty glue;available;False
magnificent toothpaste;available;False
Ricoh Aficio MP;remove;
attractive siding;price_percent;-0.08
delightful wallpaper;available;False
beautiful insulation;remove;
elegant roofing;quantity_sub;-18
Razer Variau;price_percent;0.18
delightful wallpaper;quantity_add;28
Intel Core i5;price_percent;-0.07
tasteful grapes;price_abs;-10
gorgeous drywall;price_percent;-0.14
