name;price;quantity;category;fromCity;isAvailable;views
attractive strawberry;75.23;560;fruit;Тирана;False;27958
refined screws;68.64;873;tools;Осера;False;44029
refined saw;54.27;745;tools;Севилья;False;40005
beautiful wallpaper;76.3;717;tools;Бишкек;True;12099
Intel Core i5;70509;48;Гранада;False;81414
trendy grapes;10.14;557;fruit;Касерес;False;66152
elegant electrical;57.03;844;tools;Тарраса;True;66403
Canon PIXMA;53725;19;Астана;False;33389
nice plum;34.12;809;fruit;Подгорица;False;81080
Canon PIXMA;15651;52;Москва;True;47463
NVIDIA GeForce GTX 1050;24414;19;Подгорица;True;86853
Canon PIXMA;22389;27;Прага;True;1906
elegant serum;35.86;581;cosmetics;Киев;False;11170
marvelous makeup remover;74.97;584;cosmetics;Варшава;False;27260
Corsair HS60;96729;22;Астана;False;22536
amazing shampoo;50.98;678;cosmetics;Минск;True;10903
Corsair HS60;77618;38;Хихон;False;15312
exquisite trim;13.67;671;tools;Любляна;False;93545
attractive wallpaper;90.87;683;tools;Трухильо;False;82780
attractive wheelbarrow;34.65;837;tools;Скопье;False;75048
tasteful lip balm;98.2;599;cosmetics;Фигерас;False;73650
amazing hammer;75.34;932;tools;Куэнка;True;29833
Kingston Canvas Select Plus;52605;22;Хихон;True;33684
amazing saw;25.75;538;tools;Таллин;False;51298
Kingston Canvas Select Plus;15650;67;Сьюдад-Реаль;False;54086
marvelous manicure set;69.45;933;cosmetics;Трухильо;False;56007
HP LaserJet Pro;23431;69;Бланес;False;14856
attractive insulation;71.06;956;tools;Мурсия;False;95487
Corsair HS60;96935;26;Гранада;False;24074
Kingston Canvas Select Plus;63693;59;Валенсия;True;68032
refined eye cream;55.98;613;cosmetics;Вильявисиоса;True;85959
luxurious bubble bath;61.55;503;cosmetics;Трухильо;True;87478
pleasant pedicure set;74.71;828;cosmetics;Лас-Росас;True;89477
SteelSeries Arctis 7;29759;48;Касерес;True;42993
Brother DCP-T510W;16402;30;Артейхо;True;43990
Epson Expression Home XP;68564;56;Куэнка;True;92075
sublime serum;74.14;866;cosmetics;Льейда;True;40003
SteelSeries Arctis 7;35399;36;Тбилиси;False;15750
luxurious apricot;25.57;658;fruit;Куэнка;False;23617
Razer Variau;78148;32;Валенсия;True;82720
