name;method;param
refined lotion;price_percent;0.18
pretty mango;price_abs;-2
refined drywall;price_percent;0.08
AMD Ryzen 5;quantity_add;1
pretty mango;price_percent;0.14
glamorous serum;quantity_add;106
HP LaserJet Pro;price_abs;509
amazing baseboard;quantity_sub;-77
exquisite pineapple;quantity_sub;-64
SteelSeries Arctis 7;remove;
superb cherry;remove;
luxurious apricot;remove;
SteelSeries Arctis 7;price_abs;-11453
pleasant body wash;remove;
marvelous electrical;quantity_sub;-35
Corsair HS60;remove;
attractive perfume;available;False
attractive peach;price_percent;-0.08
elegant conditioner;quantity_add;30
Corsair HS60;price_abs;-851
luxurious toner;price_abs;11
beautiful perfume;price_abs;6
Ricoh Aficio MP;price_abs;53490.8
SteelSeries Arctis 7;price_percent;0.12
pleasant hammer;available;False
amazing sunscreen;available;True
magnificent moustache wax;quantity_sub;-165
tasteful pineapple;quantity_sub;-88
beautiful screws;quantity_add;129
Epson Expression Home XP;remove;
glamorous papaya;price_abs;93.87400000000001
marvelous bubble bath;quantity_sub;-77
pretty blackberry;remove;
nice face wash;price_percent;0.13
EVGA 500B 80+ BRONZE;price_percent;-0.14
trendy body wash;price_percent;0.06
tasteful screws;quantity_sub;-58
pretty moustache wax;price_abs;1
refined lotion;price_abs;11
Kingston Canvas Select Plus;remove;
Corsair HS60;remove;
AMD Ryzen 5;quantity_add;1
Ricoh Aficio MP;remove;
gorgeous scaffolding;remove;
HP LaserJet Pro;price_abs;-2786
pretty baby shampoo;quantity_add;47
Kingston Canvas Select Plus;price_percent;0.03
sublime manicure set;price_abs;-8
elegant blueberry;quantity_sub;-15
tasteful guava;price_percent;-0.1
Kingston Canvas Select Plus;remove;
Razer Variau;remove;
Razer Variau;quantity_sub;-3
magnificent tile;price_abs;0
attractive axe;quantity_sub;-68
WD Blue HDD;price_abs;177
Brother DCP-T510W;price_percent;-0.15
tasteful screws;quantity_sub;-31
glamorous lotion;price_abs;-11
nice nail polish;price_percent;0.04
Kingston Canvas Select Plus;quantity_sub;-7
glamorous lotion;quantity_add;88
Kingston Canvas Select Plus;quantity_sub;-5
Corsair HS60;price_percent;0.07
glamorous level;quantity_add;8
trendy body wash;quantity_sub;-168
Ricoh Aficio MP;remove;
magnificent moustache wax;quantity_sub;-53
Epson Expression Home XP;quantity_sub;-10
Canon PIXMA;available;True
marvelous papaya;available;True
sublime apple;quantity_add;94
superb plumbing;remove;
glamorous serum;price_abs;7
AMD Ryzen 5;remove;
glamorous papaya;remove;
pretty serum;remove;
AMD Ryzen 5;available;True
attractive screws;quantity_sub;-125
gorgeous lip balm;quantity_add;124
Epson Expression Home XP;quantity_add;2
Corsair HS60;quantity_add;8
gorgeous scaffolding;remove;
stylish orange;available;True
gorgeous body wash;quantity_add;51
amazing moustache wax;remove;
HP LaserJet Pro;available;True
pretty facial cleanser;remove;
