name;method;param
nice plumbing;quantity_add;138
marvelous blueberry;price_percent;0.12
glamorous insulation;price_abs;-6
Kingston Canvas Select Plus;quantity_sub;-1
pleasant baseboard;remove;
beautiful manicure set;quantity_add;123
pleasant electrical;quantity_sub;-130
marvelous shampoo;price_percent;-0.01
delightful toothpaste;remove;
elegant moisturizer;price_abs;2
glamorous grapes;price_percent;-0.14
luxurious manicure set;remove;
amazing flooring;remove;
marvelous lotion;quantity_sub;-119
SteelSeries Arctis 7;quantity_add;4
Corsair HS60;available;False
tasteful chisel;quantity_sub;-57
SteelSeries Arctis 7;available;True
Intel Core i5;available;False
nice moustache wax;price_percent;-0.11
amazing flooring;quantity_add;87
attractive siding;price_abs;-6
Samsung 970 EVO SSD;price_abs;18302
Brother DCP-T510W;quantity_add;10
luxurious paint;quantity_sub;-33
marvelous deodorant;quantity_add;159
superb manicure set;price_abs;5
tasteful baby shampoo;available;False
WD Blue HDD;price_percent;0.09
refined night cream;quantity_add;87
Intel Core i5;price_percent;0.2
superb toothpaste;remove;
pretty axe;quantity_sub;-14
glamorous banana;remove;
stylish nails;quantity_sub;-58
pleasant drywall;remove;
WD Blue HDD;available;False
exquisite siding;quantity_add;42
nice nail polish;remove;
luxurious paint;price_percent;0.2
Ricoh Aficio MP;quantity_sub;-8
pretty axe;price_percent;0.05
glamorous raspberry;quantity_add;80
Brother DCP-T510W;quantity_sub;-4
WD Blue HDD;price_abs;16969
luxurious paint;quantity_add;115
pleasant paint;available;True
stylish nails;price_abs;0
trendy blackberry;price_abs;97.52600000000001
magnificent strawberry;quantity_sub;-33
stylish nails;price_percent;-0.04
pleasant baseboard;available;False
marvelous lotion;available;True
AMD Ryzen 5;quantity_add;3
elegant facial cleanser;quantity_sub;-48
Kingston Canvas Select Plus;price_abs;-34
magnificent doors;quantity_sub;-83
elegant scaffolding;quantity_add;126
attractive baby shampoo;available;True
refined roofing;quantity_sub;-13
beautiful manicure set;remove;
nice ladder;price_abs;-2
luxurious glue;quantity_add;20
luxurious baseboard;remove;
Corsair HS60;quantity_sub;-1
Razer Variau;price_abs;-3896
NVIDIA GeForce GTX 1050;quantity_sub;-1
pretty drywall;quantity_add;32
glamorous raspberry;price_abs;-3
nice moustache wax;price_abs;-3
HyperX DDR4 RAM;price_abs;91611.3
attractive baby shampoo;price_abs;-8
beautiful lotion;quantity_add;162
Ricoh Aficio MP;quantity_sub;-4
Corsair HS60;quantity_sub;-6
attractive electrical;available;True
marvelous blueberry;price_abs;8
attractive siding;price_percent;-0.02
gorgeous plum;remove;
Epson Expression Home XP;remove;
tasteful axe;available;False
attractive siding;remove;
stylish apricot;quantity_sub;-81
luxurious baseboard;quantity_sub;-79
AMD Ryzen 5;available;True
magnificent manicure set;available;False
amazing glue;quantity_sub;-94
tasteful wheelbarrow;available;True
marvelous melon;remove;
marvelous apricot;remove;
trendy orange;remove;
nice moustache wax;quantity_sub;-97
marvelous boysenberry;quantity_add;42
Epson Expression Home XP;available;True
marvelous blueberry;price_abs;-2
elegant moisturizer;remove;
stylish apricot;price_percent;-0.01
amazing drywall;price_percent;0.04
HyperX DDR4 RAM;price_percent;0.15
delightful toothpaste;available;True
glamorous kiwifruit;quantity_sub;-72
gorgeous shampoo;remove;
HP LaserJet Pro;price_abs;902
pretty saw;available;False
marvelous blueberry;price_abs;-3
gorgeous hair mask;price_abs;-1
Corsair HS60;remove;
stylish apricot;remove;
Canon PIXMA;price_abs;-1944
pretty saw;remove;
Corsair HS60;quantity_add;1
Brother DCP-T510W;price_percent;0.11
elegant axe;price_percent;-0.01
exquisite cranberry;remove;
pleasant paint;price_percent;-0.11
pretty sunscreen;quantity_add;77
refined glue;quantity_sub;-37
glamorous guava;remove;
luxurious paint;price_abs;-2
attractive siding;quantity_sub;-76
luxurious body wash;quantity_add;62
Brother DCP-T510W;quantity_add;2
Epson Expression Home XP;price_percent;0.14
stylish wallpaper;price_abs;-3
amazing drywall;quantity_add;86
pleasant baseboard;remove;
amazing papaya;price_percent;-0.12
luxurious glue;price_abs;-14
Samsung 970 EVO SSD;price_abs;109071.6
AMD Ryzen 5;price_percent;0.16
pretty guava;quantity_sub;-60
exquisite cherry;quantity_add;146
SteelSeries Arctis 7;price_abs;-4729
glamorous kiwifruit;quantity_add;123
marvelous blueberry;price_percent;-0.17
Kingston Canvas Select Plus;price_abs;-2037
tasteful axe;price_abs;4
glamorous insulation;quantity_sub;-38
elegant shampoo;price_abs;-7
exquisite shovel;price_abs;-5
Ricoh Aficio MP;price_percent;0.12
Brother DCP-T510W;available;True
exquisite cherry;quantity_sub;-80
elegant axe;price_abs;-4
gorgeous hair mask;remove;
pretty saw;remove;
amazing bubble bath;quantity_add;61
magnificent strawberry;remove;
marvelous blueberry;price_percent;0.03
marvelous melon;available;True
Samsung 970 EVO SSD;available;True
luxurious body wash;remove;
Razer Variau;price_percent;0.07
pretty cranberry;price_percent;-0.07
Ricoh Aficio MP;quantity_sub;-1
Samsung 970 EVO SSD;quantity_sub;-10
glamorous lotion;quantity_sub;-102
Logitech Wireless Keyboard;price_percent;-0.14
glamorous insulation;remove;
Kingston Canvas Select Plus;price_abs;-1891
pretty sunscreen;remove;
pretty sunscreen;quantity_sub;-41
stylish nails;available;True
amazing papaya;price_percent;0.0
pretty cranberry;available;True
HP LaserJet Pro;price_percent;-0.2
pretty wallpaper;price_abs;-11
pretty wallpaper;available;True
Ricoh Aficio MP;price_abs;10455
exquisite strawberry;available;True
elegant apple;price_abs;0
