name;method;param
stylish mango;remove;
nice level;price_percent;0.01
SteelSeries Arctis 7;remove;
HP LaserJet Pro;price_abs;2069
amazing exfoliator;price_abs;-1
glamorous face wash;available;True
nice level;quantity_sub;-55
HP LaserJet Pro;price_percent;0.07
marvelous drywall;quantity_add;102
amazing sunscreen;quantity_add;47
pretty nails;price_abs;-4
Samsung 970 EVO SSD;price_abs;-1497
nice papaya;available;True
tasteful peach;available;False
WD Blue HDD;price_abs;2074
gorgeous toothpaste;available;True
AMD Ryzen 5;available;False
tasteful baby shampoo;price_percent;-0.17
nice papaya;price_abs;2
sublime facial cleanser;remove;
glamorous kiwifruit;available;False
SteelSeries Arctis 7;quantity_sub;-9
superb paint;price_abs;-6
tasteful peach;price_abs;0
stylish nail polish;price_percent;-0.11
HP LaserJet Pro;quantity_sub;-2
tasteful sunscreen;remove;
Kingston Canvas Select Plus;remove;
refined kiwifruit;remove;
AMD Ryzen 5;remove;
stylish level;available;True
trendy boysenberry;available;True
Samsung 970 EVO SSD;price_percent;-0.15
Corsair HS60;price_abs;5849
Intel Core i5;price_percent;-0.15
WD Blue HDD;price_percent;-0.05
nice level;available;False
WD Blue HDD;quantity_sub;-6
refined saw;quantity_add;78
Samsung 970 EVO SSD;quantity_add;4
sublime scaffolding;price_abs;2
sublime facial cleanser;price_percent;0.11
sublime baseboard;quantity_add;18
AMD Ryzen 5;available;False
Epson Expression Home XP;quantity_sub;-9
EVGA 500B 80+ BRONZE;quantity_add;5
amazing melon;available;False
WD Blue HDD;price_percent;-0.13
Logitech Wireless Keyboard;quantity_add;1
Kingston Canvas Select Plus;quantity_sub;-5
Samsung 970 EVO SSD;quantity_sub;-4
nice papaya;quantity_sub;-41
Samsung 970 EVO SSD;available;False
pretty banana;price_percent;0.19
beautiful exfoliator;quantity_sub;-49
attractive night cream;quantity_sub;-85
HyperX DDR4 RAM;remove;
stylish mango;price_percent;-0.12
marvelous baseboard;available;True
stylish hair mask;price_percent;0.07
WD Blue HDD;quantity_add;5
AMD Ryzen 5;price_abs;-3872
amazing melon;quantity_add;79
Corsair HS60;remove;
pretty cherry;price_percent;-0.03
AMD Ryzen 5;quantity_add;2
AMD Ryzen 5;quantity_sub;-11
nice level;price_abs;97.438
magnificent siding;price_abs;-5
attractive night cream;price_percent;-0.07
Samsung 970 EVO SSD;available;False
Corsair HS60;price_abs;99082.50000000001
Epson Expression Home XP;price_abs;16786
beautiful exfoliator;quantity_add;89
delightful conditioner;quantity_add;69
glamorous moisturizer;price_percent;-0.04
glamorous face wash;quantity_sub;-36
pretty nails;price_abs;72.974
trendy exfoliator;price_abs;-9
stylish strawberry;quantity_sub;-11
tasteful guava;price_percent;0.06
exquisite conditioner;price_abs;29.073
marvelous baseboard;quantity_sub;-120
HP LaserJet Pro;quantity_sub;-1
refined roofing;quantity_add;6
beautiful orange;price_percent;0.11
pretty cherry;remove;
Samsung 970 EVO SSD;quantity_add;2
amazing lotion;price_abs;-3
Samsung 970 EVO SSD;quantity_sub;-7
AMD Ryzen 5;price_percent;0.03
pretty serum;quantity_add;161
Corsair HS60;price_abs;-523
Razer Variau;available;True
refined kiwifruit;price_abs;-4
stylish grapes;quantity_sub;-24
Razer Variau;remove;
pleasant screws;price_abs;-3
delightful conditioner;quantity_add;70
tasteful moisturizer;available;False
Logitech Wireless Keyboard;price_percent;-0.16
WD Blue HDD;price_abs;1738
refined apricot;price_abs;2
HyperX DDR4 RAM;available;False
nice papaya;price_percent;-0.08
AMD Ryzen 5;available;True
delightful electrical;quantity_add;84
EVGA 500B 80+ BRONZE;price_percent;0.11
HP LaserJet Pro;quantity_sub;-1
nice makeup remover;available;True
HP LaserJet Pro;quantity_sub;-3
delightful electrical;remove;
tasteful peach;price_abs;-2
stylish level;quantity_add;43
refined apricot;available;True
nice level;quantity_add;50
stylish blueberry;price_percent;0.02
Corsair HS60;remove;
AMD Ryzen 5;available;True
pretty serum;quantity_sub;-39
sublime baseboard;quantity_add;76
magnificent banana;remove;
delightful makeup remover;available;True
magnificent banana;remove;
refined saw;remove;
nice level;quantity_add;38
pleasant banana;price_percent;-0.11
beautiful pineapple;available;True
stylish hair mask;remove;
attractive night cream;quantity_add;79
sublime scaffolding;available;True
sublime flooring;quantity_sub;-76
magnificent siding;available;True
Epson Expression Home XP;available;True
exquisite perfume;available;False
gorgeous trim;available;False
pretty blackberry;quantity_sub;-104
Epson Expression Home XP;remove;
Epson Expression Home XP;price_abs;-10722
WD Blue HDD;price_abs;14945
stylish level;quantity_add;19
SteelSeries Arctis 7;price_percent;0.05
glamorous moisturizer;available;True
pretty nails;price_abs;-3
marvelous baby shampoo;available;True
trendy cranberry;available;True
stylish nail polish;available;False
Epson Expression Home XP;price_percent;0.1
AMD Ryzen 5;price_abs;946
amazing sunscreen;remove;
Kingston Canvas Select Plus;remove;
amazing baby shampoo;available;True
WD Blue HDD;quantity_sub;-11
pretty nails;price_abs;-3
sublime facial cleanser;quantity_sub;-118
glamorous tape measure;price_percent;-0.13
WD Blue HDD;price_percent;0.14
gorgeous toothpaste;quantity_add;46
Corsair HS60;quantity_sub;-3
HyperX DDR4 RAM;remove;
Intel Core i5;price_percent;0.03
nice moisturizer;available;True
WD Blue HDD;price_percent;0.17
AMD Ryzen 5;available;True
exquisite saw;quantity_sub;-22
luxurious ladder;price_percent;-0.19
tasteful moisturizer;price_abs;7
Kingston Canvas Select Plus;price_abs;32403.800000000003
Corsair HS60;available;True
trendy boysenberry;remove;
marvelous melon;remove;
trendy exfoliator;quantity_sub;-93
Epson Expression Home XP;available;True
luxurious exfoliator;quantity_sub;-90
