name;method;param
Kingston Canvas Select Plus;quantity_add;1
elegant moisturizer;quantity_sub;-62
luxurious apple;available;True
superb plumbing;quantity_add;117
Epson Expression Home XP;available;True
Kingston Canvas Select Plus;price_abs;-8201
Razer Variau;quantity_sub;-3
Corsair HS60;quantity_sub;-2
tasteful plum;price_abs;13
Samsung 970 EVO SSD;available;False
elegant bubble bath;quantity_sub;-49
refined wallpaper;available;False
delightful screws;quantity_add;92
refined apricot;price_abs;10
attractive apricot;price_abs;61.74300000000001
exquisite lotion;remove;
WD Blue HDD;quantity_add;1
Razer Variau;quantity_sub;-2
tasteful plum;quantity_add;17
exquisite cranberry;available;True
amazing baby shampoo;quantity_sub;-150
elegant pedicure set;price_abs;64.71300000000001
refined apricot;price_percent;0.02
refined apricot;price_abs;-5
superb pineapple;available;True
pretty body wash;quantity_add;29
elegant grapes;available;True
Epson Expression Home XP;available;False
attractive shovel;quantity_sub;-128
Brother DCP-T510W;quantity_add;4
pleasant plum;available;False
gorgeous facial cleanser;remove;
gorgeous chisel;price_abs;14
Samsung 970 EVO SSD;price_abs;-4038
pretty conditioner;quantity_add;35
attractive moustache wax;price_abs;8
nice hammer;remove;
tasteful makeup remover;quantity_sub;-94
tasteful paint;quantity_sub;-35
tasteful paint;price_abs;-2
beautiful chisel;price_abs;1
pleasant lip balm;quantity_sub;-21
amazing sunscreen;price_percent;-0.2
trendy night cream;remove;
tasteful paint;quantity_sub;-94
stylish kiwifruit;quantity_sub;-46
attractive saw;quantity_add;21
HP LaserJet Pro;quantity_add;3
pleasant electrical;quantity_sub;-72
pleasant electrical;quantity_sub;-27
refined wallpaper;quantity_sub;-101
attractive plum;quantity_sub;-22
beautiful chisel;quantity_add;18
attractive facial cleanser;price_percent;0.13
nice plumbing;quantity_sub;-180
exquisite conditioner;price_abs;-8
elegant pedicure set;quantity_add;129
Samsung 970 EVO SSD;remove;
Logitech Wireless Keyboard;price_abs;-13767
trendy night cream;remove;
SteelSeries Arctis 7;price_percent;0.17
sublime facial cleanser;price_percent;-0.14
Samsung 970 EVO SSD;available;True
elegant bubble bath;price_abs;-1
exquisite conditioner;available;False
elegant moisturizer;price_abs;-8
refined saw;price_abs;-8
refined boysenberry;quantity_add;81
Kingston Canvas Select Plus;quantity_sub;-7
gorgeous boysenberry;available;True
tasteful toner;remove;
Kingston Canvas Select Plus;remove;
Samsung 970 EVO SSD;price_percent;-0.07
attractive orange;available;True
attractive melon;quantity_sub;-83
pleasant lip balm;price_abs;29.557000000000002
Corsair HS60;price_abs;-1359
gorgeous peach;quantity_sub;-69
glamorous cranberry;price_abs;2
attractive saw;available;False
tasteful plum;price_percent;-0.16
glamorous exfoliator;available;True
attractive moustache wax;remove;
amazing conditioner;available;True
Brother DCP-T510W;available;False
tasteful plum;remove;
HyperX DDR4 RAM;price_percent;0.16
Razer Variau;quantity_add;2
EVGA 500B 80+ BRONZE;price_percent;-0.11
attractive melon;quantity_add;44
Razer Variau;remove;
pretty wallpaper;available;False
Brother DCP-T510W;quantity_sub;-4
Corsair HS60;remove;
refined boysenberry;available;True
Canon PIXMA;available;False
