name;method;param
gorgeous drywall;remove;
nice conditioner;remove;
Kingston Canvas Select Plus;price_abs;-4992
superb electrical;price_percent;0.2
glamorous doors;available;True
delightful insulation;remove;
Epson Expression Home XP;quantity_sub;-8
Kingston Canvas Select Plus;price_abs;696
nice conditioner;price_abs;-2
marvelous shampoo;quantity_add;156
delightful roofing;quantity_add;139
trendy boysenberry;quantity_add;167
HyperX DDR4 RAM;quantity_sub;-8
pretty baby shampoo;quantity_add;112
Ricoh Aficio MP;available;True
luxurious plumbing;remove;
NVIDIA GeForce GTX 1050;quantity_sub;-4
nice conditioner;price_abs;1
delightful perfume;available;True
HP LaserJet Pro;quantity_add;5
pleasant pedicure set;price_percent;-0.16
attractive banana;price_percent;-0.01
EVGA 500B 80+ BRONZE;quantity_sub;-9
EVGA 500B 80+ BRONZE;remove;
Ricoh Aficio MP;quantity_add;1
HP LaserJet Pro;price_abs;13270
superb lip balm;price_abs;33.132000000000005
magnificent saw;price_abs;3
Samsung 970 EVO SSD;price_abs;-3356
pretty glue;price_percent;0.15
exquisite insulation;price_percent;0.17
NVIDIA GeForce GTX 1050;quantity_sub;-4
Brother DCP-T510W;quantity_sub;-1
refined bubble bath;price_percent;-0.2
glamorous lotion;available;True
SteelSeries Arctis 7;price_abs;4920
magnificent grapes;available;True
refined moisturizer;available;True
NVIDIA GeForce GTX 1050;price_percent;0.2
Epson Expression Home XP;price_abs;-9243
glamorous blueberry;price_percent;-0.14
glamorous lotion;price_percent;-0.12
stylish facial cleanser;quantity_sub;-22
gorgeous moisturizer;quantity_add;59
amazing body wash;price_percent;0.16
AMD Ryzen 5;quantity_add;6
marvelous mango;remove;
Ricoh Aficio MP;available;True
superb level;remove;
luxurious electrical;remove;
Corsair HS60;quantity_add;6
delightful chisel;price_abs;9
nice baseboard;quantity_add;8
HP LaserJet Pro;quantity_add;2
Ricoh Aficio MP;quantity_sub;-5
AMD Ryzen 5;quantity_add;15
WD Blue HDD;price_abs;64094.8
gorgeous moisturizer;remove;
Kingston Canvas Select Plus;price_percent;0.07
nice cranberry;available;False
sublime shovel;price_percent;-0.12
trendy paint;available;True
Ricoh Aficio MP;available;False
Epson Expression Home XP;price_abs;1947
HyperX DDR4 RAM;available;False
trendy face wash;quantity_add;19
NVIDIA GeForce GTX 1050;quantity_sub;-5
pretty blueberry;quantity_add;78
sublime guava;price_abs;62.72200000000001
Ricoh Aficio MP;price_percent;-0.16
magnificent glue;quantity_sub;-1
NVIDIA GeForce GTX 1050;remove;
tasteful bubble bath;price_abs;-8
refined strawberry;remove;
Ricoh Aficio MP;price_abs;77717.20000000001
exquisite insulation;quantity_add;123
delightful roofing;price_abs;0
glamorous deodorant;remove;
HP LaserJet Pro;price_abs;1381
gorgeous face wash;available;True
Samsung 970 EVO SSD;quantity_sub;-3
Razer Variau;remove;
Corsair HS60;available;True
elegant apple;quantity_add;113
SteelSeries Arctis 7;quantity_add;3
trendy boysenberry;available;False
HyperX DDR4 RAM;price_percent;0.12
Canon PIXMA;price_abs;-7093
Canon PIXMA;remove;
stylish nails;quantity_sub;-67
Samsung 970 EVO SSD;quantity_add;1
trendy paint;price_percent;0.2
Epson Expression Home XP;price_abs;10036
Ricoh Aficio MP;available;False
nice cranberry;available;True
Kingston Canvas Select Plus;price_percent;0.15
exquisite insulation;available;True
glamorous glue;price_percent;-0.11
nice melon;price_abs;1
magnificent guava;quantity_sub;-33
HyperX DDR4 RAM;quantity_add;5
EVGA 500B 80+ BRONZE;price_abs;-8945
glamorous blueberry;quantity_sub;-126
Canon PIXMA;price_percent;0.09
Epson Expression Home XP;quantity_sub;-1
superb toothpaste;price_abs;90.002
HP LaserJet Pro;remove;
Corsair HS60;available;True
EVGA 500B 80+ BRONZE;price_percent;-0.2
superb raspberry;remove;
SteelSeries Arctis 7;available;True
sublime lip balm;quantity_sub;-18
elegant paint;available;True
magnificent face wash;quantity_sub;-24
nice conditioner;quantity_sub;-113
NVIDIA GeForce GTX 1050;price_percent;0.01
EVGA 500B 80+ BRONZE;quantity_sub;-1
marvelous serum;price_abs;-8
pretty doors;quantity_add;116
attractive papaya;remove;
pleasant pedicure set;remove;
Epson Expression Home XP;available;True
attractive kiwifruit;price_abs;1
Canon PIXMA;price_percent;-0.2
Canon PIXMA;quantity_sub;-1
pretty lip balm;available;False
glamorous glue;quantity_sub;-164
glamorous deodorant;price_abs;9
Brother DCP-T510W;price_percent;-0.18
Canon PIXMA;quantity_sub;-4
Ricoh Aficio MP;price_abs;12408
nice cranberry;price_percent;-0.12
marvelous mango;price_percent;-0.04
delightful roofing;quantity_sub;-123
glamorous doors;price_percent;-0.01
Kingston Canvas Select Plus;remove;
trendy blackberry;price_percent;-0.01
refined strawberry;quantity_sub;-56
Epson Expression Home XP;quantity_add;6
Corsair HS60;quantity_sub;-2
elegant paint;available;False
attractive cherry;remove;
Kingston Canvas Select Plus;remove;
EVGA 500B 80+ BRONZE;available;True
glamorous blueberry;price_percent;0.15
HP LaserJet Pro;quantity_add;1
Razer Variau;quantity_add;2
Kingston Canvas Select Plus;remove;
trendy face wash;quantity_add;27
Kingston Canvas Select Plus;quantity_add;3
Razer Variau;price_percent;-0.16
Corsair HS60;price_percent;-0.09
HP LaserJet Pro;price_abs;-4349
superb raspberry;remove;
HyperX DDR4 RAM;quantity_sub;-4
Epson Expression Home XP;remove;
Ricoh Aficio MP;price_percent;-0.06
Kingston Canvas Select Plus;price_percent;-0.19
pretty baby shampoo;quantity_add;186
trendy boysenberry;quantity_add;43
Ricoh Aficio MP;available;False
delightful apricot;quantity_add;160
Ricoh Aficio MP;price_abs;-4797
beautiful plum;quantity_add;17
NVIDIA GeForce GTX 1050;price_abs;9308
SteelSeries Arctis 7;price_abs;6193
Ricoh Aficio MP;remove;
HyperX DDR4 RAM;price_abs;1892
HyperX DDR4 RAM;remove;
HyperX DDR4 RAM;quantity_add;12
AMD Ryzen 5;quantity_sub;-12
Kingston Canvas Select Plus;quantity_add;7
marvelous bubble bath;price_abs;-1
attractive cherry;price_abs;-6
pleasant nail file;available;True
Intel Core i5;remove;
magnificent saw;quantity_add;39
glamorous deodorant;available;True
EVGA 500B 80+ BRONZE;price_percent;0.0
WD Blue HDD;remove;
tasteful tile;price_abs;-14
AMD Ryzen 5;price_percent;-0.18
EVGA 500B 80+ BRONZE;price_abs;-4406
gorgeous drywall;quantity_sub;-49
marvelous bubble bath;price_abs;43.538000000000004
pleasant deodorant;quantity_add;128
AMD Ryzen 5;available;True
pretty lip balm;quantity_add;49
AMD Ryzen 5;remove;
beautiful level;remove;
trendy boysenberry;quantity_add;129
Ricoh Aficio MP;quantity_sub;-9
pretty lip balm;price_percent;-0.08
stylish nails;price_abs;-7
superb electrical;quantity_sub;-16
Kingston Canvas Select Plus;price_percent;0.15
AMD Ryzen 5;quantity_add;1
HP LaserJet Pro;available;True
Razer Variau;price_percent;-0.13
Ricoh Aficio MP;remove;
elegant baby shampoo;remove;
SteelSeries Arctis 7;quantity_add;5
Canon PIXMA;quantity_add;2
Kingston Canvas Select Plus;quantity_add;11
pretty pedicure set;price_abs;-11
beautiful level;remove;
pretty baby shampoo;available;False
trendy boysenberry;price_abs;-9
glamorous face wash;price_abs;3
tasteful tile;price_percent;0.01
EVGA 500B 80+ BRONZE;price_percent;0.0
AMD Ryzen 5;available;False
SteelSeries Arctis 7;quantity_sub;-6
Epson Expression Home XP;quantity_add;2
trendy face wash;price_percent;0.11
refined bubble bath;quantity_sub;-160
Canon PIXMA;available;True
AMD Ryzen 5;price_percent;-0.16
glamorous doors;price_percent;-0.08
Kingston Canvas Select Plus;price_abs;-12259
HyperX DDR4 RAM;remove;
