name;method;param
amazing manicure set;price_percent;0.07
superb cranberry;quantity_sub;-66
trendy insulation;available;True
nice serum;quantity_sub;-121
glamorous baby shampoo;quantity_sub;-56
Corsair HS60;price_percent;-0.17
exquisite sunscreen;price_abs;-3
HyperX DDR4 RAM;price_abs;54549.00000000001
nice exfoliator;price_abs;71.61
Brother DCP-T510W;available;False
exquisite sunscreen;price_percent;-0.02
superb baby shampoo;remove;
gorgeous baseboard;quantity_add;94
exquisite guava;price_percent;-0.01
attractive papaya;quantity_sub;-10
trendy insulation;remove;
attractive blueberry;price_abs;6
attractive electrical;remove;
Brother DCP-T510W;remove;
gorgeous roofing;price_percent;0.12
HyperX DDR4 RAM;remove;
nice ladder;quantity_sub;-142
AMD Ryzen 5;remove;
AMD Ryzen 5;price_abs;936
Kingston Canvas Select Plus;quantity_add;2
Ricoh Aficio MP;quantity_sub;-6
Brother DCP-T510W;quantity_sub;-2
superb cherry;quantity_sub;-69
Brother DCP-T510W;price_abs;-10970
superb makeup remover;price_abs;0
Corsair HS60;available;False
beautiful mango;quantity_sub;-99
elegant body wash;price_percent;-0.12
pleasant apple;quantity_add;14
nice moustache wax;quantity_sub;-44
nice exfoliator;quantity_sub;-40
nice mango;price_abs;-9
beautiful pedicure set;remove;
attractive peach;quantity_add;12
AMD Ryzen 5;price_abs;5961
Razer Variau;available;True
exquisite kiwifruit;remove;
Intel Core i5;price_percent;-0.19
Razer Variau;price_abs;-7262
exquisite blackberry;quantity_add;163
elegant body wash;available;True
sublime axe;quantity_sub;-125
trendy insulation;available;False
nice ladder;available;False
stylish strawberry;available;True
trendy nail file;price_percent;-0.19
gorgeous glue;remove;
delightful scaffolding;price_percent;-0.08
attractive peach;remove;
trendy hammer;price_percent;0.01
HyperX DDR4 RAM;quantity_add;7
nice exfoliator;remove;
Corsair HS60;price_abs;-10116
NVIDIA GeForce GTX 1050;quantity_sub;-4
Intel Core i5;remove;
Kingston Canvas Select Plus;quantity_sub;-2
tasteful pineapple;remove;
exquisite tile;available;True
Razer Variau;quantity_add;1
attractive peach;available;True
elegant body wash;price_abs;4
Intel Core i5;price_abs;13062
Ricoh Aficio MP;price_abs;-1970
Razer Variau;remove;
Brother DCP-T510W;remove;
nice ladder;remove;
Kingston Canvas Select Plus;remove;
Intel Core i5;remove;
HyperX DDR4 RAM;quantity_add;14
refined toner;remove;
pleasant plum;remove;
luxurious wheelbarrow;quantity_sub;-55
attractive blueberry;price_percent;-0.1
exquisite toner;available;True
attractive papaya;available;True
pleasant chisel;price_percent;0.1
Corsair HS60;price_percent;-0.13
AMD Ryzen 5;available;False
amazing orange;price_abs;14
pleasant conditioner;remove;
refined grapes;quantity_add;15
pleasant plum;available;False
Razer Variau;price_abs;-1763
Corsair HS60;price_abs;7112
superb wallpaper;remove;
attractive electrical;price_percent;-0.11
Samsung 970 EVO SSD;quantity_add;8
exquisite toner;quantity_add;107
nice doors;quantity_add;51
sublime pineapple;price_abs;-7
trendy boysenberry;remove;
