name;method;param
gorgeous nail polish;quantity_add;50
HyperX DDR4 RAM;price_abs;-1968
refined windows;quantity_sub;-134
magnificent electrical;available;True
tasteful mango;price_percent;0.09
sublime flooring;available;True
sublime blackberry;quantity_add;50
nice tile;price_abs;-7
stylish serum;quantity_add;49
Corsair HS60;price_percent;0.01
marvelous night cream;remove;
WD Blue HDD;available;True
magnificent axe;remove;
pleasant lotion;available;False
AMD Ryzen 5;price_abs;2918
Samsung 970 EVO SSD;available;False
Intel Core i5;quantity_sub;-1
Razer Variau;quantity_sub;-10
Razer Variau;available;True
nice screws;price_abs;-2
Canon PIXMA;remove;
pretty trim;available;False
luxurious makeup remover;price_abs;16
Samsung 970 EVO SSD;price_abs;-6738
HP LaserJet Pro;remove;
nice serum;price_percent;-0.16
Intel Core i5;price_abs;3163
pretty serum;price_abs;1
attractive siding;quantity_add;83
AMD Ryzen 5;available;True
pleasant cranberry;remove;
pleasant tile;price_abs;0
attractive apple;price_abs;1
EVGA 500B 80+ BRONZE;available;False
refined windows;quantity_sub;-129
Brother DCP-T510W;price_abs;11278
refined moisturizer;available;True
marvelous windows;price_abs;0
luxurious guava;remove;
HyperX DDR4 RAM;price_percent;0.13
Corsair HS60;remove;
AMD Ryzen 5;quantity_add;4
trendy shovel;quantity_add;97
attractive plum;remove;
attractive shovel;price_percent;0.08
pretty plum;price_abs;-5
Samsung 970 EVO SSD;quantity_add;1
Intel Core i5;price_percent;-0.07
Kingston Canvas Select Plus;price_abs;-1494
pretty papaya;price_abs;-2
EVGA 500B 80+ BRONZE;quantity_sub;-2
AMD Ryzen 5;quantity_sub;-8
Brother DCP-T510W;remove;
beautiful flooring;price_abs;15
magnificent facial cleanser;quantity_add;130
luxurious electrical;available;True
NVIDIA GeForce GTX 1050;price_abs;856
elegant cranberry;available;True
Canon PIXMA;available;True
exquisite glue;price_percent;0.09
nice screws;remove;
stylish conditioner;quantity_sub;-59
amazing pineapple;remove;
attractive apple;quantity_add;4
tasteful mango;remove;
Intel Core i5;quantity_add;6
pleasant hammer;quantity_sub;-92
EVGA 500B 80+ BRONZE;price_abs;105092.90000000001
magnificent paint;quantity_add;159
elegant body wash;quantity_sub;-103
amazing pineapple;available;True
pretty cherry;price_abs;10
pretty kiwifruit;quantity_sub;-57
HP LaserJet Pro;price_abs;1300
Brother DCP-T510W;price_percent;0.0
pleasant tile;quantity_add;60
magnificent cranberry;quantity_add;99
Canon PIXMA;quantity_add;6
trendy shovel;price_abs;-3
elegant trim;remove;
magnificent insulation;price_abs;-9
Corsair HS60;price_abs;-3217
pretty trim;price_percent;-0.04
Corsair HS60;quantity_sub;-7
Ricoh Aficio MP;remove;
Intel Core i5;available;False
Logitech Wireless Keyboard;quantity_sub;-1
nice tile;quantity_sub;-175
AMD Ryzen 5;remove;
Kingston Canvas Select Plus;remove;
gorgeous pineapple;available;True
NVIDIA GeForce GTX 1050;available;True
EVGA 500B 80+ BRONZE;quantity_sub;-4
exquisite blueberry;price_percent;-0.05
pleasant blueberry;price_abs;9
glamorous orange;available;False
gorgeous nail polish;remove;
Corsair HS60;available;True
delightful shampoo;price_percent;0.13
attractive moustache wax;price_abs;2
gorgeous wheelbarrow;quantity_sub;-19
superb guava;available;False
