artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Imagine Dragons;Believer;204346;2017;124.982;rock;0.787;10;-4.305
David Guetta;Lovers on the Sun (feat. Sam Martin);203520;2014;124.915;hip hop, pop, Dance/Electronic;0.891;6;-2.505
Katy Perry;Dark Horse;215672;2013;131.934;pop;0.585;6;-6.123
Mary J. Blige;Be Without You - Kendu Mix;246333;2005;146.559;pop, R&B;0.7;2;-5.881
Selena Gomez;Kill Em With Kindness;217906;2015;120.012;pop;0.884;10;-5.488
Lil Wayne;A Milli;221840;2008;151.486;hip hop, pop;0.695;6;-8.636
The Pussycat Dolls;I Hate This Part;218400;2008;111.572;pop, R&B;0.612;5;-4.371
Céline Dion;A New Day Has Come - Radio Remix;259773;2001;91.969;pop;0.691;6;-5.103
Girls Aloud;Something Kinda Ooooh;201590;2012;131.925;pop, Dance/Electronic;0.908;11;-3.918
Afroman;Because I Got High;197760;2001;166.01;hip hop;0.341;7;-8.56
*NSYNC;Gone;292000;2001;113.922;pop;0.403;11;-8.564
Outkast;Ms. Jackson;270506;2000;94.948;hip hop, pop;0.806;4;-5.946
Tyler, The Creator;EARFQUAKE;190066;2019;79.635;hip hop;0.498;9;-8.866
Blue;Sorry Seems To Be The Hardest Word;210066;2004;78.955;pop;0.6;7;-6.814
Little Mix;Shout Out to My Ex;246240;2017;126.014;pop;0.747;5;-4.061
Coldplay;A Sky Full of Stars;267866;2014;124.97;rock, pop;0.675;6;-6.474
Katy Perry;Hot N Cold;220226;2008;132.032;pop;0.841;7;-3.956
Bow Wow;Let Me Hold You (feat. Omarion);248493;2005;151.518;hip hop, pop, R&B;0.662;6;-8.244
M.O.P.;Cold as Ice;244466;2000;85.565;hip hop;0.88;11;-5.425
Beyoncé;If I Were a Boy;249146;2008;90.007;pop, R&B;0.518;6;-6.126
Shaggy;It Wasn't Me;227600;2000;94.759;hip hop, pop;0.606;0;-4.596
OneRepublic;Secrets;224693;2009;148.021;pop;0.764;2;-6.223
Hugh Jackman;The Greatest Show;302146;2017;157.92;easy listening;0.824;11;-7.36
Rihanna;Take A Bow;229413;2008;82.082;hip hop, pop, R&B;0.467;9;-7.536
Lana Del Rey;Ride;289080;2012;93.763;pop;0.686;0;-5.52
Bruno Mars;Talking to the Moon;217866;2010;145.867;pop;0.59;1;-4.721
Migos;Walk It Talk It;276147;2018;145.914;hip hop, pop;0.633;2;-5.145
Keyshia Cole;Last Night;255706;2007;121.006;hip hop, pop, R&B;0.857;3;-5.032
Chris Brown;Don't Wake Me Up;222306;2012;127.967;hip hop, pop, R&B;0.691;7;-5.197
Camila Cabello;Never Be the Same;226973;2018;129.923;pop;0.713;0;-4.333
Snoop Dogg;Drop It Like It's Hot;266066;2004;92.063;hip hop, pop;0.628;1;-3.832
Floetry;Say Yes;268373;2002;117.901;hip hop, pop, R&B;0.398;5;-12.932
AJ Tracey;Ladbroke Grove;190537;2019;133.986;hip hop, Dance/Electronic;0.839;11;-9.447
Beyoncé;Halo;261640;2008;79.983;pop, R&B;0.72;11;-5.908
Echosmith;Cool Kids;237626;2013;130.027;pop;0.671;8;-6.279
Destiny's Child;Survivor;254026;2001;161.109;pop, R&B;0.911;1;-2.027
James Blunt;You're Beautiful;209493;2005;81.998;pop;0.479;0;-9.87
5 Seconds of Summer;Youngblood;203417;2018;120.274;pop;0.854;7;-5.114
Outkast;The Whole World (feat. Killer Mike);295346;2001;184.682;hip hop, pop;0.852;2;-6.176
Kelly Clarkson;Stronger (What Doesn't Kill You);221946;2011;116.044;pop, R&B;0.939;0;-4.282
Simply Red;Sunrise;199040;2008;105.987;rock, R&B, Folk/Acoustic, pop;0.733;5;-5.123
Bodyrockers;I Like The Way - Radio Edit;200053;2005;127.988;rock, Dance/Electronic;0.851;6;-3.638
Jennifer Hudson;Spotlight;250106;2008;108.984;pop, R&B, easy listening;0.724;11;-3.887
One Direction;What Makes You Beautiful;199986;2012;124.99;pop;0.787;4;-2.494
One Direction;Steal My Girl;228133;2014;77.217;pop;0.768;10;-5.948
Jay Sean;Down;212106;2009;65.997;hip hop, pop, R&B;0.695;2;-4.493
Case;Missing You;284666;2001;86.31;hip hop, pop, R&B;0.579;1;-6.417
Zara Larsson;Ain't My Fault;224030;2017;141.153;pop, Dance/Electronic;0.782;6;-4.825
Shakira;La Tortura (feat. Alejandro Sanz);212893;2005;100.011;pop, latin;0.783;0;-5.367
will.i.am;This Is Love;279026;2013;128.954;hip hop, pop;0.796;0;-3.446
Fetty Wap;My Way (feat. Monty);213053;2015;128.077;hip hop, pop;0.741;6;-3.103
Lady Gaga;Just Dance;241933;2008;118.992;pop;0.739;1;-4.541
Robyn;With Every Heartbeat;254920;2005;120.872;pop, Dance/Electronic;0.865;4;-4.462
DJ Khaled;Wild Thoughts (feat. Rihanna & Bryson Tiller);204173;2017;97.979;hip hop, pop;0.672;0;-3.094
Birdy;Let It All Go;280757;2015;107.005;pop;0.43;10;-8.644
Ashlee Simpson;Pieces Of Me;217440;2004;174.001;pop;0.799;2;-4.286
Charlie Puth;How Long;200853;2018;109.974;pop;0.561;1;-5.253
ZAYN;Dusk Till Dawn (feat. Sia) - Radio Edit;239000;2017;180.042;pop, Dance/Electronic;0.437;11;-6.589
Lady Gaga;Alejandro;274213;2009;98.998;pop;0.793;11;-6.63
Linkin Park;In the End;216880;2000;105.143;rock, metal;0.864;3;-5.87
The Pussycat Dolls;Buttons;225560;2005;210.851;pop, R&B;0.817;2;-4.338
Shawn Mendes;Stitches;206880;2015;149.882;pop;0.754;1;-6.684
Coldplay;Viva La Vida;242373;2008;138.015;rock, pop;0.617;5;-7.115
girl in red;we fell in love in october;184153;2018;129.959;pop, rock, Dance/Electronic;0.366;7;-12.808
Taylor Swift;Wildest Dreams;220440;2014;140.06;pop;0.664;8;-7.417
Rixton;Me And My Broken Heart;193733;2014;174.084;pop;0.783;5;-4.261
Foster The People;Pumped Up Kicks;239600;2011;127.975;rock, pop;0.71;5;-5.849
Offset;Clout (feat. Cardi B);205803;2019;140.022;hip hop, pop;0.622;1;-7.384
Oasis;Go Let It Out;278666;2000;84.192;Folk/Acoustic, rock;0.849;2;-5.631
Ricky Martin;She Bangs - English Version;280626;2000;143.866;pop, latin;0.95;1;-4.012
Migos;MotorSport;303076;2018;137.996;hip hop, pop;0.518;2;-5.32
Fatman Scoop;Be Faithful;164506;2009;101.129;hip hop;0.713;7;-6.488
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);263773;2010;131.497;hip hop, pop;0.595;1;-6.366
Gesaffelstein;Lost in the Fire (feat. The Weeknd);202093;2019;100.966;Dance/Electronic;0.671;2;-12.21
Rudimental;Waiting All Night (feat. Ella Eyre);292586;2013;174.983;pop, Dance/Electronic;0.728;6;-5.358
Deorro;Five More Hours;211975;2015;127.961;pop, Dance/Electronic;0.883;5;-3.226
KT Tunstall;Suddenly I See;201706;2005;100.38;World/Traditional, pop, Folk/Acoustic;0.767;0;-5.713
Wiley;Wearing My Rolex - Radio Edit;170480;2008;131.942;hip hop, Dance/Electronic;0.716;1;-6.884
Post Malone;rockstar (feat. 21 Savage);218146;2018;159.801;hip hop;0.52;5;-6.136
Post Malone;Psycho (feat. Ty Dolla $ign);221440;2018;140.06;hip hop;0.56;8;-8.094
Sean Paul;She Doesn't Mind;227786;2012;120.015;hip hop, pop;0.776;7;-5.208
DNCE;Cake By The Ocean;219146;2016;119.002;pop;0.753;4;-5.446
Mark Ronson;Valerie (feat. Amy Winehouse) - Version Revisited;219413;2007;105.828;pop;0.844;1;-4.789
Robbie Williams;Rock DJ;258560;2000;103.035;pop, rock;0.772;7;-4.264
Ariana Grande;Dangerous Woman;235946;2016;134.052;pop;0.604;7;-5.32
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;203960;2010;126.026;pop, Dance/Electronic;0.837;11;-2.552
Maroon 5;Daylight;225066;2012;120.001;pop;0.674;7;-5.473
Jamelia;Superstar;215480;2003;110.01;pop;0.645;1;-6.93
Nicky Jam;El Perdón - Forgiveness;206666;2017;90.013;latin;0.719;8;-3.839
Twenty One Pilots;Heathens;195920;2016;90.024;rock;0.396;4;-9.348
PSY;Gangnam Style (강남스타일);219493;2012;132.067;pop;0.937;11;-2.871
Lil Wayne;Got Money;244626;2008;82.48;hip hop, pop;0.661;7;-4.847
Justin Timberlake;LoveStoned / I Think She Knows (Interlude);444333;2006;121.243;pop;0.681;1;-6.247
Hoobastank;The Reason;232800;2003;82.952;pop, rock, metal;0.671;4;-4.649
Macklemore & Ryan Lewis;Can't Hold Us (feat. Ray Dalton);258342;2012;146.078;hip hop, pop;0.922;2;-4.457
Madonna;4 Minutes (feat. Justin Timberlake & Timbaland);189693;2009;113.029;pop;0.931;2;-4.922
Guru Josh Project;Infinity 2008;190013;2011;127.999;hip hop;0.849;7;-6.139
Beyoncé;7/11;213506;2014;136.024;pop, R&B;0.705;9;-5.137
Tiësto;Wasted;188371;2014;112.028;pop, Dance/Electronic;0.832;2;-5.595
James Blunt;Bonfire Heart;238000;2013;118.021;pop;0.821;0;-5.7
September;Cry for You;209800;2007;130.018;pop, Dance/Electronic;0.881;9;-3.988
Ed Sheeran;Cross Me (feat. Chance the Rapper & PnB Rock);206186;2019;95.005;pop;0.787;4;-6.373
Britney Spears;Me Against the Music (feat. Madonna) - LP Version / Video Mix;223773;2003;120.046;pop;0.836;6;-6.635
LMC;Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit;171546;2004;128.658;Dance/Electronic;0.905;6;-5.395
Eric Prydz;Pjanoo - Radio Edit;157432;2008;125.99;pop, Dance/Electronic;0.874;7;-4.949
DJ Khaled;No Brainer;260000;2018;135.702;hip hop, pop;0.76;0;-4.706
Jason Derulo;Whatcha Say;221253;2010;144.036;hip hop, pop;0.711;11;-5.507
Baby Boy Da Prince;The Way I Live - Main Explicit;324906;2006;90.02;hip hop, pop;0.438;0;-7.562
Usher;Hey Daddy (Daddy's Home);224093;2010;95.975;hip hop, pop, R&B;0.698;11;-4.262
Professor Green;Read All About It;235735;2011;100.963;Dance/Electronic;0.752;11;-5.522
Scissor Sisters;I Don't Feel Like Dancin';288360;2006;108.023;pop, rock, Dance/Electronic;0.923;7;-3.409
Wiz Khalifa;Work Hard, Play Hard;219026;2012;140.008;hip hop, pop;0.666;11;-4.475
Diddy - Dirty Money;Coming Home;238693;2010;168.001;hip hop, pop, R&B;0.839;7;-1.921
Big Sean;I Don't Fuck With You;284386;2015;97.972;hip hop, pop;0.733;1;-5.474
The Ting Tings;Shut Up and Let Me Go;171226;2007;107.993;pop, rock, Dance/Electronic;0.927;7;-4.497
Britney Spears;Born to Make You Happy;243533;1999;84.11;pop;0.922;11;-4.842
Nelly Furtado;I'm Like A Bird;243160;2000;89.661;hip hop, pop, latin;0.608;10;-5.085
MARINA;How to Be a Heartbreaker;221493;2012;140.05;pop, Dance/Electronic;0.897;11;-4.696
will.i.am;Scream & Shout;283400;2013;130.033;hip hop, pop;0.685;5;-6.849
Nelly;Hey Porsche;209466;2013;115.995;hip hop, pop, R&B;0.795;9;-4.653
Chad Kroeger;Hero (feat. Josey Scott);200480;2003;147.387;metal;0.843;4;-4.54
Philip George;Wish You Were Mine - Radio Edit;177560;2014;123.002;pop, Dance/Electronic;0.832;7;-4.164
Holly Valance;Kiss Kiss;204400;2002;97.036;pop, Dance/Electronic;0.717;4;-4.944
Avril Lavigne;Girlfriend;216600;2007;163.983;pop;0.959;7;-2.433
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
The Neighbourhood;Daddy Issues;260173;2015;85.012;rock, pop;0.521;10;-9.461
Kendrick Lamar;All The Stars (with SZA);232186;2018;96.924;hip hop;0.633;8;-4.946
Crazy Frog;Axel F;168879;2005;138.045;pop;0.907;2;-3.321
Ava Max;So Am I;183026;2019;130.089;pop;0.656;6;-4.67
Drake;Over;233560;2010;100.093;hip hop, pop, R&B;0.848;7;-5.611
Ronan Keating;If Tomorrow Never Comes;214306;2002;79.01;pop, rock;0.496;10;-6.136
Sidney Samson;Riverside;320348;2009;125.997;Dance/Electronic;0.976;1;-2.458
P!nk;F**kin' Perfect;213413;2010;91.964;pop;0.671;7;-4.788
Paramore;Still into You;216013;2013;136.01;pop, rock;0.923;5;-3.763
Gym Class Heroes;Stereo Hearts (feat. Adam Levine);210960;2011;89.99;hip hop, pop;0.795;9;-3.293
Ella Henderson;Ghost;213213;2014;104.975;pop, Dance/Electronic;0.84;9;-3.823
Liam Payne;For You (Fifty Shades Freed) (& Rita Ora);245453;2018;113.0;pop;0.787;2;-4.618
Linkin Park;Bleed It Out;166373;2007;140.127;rock, metal;0.967;1;-3.647
Rich The Kid;Plug Walk;175229;2018;94.981;hip hop, pop;0.519;11;-6.531
Charlie Puth;Attention;211475;2017;100.041;pop;0.626;3;-4.432
Travis Scott;Antidote;262693;2015;131.05;hip hop, Dance/Electronic;0.526;1;-5.046
Pitbull;International Love (feat. Chris Brown);227280;2011;120.05;hip hop, pop, latin;0.855;0;-3.035
Maroon 5;Payphone;231173;2012;110.015;pop;0.752;4;-4.813
Kelly Rowland;Work;207920;2010;102.757;hip hop, pop, R&B;0.823;10;-6.351
Rudimental;Feel the Love (feat. John Newman);245186;2013;179.911;pop, Dance/Electronic;0.706;1;-6.849
Lil Jon;Snap Yo Fingers;274386;2006;82.038;hip hop, pop;0.757;8;-5.029
Lily Allen;Smile;196893;2006;95.506;pop;0.639;5;-5.938
Jason Derulo;In My Head;199026;2010;110.009;hip hop, pop;0.748;0;-4.15
Bad Bunny;MIA (feat. Drake);210367;2018;97.062;latin;0.539;6;-6.349
Mr. Probz;Waves - Robin Schulz Radio Edit;208133;2014;119.993;hip hop, Dance/Electronic;0.51;5;-9.334
Avril Lavigne;Don't Tell Me;202013;2004;144.106;pop;0.795;4;-2.92
Rihanna;Bitch Better Have My Money;219305;2015;102.99;hip hop, pop, R&B;0.728;1;-4.981
Scooter;The Logical Song;234116;2013;144.043;pop, Dance/Electronic;0.933;6;-6.277
Lady Gaga;Paparazzi;208306;2008;114.906;pop;0.692;5;-3.973
Switchfoot;Meant to Live;201373;2003;151.551;rock, pop;0.903;2;-4.577
