name;place;prise
Линарес 2008;2;10250000
Sinquefield Cup 1983;13;2500
Ставангер 1976;1;4500000
Гран-при ФИДЕ 1997;5;156250
Вена 2012;10;26367
Пальма 1969;9;74219
Политика 2005;2;8750000
Кубок мира 1982;5;93750
Алушта 2016;9;37109
Кубок мира 1963;1;5000000
Гашиш 2014;8;11719
Аэрофлот Опен 2024;10;4883
Европа 1952;2;2750000
Мемориал Таля 2011;10;2500
Вена 1963;8;93750
Вена 1961;6;296875
Sinquefield Cup 1984;6;640625
Пальма 1969;7;296875
Хогевен 1970;8;191406
Вена 2012;4;1687500
Чемпионат мира 2017;2;5750000
Чемпионат мира 2017;5;718750
Политика 1979;5;812500
Цюрих 1968;3;4000000
Чемпионат мира 1950;4;3000000
Гашиш 1997;4;1250000
Вена 2012;1;13500000
Вейк-ан-Зее 1999;0;50000000
Хогевен 1970;3;6125000
Кубок мира 1960;10;17578
Балтийская цепь 1982;2;4000000
Кубок мира 2008;3;750000
Алушта 2016;0;19000000
Пальма 1969;5;1187500
Сент-Луис 2015;3;3625000
Политика 1989;5;1281250
Политика 1989;6;640625
Тилбург 1981;1;6500000
Алушта 2010;6;390625
Алушта 2010;5;781250
Макартур 1980;2;8250000
Кубок мира 1960;5;562500
Реджо-нель-Эмилия 1954;9;50781
Пальма 1966;3;4875000
Аэрофлот Опен 2024;0;5000000
Sinquefield Cup 1983;6;234375
Аэрофлот Опен 2024;6;78125
Алушта 2016;2;4750000
Шамкович 1952;5;1406250
Цюрих 1968;2;8000000
Алушта 1972;0;47000000
Политика 1989;3;4125000
Линарес 1975;7;117188
Макартур 1978;6;312500
Европа 1952;3;1375000
Ставангер 2019;7;171875
Вена 1963;9;46875
Политика 1989;2;10250000
Мемориал Таля 2011;4;125000
Балтийская цепь 2010;0;42000000
Цюрих 1961;6;500000
Сент-Луис 2015;4;1812500
Sinquefield Cup 1984;2;10250000
Вена 1963;12;5859
Дортмунд 1996;9;93750
Сент-Луис 1964;12;6592
Sinquefield Cup 2002;2;8750000
Политика 2008;3;4375000
Чемпионат мира 1950;3;6000000
Дортмунд 1996;0;48000000
Кубок мира 1971;3;4875000
Sinquefield Cup 1983;7;117188
Ставангер 1976;0;9000000
Лондон 1961;4;1312500
Турнир претендентов 1982;5;781250
Гран-при ФИДЕ 1997;7;39062
Европа 1970;7;296875
Мемориал Таля 2011;6;31250
Европа 1952;5;343750
Кубок мира 2008;14;2500
Гран-при ФИДЕ 1972;2;750000
Цюрих 1968;5;1000000
Сент-Луис 2015;1;14500000
Турнир претендентов 1982;12;6104
Алушта 2010;3;3125000
Политика 1989;2;8250000
Вена 1963;5;750000
Ставангер 2019;4;1375000
Дортмунд 1996;11;23438
Пальма 1966;1;19500000
Алушта 2011;2;3000000
Тилбург 1981;2;3250000
Гашиш 1959;2;11250000
Реджо-нель-Эмилия 1954;3;3250000
Кубок мира 2008;7;46875
Sinquefield Cup 1984;3;5125000
Кубок мира 1982;4;187500
Европа 1970;14;2319
Гашиш 1959;3;5625000
Турнир претендентов 1982;6;390625
Дортмунд 1996;5;1500000
Аэрофлот Опен 2024;2;1250000
Чемпионат мира 2017;4;1437500
Лондон 1951;3;1000000
Sinquefield Cup 1983;1;7500000
Лондон 1961;3;2625000
Кубок мира 1960;6;281250
Чемпионат мира 1950;8;187500
Ставангер 1970;11;21973
Реджо-нель-Эмилия 1967;3;2875000
Вейк-ан-Зее 1958;3;5750000
Цюрих 1961;5;1000000
Политика 2008;0;35000000
Вена 2012;0;27000000
Вена 1963;7;187500
Балтийская цепь 1972;10;39062
Балтийская цепь 1972;0;40000000
Европа 1970;1;19000000
Кубок мира 1971;8;152344
Европа 1970;9;74219
Аэрофлот Опен 2024;7;39062
Лондон 1951;7;62500
Гран-при ФИДЕ 1972;5;93750
Балтийская цепь 1972;2;10000000
Гашиш 1959;7;351562
Европа 1970;10;37109
Sinquefield Cup 1984;1;20500000
Аэрофлот Опен 2024;3;625000
Вена 1963;6;375000
Дортмунд 1996;12;11719
Вена 2012;3;3375000
Вейк-ан-Зее 1986;4;500000
Европа 1952;7;85938
Вена 1963;3;3000000
Гран-при ФИДЕ 1972;6;46875
Алушта 1972;1;23500000
Европа 1970;13;4639
Макартур 1950;0;16000000
Европа 1970;0;38000000
Кубок мира 1971;6;609375
