name;rating;convenience;security;functionality;comment
Замок 61;3.0;2;4;4;Это здание имеет стандартную конструкцию.
Верфь 71;2.9;5;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Причал 4;2.9;5;1;4;Это здание представляет собой типичный образец современной архитектуры.
Курятник 87;3.2;1;5;3;Это здание построено из стандартных строительных материалов.
Институт 81;1.6;4;3;3;Это здание не имеет особых архитектурных особенностей.
Кубло 77;1.9;3;5;5;Это здание не имеет особых архитектурных особенностей.
Особняк 99;3.8;4;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Коттедж 98;4.1;5;5;5;У этого здания отличная архитектура.
Хаус 4;4.3;2;2;1;Это великолепное здание!
Переправа 19;2.6;3;5;1;Это здание очень функционально.
Тенета 84;1.7;1;1;4;Это здание представляет собой типичный образец современной архитектуры.
Курятник 87;0.1;4;1;3;Это великолепное здание!
Убежище 78;4.7;4;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Ламарий 20;4.0;3;2;2;Это здание имеет стандартную конструкцию.
Кубло 77;3.3;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Паутинник 93;1.4;1;3;1;Мне нравится дизайн этого здания.
Петля 40;4.0;3;2;3;Мне нравится дизайн этого здания.
Верблюжатник 40;0.6;2;5;5;Мне нравится дизайн этого здания.
Петля 97;0.8;4;3;1;Это здание имеет стандартную конструкцию.
Офис 58;4.5;1;5;2;Это здание является примером функционального дизайна.
Цирк 98;4.5;1;5;3;Это здание представляет собой типичный образец современной архитектуры.
Усадьба 12;4.8;4;1;5;У этого здания отличная архитектура.
Усадьба 53;2.1;3;4;3;Это великолепное здание!
Церковь 14;4.6;4;4;1;Мне нравится дизайн этого здания.
Газопровод 24;2.3;1;5;1;Мне нравится дизайн этого здания.
Хаус 4;3.1;1;4;5;У этого здания отличная архитектура.
Нора 16;3.1;4;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Офис 58;3.2;2;1;5;Это великолепное здание!
Дворец 21;1.2;2;1;3;Мне нравится дизайн этого здания.
Гусятник 78;2.0;5;3;5;Это здание является примером функционального дизайна.
Мост 92;4.6;5;3;1;Это здание построено из стандартных строительных материалов.
Ламарий 20;3.5;1;3;3;Это здание очень функционально.
