name;rating;convenience;security;functionality;comment
Ферма 17;3.5;3;1;5;Это здание представляет собой типичный образец современной архитектуры.
Альпакарий 35;2.0;5;4;3;Это здание очень функционально.
Свиноферма 50;0.6;1;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Скворечник 47;3.7;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Ферма 81;4.6;4;4;5;Это здание не имеет особых архитектурных особенностей.
Нефтепровод 88;1.3;1;1;3;Мне нравится дизайн этого здания.
Магазин 41;4.2;5;4;3;Это здание имеет стандартную конструкцию.
Плантация 71;4.2;1;4;2;Это здание является примером функционального дизайна.
Утятник 92;1.6;4;3;5;Мне нравится дизайн этого здания.
Путепровод 97;0.9;1;5;3;Это здание очень функционально.
Виадук 60;2.5;4;2;5;Это здание построено из стандартных строительных материалов.
Пасека 42;4.2;3;2;2;Это здание имеет стандартную конструкцию.
Док 72;3.6;2;4;4;Это здание построено из стандартных строительных материалов.
Дворец 23;2.2;1;2;1;Это здание очень функционально.
Супермаркет 87;4.4;2;4;3;У этого здания отличная архитектура.
Верфь 87;0.9;5;2;2;У этого здания отличная архитектура.
Нора 64;2.6;1;1;5;Это здание не имеет особых архитектурных особенностей.
Башня 84;2.4;4;4;1;Это здание очень функционально.
Берлога 77;4.7;2;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Аптека 46;4.3;4;3;4;У этого здания отличная архитектура.
Тоннель 65;3.5;1;4;2;Мне нравится дизайн этого здания.
Причал 69;3.8;1;2;5;Это здание является примером функционального дизайна.
Гараж 89;2.4;3;2;3;Это здание является примером функционального дизайна.
Аптека 46;2.1;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Порт 68;5.0;5;2;2;Это здание не имеет особых архитектурных особенностей.
Магазин 41;3.6;1;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Замок 77;0.7;1;5;5;Это здание не имеет особых архитектурных особенностей.
Док 28;2.6;2;3;1;Это здание является примером функционального дизайна.
Магазин 41;1.7;3;3;3;Мне нравится дизайн этого здания.
Виадук 90;4.1;2;1;1;Это здание является примером функционального дизайна.
Пирс 32;4.3;1;5;4;Это здание не имеет особых архитектурных особенностей.
Башня 84;4.6;5;3;4;Это здание построено из стандартных строительных материалов.
Док 28;0.7;4;1;1;Это здание построено из стандартных строительных материалов.
Дворец 23;2.5;1;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Петля 61;2.6;1;4;3;У этого здания отличная архитектура.
Коровник 46;1.0;2;5;3;Это здание представляет собой типичный образец современной архитектуры.
Силок 92;3.9;5;1;3;Это здание представляет собой типичный образец современной архитектуры.
Кладбище 39;1.1;3;2;3;Это здание является примером функционального дизайна.
Лосятник 48;3.6;3;5;2;Это здание имеет стандартную конструкцию.
Утятник 92;2.0;5;2;4;Мне нравится дизайн этого здания.
Пасека 42;2.3;4;4;5;Это здание представляет собой типичный образец современной архитектуры.
Замок 78;4.1;3;1;1;Это здание построено из стандартных строительных материалов.
Ангар 66;1.9;5;1;5;Мне нравится дизайн этого здания.
Офис 53;1.1;1;3;3;Мне нравится дизайн этого здания.
Док 72;4.0;2;1;4;Это здание представляет собой типичный образец современной архитектуры.
Особняк 66;0.8;1;1;1;Это здание не имеет особых архитектурных особенностей.
Свиноферма 50;0.4;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 89;0.4;5;1;1;Это здание имеет стандартную конструкцию.
Пирс 32;0.3;4;1;5;У этого здания отличная архитектура.
Путепровод 97;4.5;1;3;3;Это здание построено из стандартных строительных материалов.
Замок 59;0.6;4;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Детский сад 22;0.1;2;5;5;Это здание построено из стандартных строительных материалов.
Шмелиное гнездо 77;3.8;5;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Тоннель 30;0.4;3;5;4;Это здание не имеет особых архитектурных особенностей.
Виадук 73;4.0;4;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ферма 17;2.0;3;2;3;Мне нравится дизайн этого здания.
Силок 92;1.5;2;2;4;Это великолепное здание!
Нефтепровод 88;1.0;4;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Мост 62;3.1;3;2;5;Это здание представляет собой типичный образец современной архитектуры.
Школа 81;3.4;2;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Берлога 77;1.7;2;4;1;Мне нравится дизайн этого здания.
Мануфактура 28;4.8;5;1;5;Это здание не имеет особых архитектурных особенностей.
Берлога 77;4.2;4;1;1;Это здание представляет собой типичный образец современной архитектуры.
Виадук 60;3.0;5;3;2;Это здание имеет стандартную конструкцию.
Дупло 17;1.2;3;4;1;Это здание является примером функционального дизайна.
Котельная 25;1.1;4;3;3;Это здание имеет стандартную конструкцию.
Коровник 46;0.1;1;3;1;Это здание не имеет особых архитектурных особенностей.
Замок 59;4.4;2;4;5;Это здание имеет стандартную конструкцию.
Особняк 49;0.5;5;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Верфь 87;1.6;3;4;4;Это здание не имеет особых архитектурных особенностей.
Док 72;4.6;5;2;3;Это здание представляет собой типичный образец современной архитектуры.
Причал 69;2.5;4;3;2;Это здание является примером функционального дизайна.
Путепровод 97;1.9;5;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Нора 64;0.5;5;1;2;У этого здания отличная архитектура.
