name;rating;convenience;security;functionality;comment
Супермаркет 40;3.8;2;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Церковь 55;3.6;2;3;5;Это здание построено из стандартных строительных материалов.
Отель 2;0.4;3;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Чердак 12;4.9;3;5;5;Это здание очень функционально.
Фазенда 49;4.3;1;2;2;Это здание является примером функционального дизайна.
Фазенда 49;2.6;4;5;1;Это здание является примером функционального дизайна.
Отель 97;0.3;3;1;5;Это здание построено из стандартных строительных материалов.
Шмелиное гнездо 68;1.3;5;2;4;Это здание очень функционально.
Отель 97;3.6;5;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Университет 50;2.6;1;3;4;Это здание не имеет особых архитектурных особенностей.
Сеть 62;2.9;4;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Развязка 64;4.4;2;2;3;У этого здания отличная архитектура.
Мост 11;4.5;2;3;3;Это здание является примером функционального дизайна.
Шале 41;4.2;5;5;5;Это здание имеет стандартную конструкцию.
Псарня 54;3.3;2;3;4;Это здание построено из стандартных строительных материалов.
Пандус 83;4.4;1;1;1;Это здание является примером функционального дизайна.
Отель 97;4.6;5;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Мостки 42;3.2;1;4;3;Это здание построено из стандартных строительных материалов.
Улей 50;4.6;5;3;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Замок 64;0.1;2;5;1;Это здание имеет стандартную конструкцию.
Супермаркет 40;3.9;5;5;5;Мне нравится дизайн этого здания.
Крольчатник 18;1.3;3;3;3;Это здание является примером функционального дизайна.
Супермаркет 40;3.9;3;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Псарня 54;1.2;5;3;1;Это здание не имеет особых архитектурных особенностей.
Почта 83;3.2;1;5;2;Это здание не имеет особых архитектурных особенностей.
Чердак 12;2.7;1;4;2;Это здание является примером функционального дизайна.
Свиноферма 61;4.4;1;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Сеть 62;3.1;1;4;1;Это здание построено из стандартных строительных материалов.
Супермаркет 40;1.1;5;2;4;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 21;0.7;1;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Канализация 77;4.2;5;5;5;У этого здания отличная архитектура.
Страусятник 81;3.4;3;4;4;Это здание имеет стандартную конструкцию.
Электростанция 57;2.8;1;4;3;Это здание представляет собой типичный образец современной архитектуры.
Пандус 83;3.0;4;5;3;Это здание имеет стандартную конструкцию.
Отель 97;4.0;2;3;3;Мне нравится дизайн этого здания.
Крольчатник 81;1.2;2;1;1;Это здание построено из стандартных строительных материалов.
Виадук 28;3.9;1;2;4;Это здание имеет стандартную конструкцию.
Док 48;2.8;1;1;4;Это здание построено из стандартных строительных материалов.
Почта 83;1.5;5;3;5;Это здание является примером функционального дизайна.
Театр 38;2.0;1;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 64;0.6;3;2;5;Это здание имеет стандартную конструкцию.
Док 48;2.5;3;3;1;Это здание является примером функционального дизайна.
Тенета 47;3.6;1;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Пирс 71;3.4;4;3;5;Это здание имеет стандартную конструкцию.
Церковь 55;1.7;3;4;3;Это здание очень функционально.
Улей 50;1.3;1;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Замок 64;3.6;4;3;1;Это здание не имеет особых архитектурных особенностей.
Свиноферма 61;2.2;3;3;3;Это здание построено из стандартных строительных материалов.
Переправа 84;4.9;5;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Тенета 47;3.6;5;3;3;Это здание является примером функционального дизайна.
Нора 83;1.3;1;1;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Виадук 22;1.2;3;2;5;Это здание является примером функционального дизайна.
Логово 7;1.7;1;4;2;Это здание является примером функционального дизайна.
Причал 66;4.6;2;2;4;Это здание представляет собой типичный образец современной архитектуры.
Улей 63;4.2;2;5;2;Это здание является примером функционального дизайна.
Страусятник 81;5.0;4;1;5;Мне нравится дизайн этого здания.
Мостки 42;0.3;4;4;2;Это здание построено из стандартных строительных материалов.
Лифт 92;0.3;3;2;5;Это великолепное здание!
Виадук 41;0.7;1;2;3;Это великолепное здание!
Крольчатник 18;4.4;1;3;5;Это здание является примером функционального дизайна.
Пирс 71;1.7;3;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Причал 66;5.0;2;2;2;Это здание представляет собой типичный образец современной архитектуры.
Пандус 83;3.6;1;1;4;Это здание не имеет особых архитектурных особенностей.
Мануфактура 6;3.8;1;1;1;Это здание имеет стандартную конструкцию.
