name;place;prise
Алушта 1987;9;7812
Шамкович 2015;1;7500000
Лондон 1973;11;2930
Реджо-нель-Эмилия 2007;4;1562500
Лондон 1992;2;4500000
Вена 1954;1;14500000
Реджо-нель-Эмилия 2010;4;2937500
Алушта 1957;1;3500000
Алушта 2024;6;687500
Линарес 2008;4;1187500
Политика 2019;0;45000000
Макартур 1951;5;1187500
Европа 2016;3;4750000
Аэрофлот Опен 1975;9;25391
Лондон 2016;0;45000000
Шамкович 2015;8;58594
Вена 1954;0;29000000
Вена 2005;5;343750
Пальма 1996;5;1343750
Вена 1988;5;93750
Вена 1988;7;23438
Вейк-ан-Зее 1991;10;32227
Турнир претендентов 1954;5;312500
Алушта 1987;2;1000000
Макартур 2012;2;5250000
Реджо-нель-Эмилия 2010;2;11750000
Мемориал Таля 2006;2;10250000
Пальма 1976;5;343750
Гашиш 1966;2;7000000
Sinquefield Cup 1963;2;7000000
Европа 2014;4;250000
Дортмунд 1961;1;2500000
Пальма 1977;2;4000000
Лондон 1992;0;18000000
Вена 2008;6;203125
Шамкович 1955;0;6000000
Европа 2016;2;9500000
Пальма 2022;7;171875
Лондон 2007;4;1000000
Политика 2019;7;351562
Вейк-ан-Зее 2008;7;320312
Ставангер 1987;3;5000000
Хогевен 2009;4;937500
Мемориал Таля 2006;7;320312
Пальма 2022;9;42969
Лондон 2007;2;4000000
Реджо-нель-Эмилия 2007;2;6250000
Чемпионат мира 1961;2;1000000
Пальма 2018;1;17500000
Вейк-ан-Зее 1969;0;5000000
Макартур 1951;1;19000000
Реджо-нель-Эмилия 1975;0;21000000
Вена 2008;10;12695
Аэрофлот Опен 1990;5;1062500
Sinquefield Cup 1963;0;28000000
Хогевен 2020;9;91797
Европа 2010;0;42000000
Европа 2010;2;10500000
Чемпионат мира 1975;11;21484
Аэрофлот Опен 1975;13;1587
Макартур 1965;12;5615
Алушта 1957;4;437500
Шамкович 2015;0;15000000
Лондон 1961;3;2875000
Вена 1981;4;2437500
Тилбург 1961;7;312500
Тилбург 1961;1;20000000
Аэрофлот Опен 1975;3;2000000
Алушта 2016;9;23438
Балтийская цепь 2015;1;16000000
