name;place;prise
Пальма 1950;8;167969
Вейк-ан-Зее 2007;3;4250000
Турнир претендентов 2010;5;1031250
Балтийская цепь 2016;6;437500
Биль 1961;0;21000000
Европа 1987;8;97656
Алушта 1959;0;37000000
Ставангер 1985;1;1000000
Чемпионат мира 1968;1;21000000
Балтийская цепь 2016;4;1750000
Пальма 1990;5;437500
Пойковский 2008;4;1250000
Турнир претендентов 1982;4;187500
Пойковский 1980;0;21000000
Пойковский 2008;9;39062
Европа 2012;0;26000000
Европа 2024;3;4750000
Вейк-ан-Зее 2007;6;531250
Вена 1963;9;9766
Лондон 2018;3;2875000
Вена 1981;2;6000000
Вейк-ан-Зее 2002;0;33000000
Кубок мира 1986;4;3125000
Биль 1961;1;10500000
Алушта 2005;7;257812
Гран-при ФИДЕ 1984;4;125000
Тилбург 1965;4;437500
Турнир претендентов 2010;6;46875
Пальма 2019;1;14500000
Алушта 1959;8;144531
Европа 2020;1;3500000
Аэрофлот Опен 2017;1;17000000
Лондон 2018;2;5750000
Лондон 1980;2;3500000
Кубок мира 1986;2;12500000
Европа 2012;9;50781
Европа 1987;11;12207
Биль 1961;3;2625000
Мемориал Таля 1958;6;750000
Вейк-ан-Зее 2002;4;2062500
Политика 1980;2;2500000
Кубок мира 1965;1;23000000
Кубок мира 1965;11;22461
Хогевен 1994;2;5000000
Ставангер 1985;0;2000000
Алушта 1964;3;4125000
Вейк-ан-Зее 2007;8;132812
Кубок мира 1986;6;781250
Балтийская цепь 1950;4;1062500
Европа 2012;10;25391
Хогевен 2024;1;2500000
Пальма 2019;6;453125
Хогевен 2006;0;45000000
Реджо-нель-Эмилия 2009;2;6750000
Цюрих 2003;5;1500000
Шамкович 1968;3;5125000
Вена 1963;8;19531
Пойковский 2008;12;4883
Алушта 2005;5;1031250
Цюрих 2003;1;24000000
Европа 1987;4;1562500
Европа 1966;3;3250000
Пойковский 2008;3;2500000
Ставангер 2022;3;2250000
Мемориал Таля 1958;3;6000000
Тилбург 1965;2;1750000
Хогевен 2024;5;156250
Пальма 1950;1;21500000
Цюрих 2003;6;750000
Реджо-нель-Эмилия 1956;10;11719
Европа 2012;3;3250000
Алушта 1964;6;515625
Алушта 1964;9;64453
Шамкович 1968;9;80078
Ставангер 1973;0;25000000
Шамкович 1985;4;250000
Турнир претендентов 2010;5;93750
Вена 1963;7;39062
Балтийская цепь 2016;1;14000000
Пойковский 2008;0;20000000
Кубок мира 1986;8;195312
Шамкович 1985;8;15625
Тилбург 1965;3;875000
Хогевен 2024;2;4750000
Европа 2012;5;812500
Лондон 2001;3;125000
Пойковский 1980;2;5250000
Гран-при ФИДЕ 1984;2;500000
Ставангер 1973;2;6250000
Балтийская цепь 1950;5;531250
Европа 1987;1;12500000
Мемориал Таля 2018;4;2312500
Кубок мира 1965;3;5750000
Реджо-нель-Эмилия 1956;7;93750
Дортмунд 1993;0;50000000
Кубок мира 1965;2;11500000
Sinquefield Cup 1969;5;156250
Лондон 2018;0;23000000
Кубок мира 1965;13;5615
Вена 1963;4;312500
Пальма 1990;8;54688
Турнир претендентов 1982;6;46875
Турнир претендентов 2010;11;1465
Реджо-нель-Эмилия 1956;5;375000
Пальма 1990;1;7000000
Гран-при ФИДЕ 1973;0;40000000
Гран-при ФИДЕ 1973;2;10000000
Дортмунд 1993;2;12500000
Ставангер 2022;2;4500000
Пальма 1990;9;27344
Пальма 1990;3;1750000
