name;rating;convenience;security;functionality;comment
Фазенда 69;1.4;4;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Развязка 17;0.4;2;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Почта 18;2.5;5;2;5;Мне нравится дизайн этого здания.
Осатаник 13;1.7;3;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Верблюжатник 92;1.6;1;1;3;Это великолепное здание!
Лестница 48;4.1;2;1;3;У этого здания отличная архитектура.
Отель 24;0.5;2;2;4;Это здание является примером функционального дизайна.
Церковь 94;0.8;5;1;1;Это здание имеет стандартную конструкцию.
Порт 36;4.7;2;4;3;Это здание имеет стандартную конструкцию.
Улей 95;4.7;3;1;3;Это здание построено из стандартных строительных материалов.
Гараж 63;5.0;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Порт 36;1.9;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Верфь 18;2.4;3;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Альпакарий 47;4.1;4;1;2;У этого здания отличная архитектура.
Церковь 94;0.4;2;3;3;Это великолепное здание!
Вокзал 44;2.2;1;3;1;Это здание представляет собой типичный образец современной архитектуры.
Переправа 10;4.7;3;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Убежище 22;1.7;5;1;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Вокзал 44;2.6;1;1;1;Это здание построено из стандартных строительных материалов.
Подвал 68;1.4;2;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Вокзал 44;1.7;5;5;4;Это здание представляет собой типичный образец современной архитектуры.
Порт 36;3.3;5;1;5;Это здание является примером функционального дизайна.
Свиноферма 21;2.6;1;5;4;Это здание не имеет особых архитектурных особенностей.
Подвал 27;0.8;1;2;2;Это здание является примером функционального дизайна.
Завод 95;4.4;1;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Детский сад 8;0.1;2;3;1;Мне нравится дизайн этого здания.
Волчатник 8;2.5;1;2;3;Это здание не имеет особых архитектурных особенностей.
Автомойка 80;3.6;1;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Развязка 17;3.9;4;5;1;Это здание является примером функционального дизайна.
Вокзал 27;1.5;2;3;5;Это здание является примером функционального дизайна.
Силок 98;4.4;4;3;3;Это здание построено из стандартных строительных материалов.
Причал 99;2.6;3;4;4;Это здание построено из стандартных строительных материалов.
Подвал 1;0.6;1;4;1;Это здание очень функционально.
Лестница 48;0.2;3;4;2;Это здание имеет стандартную конструкцию.
Мануфактура 49;3.6;5;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ангар 53;3.7;1;1;1;Это здание имеет стандартную конструкцию.
Гараж 63;0.7;1;3;1;Это здание имеет стандартную конструкцию.
Почта 18;0.9;3;5;4;Это здание не имеет особых архитектурных особенностей.
Фазенда 56;3.7;2;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кафе 27;1.8;3;1;2;Это великолепное здание!
Отель 71;3.4;5;2;2;Это здание имеет стандартную конструкцию.
Волчатник 8;3.1;3;1;5;У этого здания отличная архитектура.
ТЭЦ 92;3.4;1;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кошара 92;1.7;4;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Коровник 76;2.1;2;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Стадион 58;4.9;2;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Свиноферма 33;3.3;1;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Подвал 1;5.0;3;4;4;Мне нравится дизайн этого здания.
Хаус 55;2.7;3;4;4;Это здание является примером функционального дизайна.
Плантация 95;1.1;4;4;2;Это здание построено из стандартных строительных материалов.
Муравейник 35;3.2;5;2;5;Это здание построено из стандартных строительных материалов.
ТЭЦ 92;1.1;2;3;4;Это здание очень функционально.
Мануфактура 49;2.7;2;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Подвал 27;1.6;5;4;1;Это здание имеет стандартную конструкцию.
Школа 40;4.3;3;3;5;Это здание не имеет особых архитектурных особенностей.
Убежище 22;1.3;1;5;5;Это здание является примером функционального дизайна.
Гараж 63;0.2;1;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Бункер 54;2.6;3;3;4;Это здание имеет стандартную конструкцию.
Свиноферма 33;0.4;1;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Причал 89;0.5;1;4;2;Это здание не имеет особых архитектурных особенностей.
Мостки 34;1.4;4;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Фазенда 56;2.7;2;5;2;Это великолепное здание!
Свиноферма 21;2.3;4;1;5;Это здание очень функционально.
Музей 64;2.6;4;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Гараж 63;3.7;2;3;5;Это здание имеет стандартную конструкцию.
Офис 86;4.2;1;3;4;Это здание имеет стандартную конструкцию.
Офис 86;2.3;5;3;3;Это здание не имеет особых архитектурных особенностей.
Убежище 22;0.5;3;2;1;Это здание имеет стандартную конструкцию.
Бомбоубежище 77;1.5;1;5;2;Это великолепное здание!
Верблюжатник 92;2.0;2;2;1;Это здание является примером функционального дизайна.
Музей 64;2.7;2;5;5;Это здание не имеет особых архитектурных особенностей.
Вокзал 27;1.9;4;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лестница 48;3.9;5;2;3;Это здание имеет стандартную конструкцию.
Лежбище 44;0.2;1;1;3;Это здание не имеет особых архитектурных особенностей.
Свиноферма 33;5.0;2;2;1;Это здание построено из стандартных строительных материалов.
Свиноферма 21;4.4;5;5;3;Это здание построено из стандартных строительных материалов.
Завод 95;4.9;5;2;1;Это здание представляет собой типичный образец современной архитектуры.
Автомойка 80;0.4;4;4;1;Это великолепное здание!
Причал 99;4.6;1;4;2;Это здание построено из стандартных строительных материалов.
Чердак 34;1.7;3;3;4;Это здание является примером функционального дизайна.
Осатаник 12;4.4;2;5;4;Это здание имеет стандартную конструкцию.
Торговый центр 79;1.9;1;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Волчатник 8;1.8;4;3;3;Это здание является примером функционального дизайна.
Альпакарий 47;3.2;2;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Музей 64;1.7;4;4;2;Это здание построено из стандартных строительных материалов.
Завод 95;0.9;5;2;5;Это здание прекрасно вписывается в окружающий ландшафт.
Осатаник 13;2.7;3;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Конюшня 47;4.8;3;5;1;Это великолепное здание!
Почта 18;3.8;1;4;5;Это здание прекрасно вписывается в окружающий ландшафт.
Мостки 34;1.8;3;1;1;Это здание имеет стандартную конструкцию.
Стадион 97;4.5;3;3;5;Это здание очень функционально.
Стадион 97;2.9;1;1;4;Это здание прекрасно вписывается в окружающий ландшафт.
Осатаник 13;1.2;1;4;1;Это здание не имеет особых архитектурных особенностей.
Улей 95;4.6;5;5;4;Это здание имеет стандартную конструкцию.
Развязка 17;2.6;3;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Фазенда 69;3.3;5;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гусятник 59;4.4;3;5;5;Это здание не имеет особых архитектурных особенностей.
Пасека 30;4.8;1;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
ТЭЦ 77;5.0;4;3;1;Это здание является примером функционального дизайна.
Подвал 68;2.6;2;4;4;Это здание не имеет особых архитектурных особенностей.
Лежбище 44;2.4;4;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
ТЭЦ 77;1.6;2;1;1;Это великолепное здание!
