title;price;place;date
Лев, колдунья и платяной шкаф;4069;online;9.1.2015
Исчезнувшая;4840;offline;7.9.2021
Скотный двор;1650;online;11.8.2023
О дивный новый мир;3097;offline;25.12.2021
Заводной апельсин;4443;offline;28.12.2008
Дюна;760;online;26.5.2014
Дюна;2849;offline;2.3.2004
Ночная стража;2459;offline;22.6.2009
Хроники Нарнии;4663;offline;19.6.2014
Неукротимый;2053;online;3.3.2007
Аутсайдеры;4374;offline;6.11.2013
Исчезнувшая;2752;online;18.7.2011
О дивный новый мир;1527;online;24.10.2006
Божество реки;3675;online;1.7.2012
1984;1061;online;24.8.2016
Дракула;2439;online;9.7.2004
Великий Гэтсби;1762;offline;20.2.2009
Неукротимый;4298;offline;12.8.2006
Три товарища;2920;online;13.8.2018
О дивный новый мир;514;offline;7.6.2018
Слепота;3471;online;14.5.2015
Заводной апельсин;2576;online;24.10.2016
Сквозь время;3784;offline;23.4.2014
Три товарища;3100;offline;6.3.2021
Заводной апельсин;3564;online;13.12.2016
Страх и отвращение в Лас-Вегасе;725;online;22.9.2002
Исчезнувшая;4249;offline;16.4.2000
Зеленая миля;2937;offline;6.11.2014
В дороге;3884;offline;1.12.2013
Портрет Дориана Грея;1381;offline;24.2.2014
Повелитель мух;4800;online;2.12.2004
По направлению к сваолу;1802;online;3.3.2014
1984;4621;offline;15.12.2011
Гроздья гнева;1078;online;9.6.2008
Солярис;4775;offline;18.6.2009
По направлению к сваолу;1890;offline;1.1.2021
Лев, колдунья и платяной шкаф;4383;online;4.4.2002
Женщина в песках;3011;offline;20.9.2021
Идиот;2645;online;28.3.2009
Бойня номер пять, или Крестовый поход детей;4291;online;25.4.2007
Старик и море;1055;offline;17.3.2020
Неукротимый;3609;online;4.3.2009
Дракула;4312;online;3.11.2010
Хроники Нарнии;1592;online;25.10.2002
Солярис;3565;online;18.7.2009
Старик и море;1067;online;15.5.2018
Божество реки;1301;offline;9.8.2018
Мастер и Маргарита;3271;offline;4.3.2020
451 градус по Фаренгейту;3602;online;7.9.2003
Дракула;2813;offline;19.10.2010
Солярис;3759;offline;8.10.2017
О дивный новый мир;4427;offline;13.10.2006
О дивный новый мир;3694;online;13.6.2021
Свет в лесу;834;online;28.10.2015
Трудно быть богом;658;offline;22.8.2019
Сквозь время;1176;online;6.8.2013
Недовольство культурой;2617;offline;20.12.2008
О дивный новый мир;3958;online;15.1.2000
Сквозь время;4718;offline;28.12.2008
Хроники Нарнии;1103;online;15.11.2003
Сквозь время;4866;offline;6.7.2000
Лев, колдунья и платяной шкаф;3416;online;28.11.2015
1984;1130;online;27.7.2001
Ватек;588;online;3.6.2012
Божество реки;750;offline;5.4.2013
Преступление и наказание;4300;online;9.10.2006
