name;rating;convenience;security;functionality;comment
Порт 31;3.7;3;1;1;Это здание является примером функционального дизайна.
Замок 48;1.3;3;5;1;Это здание является примером функционального дизайна.
Бункер 96;3.1;2;1;4;Это здание построено из стандартных строительных материалов.
Коровник 88;1.5;3;2;3;Это здание является примером функционального дизайна.
Бомбоубежище 19;2.7;2;5;2;Это здание представляет собой типичный образец современной архитектуры.
Мансарда 69;2.0;4;2;3;Это здание является примером функционального дизайна.
Развязка 21;3.2;5;3;1;Это здание имеет стандартную конструкцию.
Осатаник 4;1.1;2;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Нефтепровод 86;4.2;3;2;2;Это здание имеет стандартную конструкцию.
Сеть 5;5.0;5;4;3;У этого здания отличная архитектура.
Аэропорт 42;3.4;3;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Библиотека 40;4.0;2;4;3;Это здание имеет стандартную конструкцию.
Развязка 21;1.2;1;5;4;Это здание имеет стандартную конструкцию.
Коттедж 89;1.8;2;1;3;Это здание имеет стандартную конструкцию.
Крольчатник 74;2.4;4;3;1;Это здание является примером функционального дизайна.
Школа 48;4.2;3;3;5;Это здание очень функционально.
Музей 26;1.5;5;2;5;Это здание не имеет особых архитектурных особенностей.
Мануфактура 42;1.1;4;2;2;Это здание очень функционально.
Сеть 5;5.0;1;4;4;Это здание построено из стандартных строительных материалов.
Тоннель 32;3.8;4;4;3;Это здание построено из стандартных строительных материалов.
Гусятник 78;3.6;5;1;2;Это здание имеет стандартную конструкцию.
Аптека 25;0.9;4;2;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ангар 90;0.2;5;2;2;Это здание не имеет особых архитектурных особенностей.
Маяк 62;4.2;3;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Нефтепровод 86;2.5;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Газопровод 53;2.7;2;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лифт 3;3.4;1;2;1;Это великолепное здание!
Школа 91;2.8;3;1;2;Это здание имеет стандартную конструкцию.
Мансарда 69;1.0;4;2;4;Это здание построено из стандартных строительных материалов.
Электростанция 75;4.6;5;4;2;Это здание является примером функционального дизайна.
Мансарда 69;3.9;5;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Церковь 97;2.5;4;5;5;Мне нравится дизайн этого здания.
Библиотека 40;0.2;4;2;3;Это здание является примером функционального дизайна.
Коровник 88;2.7;4;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ангар 90;4.1;5;5;1;Это здание построено из стандартных строительных материалов.
Псарня 58;0.9;3;2;5;Мне нравится дизайн этого здания.
Музей 66;0.7;4;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Больница 25;1.8;3;1;4;У этого здания отличная архитектура.
Жилой дом 66;2.7;4;3;2;Это здание представляет собой типичный образец современной архитектуры.
Улей 40;0.5;4;1;2;Это здание прекрасно вписывается в окружающий ландшафт.
Отель 72;2.1;2;2;1;Это здание построено из стандартных строительных материалов.
Скворечник 42;1.7;4;5;2;Это здание построено из стандартных строительных материалов.
Библиотека 56;1.5;2;2;2;Это здание имеет стандартную конструкцию.
Завод 78;2.7;2;5;1;Это здание представляет собой типичный образец современной архитектуры.
Псарня 58;0.3;3;1;4;Это великолепное здание!
Замок 48;2.7;4;1;1;Это здание имеет стандартную конструкцию.
Офис 54;3.3;2;1;3;Это здание представляет собой типичный образец современной архитектуры.
Академия 1;1.2;5;4;3;Это великолепное здание!
Хаус 31;0.2;3;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Аэропорт 42;0.7;2;5;3;Это здание построено из стандартных строительных материалов.
Мушиный лабиринт 19;3.8;2;2;1;Это здание не имеет особых архитектурных особенностей.
Маяк 62;2.2;5;2;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Церковь 50;4.3;4;5;2;Это здание имеет стандартную конструкцию.
Дупло 18;4.9;5;2;5;Это здание построено из стандартных строительных материалов.
Гусятник 78;3.0;4;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Газопровод 64;2.6;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Музей 66;1.5;5;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Магазин 20;2.0;4;4;3;Это здание очень функционально.
Термитник 85;1.2;3;1;4;Это здание представляет собой типичный образец современной архитектуры.
Замок 48;3.8;5;3;4;Это здание имеет стандартную конструкцию.
Дупло 24;2.5;2;5;3;Это здание не имеет особых архитектурных особенностей.
Мушиный лабиринт 45;2.8;5;4;4;Мне нравится дизайн этого здания.
Банк 46;4.1;1;5;3;Это здание имеет стандартную конструкцию.
Банк 46;1.7;2;5;2;Мне нравится дизайн этого здания.
Борть 66;2.8;2;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ангар 46;1.4;1;4;1;Это здание является примером функционального дизайна.
Склад 57;3.8;3;1;2;Это здание построено из стандартных строительных материалов.
Маяк 62;2.0;2;2;5;Это здание очень функционально.
Ангар 88;0.7;2;1;2;Это здание представляет собой типичный образец современной архитектуры.
Школа 48;1.1;1;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 48;0.4;4;3;2;Это здание не имеет особых архитектурных особенностей.
Банк 27;0.5;1;2;2;Это здание построено из стандартных строительных материалов.
Школа 91;2.8;1;2;2;Это здание очень функционально.
Ангар 2;0.7;4;3;5;Это здание построено из стандартных строительных материалов.
 Вилла 51;2.4;2;2;2;Это здание построено из стандартных строительных материалов.
Коровник 88;3.9;1;1;5;Это великолепное здание!
Термитник 85;1.8;1;3;2;Это здание представляет собой типичный образец современной архитектуры.
Гусятник 78;2.8;4;1;5;Это великолепное здание!
Коровник 88;2.8;3;2;5;У этого здания отличная архитектура.
Лестница 4;0.4;2;3;1;Это здание является примером функционального дизайна.
Гусятник 78;3.2;1;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ангар 2;2.8;5;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Банк 46;1.6;4;3;4;Это здание построено из стандартных строительных материалов.
Академия 1;1.6;2;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мушиный лабиринт 19;2.2;5;3;3;У этого здания отличная архитектура.
Мушиный лабиринт 19;1.0;4;2;2;Это здание построено из стандартных строительных материалов.
Магазин 74;1.8;5;3;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ангар 46;2.5;4;4;1;Это великолепное здание!
Верблюжатник 55;0.6;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Магазин 74;1.6;4;3;1;Это здание построено из стандартных строительных материалов.
Музей 26;0.2;4;2;4;Это здание представляет собой типичный образец современной архитектуры.
Банк 27;2.0;2;5;5;Это здание построено из стандартных строительных материалов.
Школа 91;2.3;2;2;5;Это здание построено из стандартных строительных материалов.
Лестница 4;0.3;2;5;5;Это здание является примером функционального дизайна.
Газопровод 53;0.7;5;2;5;Это здание является примером функционального дизайна.
Развязка 21;4.0;3;2;1;Это здание построено из стандартных строительных материалов.
Кинотеатр 59;3.1;5;3;5;Это здание представляет собой типичный образец современной архитектуры.
Музей 66;0.2;2;1;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Усадьба 99;1.2;5;2;1;Это здание представляет собой типичный образец современной архитектуры.
Бункер 96;3.3;3;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Свиноферма 13;3.2;1;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Псарня 58;1.7;5;3;2;Это здание имеет стандартную конструкцию.
Ангар 90;3.0;2;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 66;4.5;4;4;5;Это здание не имеет особых архитектурных особенностей.
Ферма 64;4.2;4;4;3;Это здание является примером функционального дизайна.
Детский сад 24;2.0;5;3;2;Это здание построено из стандартных строительных материалов.
