id;name;city;begin;system;tours_count;min_rating;time_on_game
553384;Sinquefield Cup 1973;Картахена;15.11;circular;15;2570;141
696641;Тилбург 1989;Эльче;17.02;Swiss;6;2411;177
698110;Макартур 1983;Авилес;14.12;circular;8;2400;165
715047;Аэрофлот Опен 1954;Бишкек;22.10;Swiss;13;2202;45
664369;Пальма 1956;Сьюдад-Реаль;12.11;Swiss;6;2590;143
659608;Пойковский 1977;Санкт-Петербург;15.02;circular;13;2444;57
709520;Вена 1989;Таллин;12.12;Olympic;6;2227;84
233250;Хогевен 1961;Сан-Себастьян;13.08;Olympic;13;2611;138
937748;Вейк-ан-Зее 2005;Алма-Ата;01.12;circular;8;2480;54
884745;Кубок мира 1960;Бишкек;02.04;Olympic;6;2520;25
532270;Сент-Луис 2019;Махадаонда;15.05;circular;14;2372;28
322115;Цюрих 1998;Эльче;28.03;Swiss;15;2607;46
340859;Европа 2020;Белград;22.10;Swiss;12;2506;25
196174;Ставангер 1982;Ла-Корунья;16.10;Swiss;8;2619;77
632982;Макартур 1957;Куэнка;24.10;Swiss;8;2593;141
476400;Линарес 2022;Санхенхо;13.10;Swiss;12;2561;131
219193;Алушта 2022;Мадрид;16.12;Olympic;12;2361;89
332486;Вена 1999;Артейхо;09.06;Swiss;7;2266;138
803455;Сент-Луис 1964;Пласенсия;26.05;circular;8;2434;48
303616;Макартур 1983;Кадакес;19.08;circular;14;2336;69
295553;Биль 1955;Кишинев;14.03;circular;6;2419;178
794037;Вейк-ан-Зее 2006;Осера;27.07;circular;7;2325;171
899466;Тилбург 2001;Мадрид;27.04;Swiss;11;2503;145
664305;Гашиш 1961;Тирана;06.03;Swiss;13;2513;87
832856;Кубок мира 1968;Москва;05.04;Swiss;13;2406;51
250244;Чемпионат мира 1950;Фигерас;11.02;circular;11;2435;135
764778;Гран-при ФИДЕ 1978;Эльче;09.01;Olympic;14;2533;18
713210;Хогевен 1995;Варшава;09.07;Olympic;11;2437;132
548137;Алушта 1988;Валенсия;26.04;Olympic;12;2256;143
548610;Алушта 1986;Аликанте;14.06;Olympic;8;2567;81
718440;Гашиш 1984;Хихон;09.07;Olympic;6;2612;52
981709;Пальма 2024;Загреб;03.07;Swiss;9;2433;26
431683;Дортмунд 1999;Астана;11.06;Olympic;15;2208;113
225885;Алушта 1995;Краков;23.05;circular;12;2575;35
451479;Пальма 1989;Аликанте;26.02;Swiss;12;2645;18
238537;Чемпионат мира 1986;Душанбе;12.10;Olympic;12;2273;144
734368;Сент-Луис 1963;Навалькарнеро;27.05;circular;14;2607;95
739480;Гран-при ФИДЕ 2006;Санкт-Петербург;02.02;Olympic;10;2630;39
886199;Кубок мира 1977;Тудела;04.07;Olympic;14;2285;40
243994;Кубок мира 2010;Белград;03.12;Olympic;13;2393;81
639889;Шамкович 1993;Артейхо;11.07;Olympic;10;2253;34
668713;Сент-Луис 1987;Сараево;25.11;Olympic;11;2300;160
539418;Шамкович 2010;Алькала-де-Энарес;05.03;Olympic;14;2207;147
134528;Гран-при ФИДЕ 2000;Касерес;28.03;circular;15;2459;152
575847;Цюрих 1967;Санхенхо;02.12;Swiss;9;2617;38
723154;Биль 1974;Касерес;01.05;circular;6;2499;163
127359;Вейк-ан-Зее 2018;Льейда;20.01;Swiss;6;2621;134
370384;Цюрих 1984;Душанбе;22.10;circular;15;2447;52
602961;Цюрих 1954;Сория;25.03;circular;14;2378;171
944959;Турнир претендентов 1982;Кадакес;13.01;circular;14;2579;52
694187;Сент-Луис 1962;Бишкек;28.02;Swiss;15;2403;40
553562;Sinquefield Cup 1954;Махадаонда;27.04;Olympic;12;2461;60
690479;Политика 2005;Навалькарнеро;06.08;Swiss;15;2231;133
159151;Аэрофлот Опен 2014;Кадакес;27.05;Swiss;15;2238;20
692338;Европа 1992;София;14.04;Olympic;11;2382;25
402343;Турнир претендентов 1993;Хельсинки;15.02;Olympic;6;2513;119
209219;Алушта 1955;Скопье;08.07;Olympic;7;2200;46
106423;Дортмунд 1980;Камбадос;20.04;Swiss;7;2212;55
234837;Кубок мира 1969;Санкт-Петербург;25.08;Swiss;11;2211;146
826986;Реджо-нель-Эмилия 1991;Мурсия;27.11;Olympic;15;2625;120
331746;Европа 1985;Эль-Пуэрто-де-Санта-Мария;18.07;Swiss;15;2314;98
486090;Хогевен 1971;Любляна;18.07;circular;7;2543;76
325355;Дортмунд 1950;Семана;18.10;Swiss;14;2592;111
967199;Балтийская цепь 1969;Ташкент;24.11;Olympic;12;2368;45
216032;Sinquefield Cup 2015;Артейхо;09.01;Olympic;15;2485;178
764084;Дортмунд 2000;Махадаонда;02.06;circular;8;2449;52
529351;Чемпионат мира 1989;Сараево;17.09;circular;12;2357;132
366691;Чемпионат мира 1999;Севилья;20.05;Olympic;10;2345;53
798797;Чемпионат мира 1992;Краков;20.08;circular;9;2380;94
162324;Балтийская цепь 1982;Картахена;14.04;circular;14;2420;20
215951;Гашиш 2023;Артейхо;13.12;Olympic;10;2391;72
770796;Аэрофлот Опен 1969;Тбилиси;09.04;Olympic;9;2297;127
656423;Вена 1999;Тудела;05.06;Olympic;10;2366;40
216529;Европа 1992;Вильнюс;21.08;Swiss;11;2336;76
292584;Ставангер 2005;Мерида;13.06;Olympic;14;2335;142
859355;Пойковский 2011;Белград;23.03;Swiss;14;2483;79
747285;Гран-при ФИДЕ 1973;Луарка;08.08;Olympic;10;2485;165
928491;Реджо-нель-Эмилия 2006;Овьедо;04.08;circular;15;2553;158
860923;Балтийская цепь 2014;Эльче;17.07;circular;9;2650;171
584529;Гашиш 2002;Будапешт;11.03;circular;7;2240;179
701091;Пойковский 1983;Загреб;25.08;Olympic;8;2630;50
621383;Sinquefield Cup 2012;Алькала-де-Энарес;12.11;Swiss;6;2436;138
607525;Аэрофлот Опен 2024;Куэнка;15.02;Olympic;12;2203;134
351350;Цюрих 1951;Навалькарнеро;07.05;circular;15;2260;44
223479;Шамкович 2001;Мартоса;09.11;circular;14;2451;32
147311;Кубок мира 1975;Касерес;17.11;Olympic;6;2337;47
178037;Линарес 1969;Краков;08.08;Swiss;9;2638;84
525076;Вена 1968;Навалькарнеро;26.05;circular;13;2321;28
652025;Пальма 1998;Лас-Росас;04.09;Swiss;8;2611;166
837532;Пойковский 1964;Монсон;23.10;Swiss;11;2286;123
316947;Политика 1974;Варшава;08.02;Olympic;13;2506;149
754374;Хогевен 2013;Авилес;26.06;circular;9;2474;119
396251;Гашиш 1961;Вальядолид;14.01;Olympic;10;2631;168
287158;Аэрофлот Опен 1978;Бильбао;08.04;Olympic;10;2378;57
144167;Реджо-нель-Эмилия 1994;Ла-Корунья;05.07;circular;14;2612;143
696203;Лондон 2015;Алькала-де-Энарес;08.08;circular;6;2632;153
878076;Пальма 1955;Кишинев;01.03;Swiss;12;2466;35
118759;Ставангер 2024;София;15.07;Swiss;14;2364;57
412764;Мемориал Таля 1982;Касерес;15.05;Swiss;11;2624;93
612304;Пальма 1959;Тудела;08.12;circular;8;2565;172
