title;author;genre;pages;published_year;isbn;rating;views
Маленький принц;Юстейн Гордер;роман;264;1886;645-2210105808;3.7;13024
Гордость и предубеждение;Жюль Верн;приключения;337;1972;438-9684945227;1.9;11026
Неукротимый;Умберто Эко;детская литература;190;1979;371-3818453333;1.1;69551
Планета обезьян;Исаак Бабель;фэнтези;146;1820;377-7624520016;3.3;14677
Под стеклянным колпаком;Колин Маккалоу;роман;418;2018;577-9976978594;1.2;688
Прощай, оружие;Герберт Уэллс;детектив;390;1888;452-1789792475;4.2;13858
1984;Владимир Набоков;триллер;303;1840;372-8335061995;4.5;82098
Солярис;Николай Гоголь;научная фантастика;311;2012;210-8673123140;4.2;67704
20 000 лье под водой;Джон Фаулз;приключения;379;2013;310-9023304685;3.9;97401
Война и мир;Фрэнсис Скотт Фицджеральд;биография;279;1889;711-3384585972;0.8;57818
Ватек;Стивен Кинг;роман;160;1857;792-5056414352;0.1;66342
451 градус по Фаренгейту;Синклер Льюис;триллер;242;1956;326-2375111455;0.8;93633
Человек-невидимка;Алексей Толстой;любовный роман;324;1868;468-4993799630;3.7;42110
Хроники Нарнии;Джек Лондон;роман;237;2019;105-4613271513;0.1;83316
Маленький принц;Колин Маккалоу;научная фантастика;149;1857;941-1095152974;4.7;18213
Недовольство культурой;Роберт Льюис Стивенсон;научная фантастика;238;1804;986-1826731172;2.9;64352
Рассказ мертвецов;Салман Рушди;роман;372;1922;661-1418704098;0.4;455
Женщина в песках;Джозеф Конрад;детская литература;405;1918;609-4566037671;0.9;48877
Портрет Дориана Грея;Фрэнсис Скотт Фицджеральд;научная фантастика;201;2007;728-4798970348;4.9;3879
Свет в лесу;Дон Делилло;детектив;157;1949;361-9829691877;0.8;87899
Двенадцать стульев;Патрик Зюскинд;биография;382;1875;649-3975723730;2.5;97080
Недовольство культурой;Фрэнсис Скотт Фицджеральд;роман;278;1949;448-7504294129;1.6;37319
Кандида;Тед Хьюз;научная фантастика;151;1923;338-6856439925;1.8;15360
Женщина в песках;Жюль Верн;триллер;132;2002;212-5858498534;4.7;4210
