title;author;genre;pages;published_year;isbn;rating;views
Лев, колдунья и платяной шкаф;Герберт Уэллс;детская литература;228;1923;230-9692701708;2.7;8981
Рассказ мертвецов;Иэн Бэнкс;триллер;115;1982;338-3474252407;3.3;68935
Аутсайдеры;Эрих Мария Ремарк;роман;241;1829;565-3223951330;3.5;18890
Женщина в песках;Оскар Уайльд;детектив;430;1856;257-6082907461;5.0;18267
Дракула;Дж. Р. Р. Толкин;детектив;455;2015;938-5156868633;1.9;73367
Кандида;Уильям Голдинг;научная фантастика;386;1882;457-6966987619;4.1;64882
Под стеклянным колпаком;Федор Достоевский;исторический роман;483;1869;534-1490500718;3.3;59801
Планета обезьян;Колин Маккалоу;детская литература;245;1880;226-6170953480;3.0;52571
Франкенштейн;Михаил Булгаков;роман;384;1836;869-6185384538;3.0;87202
Скотный двор;Харуки Мураками;детектив;170;1928;292-7950295220;0.3;18237
Алхимик;Александр Пушкин;детская литература;437;1886;674-4236856778;4.2;61379
Дюна;Оскар Уайльд;любовный роман;430;1804;863-5301256194;3.7;95916
В дороге;Сельма Лагерлёф;биография;421;1891;239-2473504771;2.5;2458
Возвращение в Брайдсхед;Джозеф Конрад;исторический роман;226;1990;524-5011220182;0.1;55517
Маленький принц;Синклер Льюис;фэнтези;156;1871;773-5033212704;4.9;21026
Франкенштейн;Эрих Мария Ремарк;детектив;169;1942;918-3194048983;1.2;84119
Эпоха невинности;Ясунари Кавабата;детектив;261;2021;634-3232227436;0.3;99337
Лолита;Марк Твен;приключения;372;2002;543-3889763379;1.0;44246
Город призраков;Сельма Лагерлёф;исторический роман;116;1964;925-4580841234;4.8;69363
Плавучий трава;Сигрид Унсет;детектив;218;1958;995-2909379757;1.6;72217
20 000 лье под водой;Эрих Мария Ремарк;детская литература;421;1855;265-3704132400;0.6;16266
По направлению к сваолу;Сельма Лагерлёф;научная фантастика;255;1921;195-3579488910;4.1;21176
Повелитель мух;Эрнест Хемингуэй;любовный роман;251;1876;691-9821294039;4.5;97981
Планета обезьян;Патрик Зюскинд;исторический роман;372;1900;254-7568678839;3.7;33254
Город призраков;Алан Александр Милн;фэнтези;122;1984;359-4946529879;2.1;80236
Звездная пыль;Фрэнсис Скотт Фицджеральд;детская литература;191;1960;225-4166398673;4.9;12845
Возвращение в Брайдсхед;Артур Конан Дойл;фэнтези;345;2021;329-3369287491;2.2;4435
Процесс;Патрик Зюскинд;приключения;347;2009;379-9415702558;3.3;92352
О дивный новый мир;Харпер Ли;научная фантастика;318;1824;513-7235469731;2.6;42707
Аутсайдеры;Владимир Набоков;научная фантастика;112;1839;314-9899491203;0.7;20154
Двенадцать стульев;Сельма Лагерлёф;детская литература;422;2012;547-7502853529;2.1;73903
Лолита;Эрих Мария Ремарк;приключения;173;2003;244-7167043961;4.4;81161
Ярмарка тщеславия;Иван Тургенев;роман;225;1914;284-7391991898;2.4;10360
Фауст;Уильям Голдинг;фэнтези;470;1920;550-5119231289;2.9;71531
Двенадцать стульев;Салман Рушди;детектив;337;1848;439-3182954055;5.0;62717
Заводной апельсин;Владимир Набоков;фэнтези;233;2016;858-7226490781;1.5;59201
Портрет Дориана Грея;Лев Толстой;научная фантастика;208;1995;213-9551474279;4.0;35576
По направлению к сваолу;Клайв Стейплз Льюис;триллер;113;1924;701-2710599801;1.3;25071
Три товарища;Джек Лондон;научная фантастика;481;1986;220-9034487020;4.7;57854
Ярмарка тщеславия;Николай Гоголь;фэнтези;459;1965;319-2158764607;2.9;2508
Убить пересмешника;Иван Тургенев;детектив;164;1900;260-7406174225;3.0;80374
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Патрик Зюскинд;исторический роман;143;1996;458-1440617864;2.4;11048
Гроздья гнева;Клайв Стейплз Льюис;приключения;436;1887;920-7418087932;1.5;76439
Вещие сестрички;Джордж Оруэлл;триллер;250;1910;669-7709550131;1.3;79124
Молот ведьм;Станислав Лем;фэнтези;389;1955;545-4944054935;0.9;52018
На игле;Сельма Лагерлёф;исторический роман;394;1943;133-3421621397;1.8;30246
Процесс;Тед Хьюз;роман;453;1865;979-5272195967;4.9;16175
Неукротимый;Юстейн Гордер;научная фантастика;164;1832;620-5516712697;4.0;83359
Осиная фабрика;Эрих Мария Ремарк;детектив;500;1906;741-6082380853;3.9;60684
Три товарища;Ясунари Кавабата;любовный роман;155;1998;151-7627318150;0.9;3086
Дракула;Генрих Сенкевич;исторический роман;369;1961;673-6013449840;2.6;99855
Ночная стража;Колин Маккалоу;биография;203;1870;989-1238016881;0.3;65079
На игле;Харуки Мураками;триллер;217;1970;336-9791217640;1.1;33972
Сумерки;Клайв Стейплз Льюис;детская литература;437;1815;743-4433266073;0.4;53280
Портрет Дориана Грея;Джейн Остин;фэнтези;315;1857;733-2761680903;5.0;63376
Старик и море;Исаак Бабель;любовный роман;332;1933;495-2945422832;3.4;48932
О дивный новый мир;Салман Рушди;фэнтези;468;2012;791-6630583981;3.3;17364
Цветы для Элджернона;Николай Гоголь;научная фантастика;298;1874;498-5738665128;3.6;58442
Преступление и наказание;Ясунари Кавабата;любовный роман;453;1853;913-2384426579;3.6;37752
Идиот;Антон Чехов;любовный роман;376;1867;865-3850343113;0.1;86854
Бухта Эсмеральда;Дж. Р. Р. Толкин;фэнтези;199;1866;756-3055213158;4.5;46877
Исчезнувшая;Колин Маккалоу;любовный роман;310;2017;132-7485820526;1.3;17330
Бойня номер пять, или Крестовый поход детей;Алексей Толстой;биография;472;2009;249-3448774542;3.9;67306
Бегущий по лезвию;Жюль Верн;детектив;493;1944;340-8599505535;5.0;58512
Бухта Эсмеральда;Алексей Толстой;любовный роман;220;1860;525-9227474561;1.6;78920
Убить пересмешника;Жюль Верн;приключения;289;1950;394-8038914852;3.3;30709
