title;author;genre;pages;published_year;isbn;rating;views
Ночная стража;Артур Конан Дойл;триллер;239;1944;579-1840885414;0.3;65286
Солярис;Исаак Бабель;любовный роман;429;1979;474-4372034268;0.1;75536
Франкенштейн;Герберт Уэллс;роман;279;1898;214-3040511629;5.0;90764
Слепота;Алан Александр Милн;любовный роман;428;1976;759-6539143666;0.7;35616
Солярис;Федор Достоевский;детская литература;235;1946;759-7363134947;1.3;18130
Бойня номер пять, или Крестовый поход детей;Артур Конан Дойл;детская литература;146;1959;559-7570950999;0.9;40095
Планета обезьян;Станислав Лем;научная фантастика;222;1911;178-6055411433;2.9;30879
Старик и море;Антон Чехов;приключения;484;2015;401-9521661508;3.1;11567
Кандида;Артур Конан Дойл;научная фантастика;444;1846;472-4508662629;3.7;78269
Идиот;Ясунари Кавабата;научная фантастика;467;1954;308-5886494708;1.1;53114
Оно;Иван Тургенев;роман;288;2003;711-5252770152;3.7;34203
Неукротимый;Джозеф Конрад;любовный роман;211;1813;380-1482055560;2.0;43720
Убить пересмешника;Оскар Уайльд;приключения;343;1892;892-3234692264;2.7;20723
Лолита;Сельма Лагерлёф;исторический роман;156;1824;223-8329869868;4.3;50072
Франкенштейн;Синклер Льюис;детская литература;175;1802;420-7568691110;1.4;68589
Маленький принц;Казуо Исигуро;триллер;489;1808;308-1804694351;0.3;90149
Ночная стража;Алексей Толстой;детектив;136;1887;248-2658386028;0.7;52337
Хроники Нарнии;Джозеф Конрад;детская литература;219;2012;108-7402182225;0.4;63365
Маленький принц;Сельма Лагерлёф;исторический роман;395;2017;124-3267795422;0.5;15140
Свет в лесу;Джек Лондон;научная фантастика;206;1950;828-4416744961;1.9;17527
Великий Гэтсби;Оскар Уайльд;детектив;208;1926;845-4948573840;2.6;54767
1984;Марк Твен;биография;306;1918;354-2997830286;2.1;93453
Прощай, оружие;Джейн Остин;исторический роман;122;1800;872-2346922769;3.9;60003
По направлению к сваолу;Джейн Остин;любовный роман;439;2008;554-3191788729;3.7;36984
