title;author;genre;pages;published_year;isbn;rating;views
Бойня номер пять, или Крестовый поход детей;Александр Пушкин;исторический роман;441;1885;821-6711287361;1.8;95418
Великий Гэтсби;Федор Достоевский;научная фантастика;172;1865;284-6000985054;1.6;93176
Три товарища;Артур Конан Дойл;научная фантастика;213;1989;587-2764093611;0.9;54417
Портрет Дориана Грея;Сигрид Унсет;триллер;232;1806;522-6259942665;2.5;90940
Неукротимый;Антон Чехов;фэнтези;378;1957;294-2476963493;4.1;97518
Прощай, оружие;Майн Рид;детская литература;289;1953;209-3850303112;2.9;14457
20 000 лье под водой;Эрих Мария Ремарк;фэнтези;376;1996;209-4112640423;4.2;1616
Лев, колдунья и платяной шкаф;Оскар Уайльд;триллер;456;1961;483-8821761467;3.9;99679
О дивный новый мир;Жюль Верн;исторический роман;312;1829;616-9712101493;2.9;81049
Солярис;Ясунари Кавабата;детская литература;202;1967;193-5402540092;1.2;64390
Ватек;Оскар Уайльд;детектив;213;1860;158-9536038601;0.9;19833
Волхв;Федор Достоевский;детская литература;355;1846;436-6097383691;3.7;89069
По направлению к сваолу;Уильям Голдинг;детектив;380;1885;889-3838448904;3.0;70236
Бегущий по лезвию;Николай Гоголь;фэнтези;166;1821;374-5875483726;3.8;19164
Слепота;Ясунари Кавабата;биография;402;2005;734-5525872186;3.1;73028
Ночная стража;Герберт Уэллс;роман;196;1930;226-1643691265;3.9;36909
Человек-невидимка;Тед Хьюз;роман;278;1893;947-5245280436;3.0;21021
1984;Дж. Р. Р. Толкин;любовный роман;422;1835;938-4086476820;3.0;96717
Идиот;Колин Маккалоу;любовный роман;114;1860;812-5460921364;4.1;52852
1984;Алексей Толстой;исторический роман;157;1874;197-7691596820;0.4;64500
Старик и море;Антон Чехов;роман;380;2010;710-6065593454;3.4;65213
Сквозь время;Иэн Бэнкс;детектив;478;1847;897-9721161821;1.6;12759
Преступление и наказание;Иэн Бэнкс;детская литература;103;1896;974-2527805962;2.5;12732
Исчезнувшая;Фрэнсис Скотт Фицджеральд;фэнтези;196;1953;495-8809394678;2.5;3048
Кандида;Жюль Верн;триллер;120;1966;780-6110672318;1.5;31353
О дивный новый мир;Патрик Зюскинд;биография;345;1977;549-1669442632;0.1;80168
Старик и море;Сигрид Унсет;исторический роман;355;1894;876-7377358446;1.9;95536
Дракула;Джон Фаулз;биография;304;1956;226-6505442713;3.7;46542
В дороге;Харуки Мураками;любовный роман;407;1871;989-8199089723;0.4;20938
Двенадцать стульев;Михаил Булгаков;детская литература;247;1899;949-5467990883;1.1;42961
Страх и отвращение в Лас-Вегасе;Дон Делилло;роман;341;1997;661-2711237714;3.4;6251
Ватек;Эрих Мария Ремарк;роман;280;1962;896-1399016866;1.9;88269
Дюна;Михаил Булгаков;приключения;374;1898;152-4171342961;2.4;31856
Сквозь время;Джейн Остин;научная фантастика;297;1886;310-3945100380;1.0;45127
Божество реки;Салман Рушди;триллер;112;1869;235-1039703893;4.6;45808
