title;author;genre;pages;published_year;isbn;rating;views
О дивный новый мир;Герберт Уэллс;детская литература;293;1843;658-8724763903;1.0;71844
Сто лет одиночества;Александр Пушкин;детская литература;138;1861;197-3860876078;2.1;56259
По направлению к сваолу;Александр Пушкин;детская литература;288;1963;697-1801858018;1.5;93377
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Габриэль Гарсиа Маркес;фэнтези;150;1804;187-2579110143;0.3;62004
Имя розы;Клайв Стейплз Льюис;фэнтези;251;1808;658-2949609704;2.1;2111
Дракула;Дж. Р. Р. Толкин;любовный роман;408;1994;893-5754105169;2.8;15102
Недовольство культурой;Синклер Льюис;триллер;397;1907;686-5999553103;1.0;97023
Цветы для Элджернона;Эрнест Хемингуэй;биография;456;1871;546-3706647983;4.1;74463
Лев, колдунья и платяной шкаф;Сигрид Унсет;научная фантастика;353;1879;985-3397970519;0.6;6157
Исчезнувшая;Фрэнсис Скотт Фицджеральд;любовный роман;288;1939;715-9324006018;0.9;39134
Франкенштейн;Умберто Эко;детектив;477;1899;349-1225391764;0.6;59878
Сумерки;Харуки Мураками;приключения;416;1809;922-6030760753;1.8;60419
Город призраков;Колин Маккалоу;научная фантастика;310;1996;737-8811429369;3.5;52694
Божество реки;Джек Лондон;фэнтези;461;1929;322-5918256122;0.6;5386
Звездная пыль;Сельма Лагерлёф;исторический роман;208;1831;950-8742826202;4.6;75164
Город призраков;Джейн Остин;детская литература;304;1947;446-2675919964;4.2;74910
Возвращение в Брайдсхед;Сигрид Унсет;триллер;223;1979;187-7264034665;2.8;60381
Черный дом;Роберт Льюис Стивенсон;детектив;375;1804;893-5642923606;1.3;19688
451 градус по Фаренгейту;Колин Маккалоу;исторический роман;269;1824;752-3895421265;0.8;94980
Идиот;Оскар Уайльд;любовный роман;284;1836;588-5338193715;0.2;18654
Сквозь время;Владимир Набоков;триллер;487;1903;648-7602672783;1.5;40301
Падение дома Ашеров;Джек Лондон;научная фантастика;381;2020;926-6066238604;1.9;43499
Заводной апельсин;Алексей Толстой;любовный роман;498;1948;541-3526172928;4.2;92853
Недовольство культурой;Дон Делилло;фэнтези;126;1953;696-5283224182;3.5;99213
Молот ведьм;Николай Гоголь;научная фантастика;191;1887;244-7953634692;3.7;62632
Божество реки;Джек Лондон;детектив;343;1854;951-6392024014;2.6;48540
Молот ведьм;Джек Лондон;исторический роман;217;1902;132-8162200080;1.0;59275
Хроники Нарнии;Умберто Эко;фэнтези;228;2017;355-8635861640;4.3;52338
Франкенштейн;Габриэль Гарсиа Маркес;научная фантастика;301;1891;228-7526087355;0.9;42256
Сквозь время;Герберт Уэллс;научная фантастика;308;1928;473-4834482304;4.1;18963
Плавучий трава;Иван Тургенев;триллер;455;1960;709-4079325569;0.5;24175
20 000 лье под водой;Тед Хьюз;роман;172;2014;566-1328594485;2.6;31731
Алхимик;Александр Пушкин;научная фантастика;322;1990;985-1286268178;1.1;51751
Исчезнувшая;Иэн Бэнкс;исторический роман;260;1933;946-7093217105;0.8;55833
Франкенштейн;Уильям Голдинг;триллер;193;1997;903-5378306909;2.9;87559
Волхв;Салман Рушди;триллер;170;1970;933-1629584397;2.7;524
На игле;Дж. Р. Р. Толкин;детектив;458;1886;563-8611591863;0.1;53090
Человек-невидимка;Роберт Льюис Стивенсон;приключения;447;1860;947-8638092797;4.9;2398
Божество реки;Сигрид Унсет;любовный роман;357;1948;671-6237100323;3.7;72923
Трудно быть богом;Лев Толстой;триллер;142;1854;491-4989930395;0.8;64847
Алхимик;Харуки Мураками;фэнтези;474;1924;881-9379099460;1.5;47121
Алхимик;Клайв Стейплз Льюис;научная фантастика;394;1965;803-8580047508;3.3;6014
Зеленая миля;Умберто Эко;приключения;377;1982;710-9280262308;4.6;73807
Лолита;Умберто Эко;детская литература;100;1897;719-2501308600;3.2;10107
Фауст;Джордж Оруэлл;триллер;191;1891;165-7244263750;3.8;6791
Зеленая миля;Казуо Исигуро;научная фантастика;366;1801;177-1289680625;4.2;94507
Маленький принц;Юстейн Гордер;детектив;250;1873;244-4466942032;1.9;63363
Возвращение в Брайдсхед;Майн Рид;триллер;262;2012;694-6805774968;3.2;29768
Ватек;Умберто Эко;любовный роман;390;1826;596-4022071255;3.6;25929
Скотный двор;Николай Гоголь;приключения;110;1948;218-1816220657;4.1;3820
Под стеклянным колпаком;Иван Тургенев;приключения;219;1915;300-5809324806;3.8;67572
Трудно быть богом;Колин Маккалоу;любовный роман;209;1986;749-6457373456;0.2;15348
Ребекка;Джейн Остин;роман;298;1857;268-4381958847;1.0;33922
Скотный двор;Габриэль Гарсиа Маркес;фэнтези;114;1881;539-1805346996;3.9;6299
Маленький принц;Тед Хьюз;биография;279;1949;517-3594117203;5.0;50260
Цветы для Элджернона;Джон Фаулз;детская литература;151;1983;138-9473203590;1.0;5646
На игле;Антон Чехов;приключения;161;1977;387-6719321966;4.4;23487
Белый шум;Умберто Эко;детектив;440;1835;942-6744186216;2.9;7023
Бухта Эсмеральда;Майн Рид;исторический роман;390;1901;586-8963403965;4.5;28772
Дракула;Харпер Ли;научная фантастика;259;1872;667-9423456342;4.4;71487
Исчезнувшая;Артур Конан Дойл;детская литература;299;1888;140-3743836014;3.6;97411
