title;author;genre;pages;published_year;isbn;rating;views
Прощай, оружие;Дон Делилло;исторический роман;113;1993;202-3964442098;2.5;72251
Ватек;Алексей Толстой;исторический роман;302;1876;474-5661189050;3.9;3118
Великий Гэтсби;Майн Рид;любовный роман;494;2009;798-9371110024;3.2;39294
451 градус по Фаренгейту;Стивен Кинг;научная фантастика;329;1836;879-2832887335;4.5;6461
Портрет Дориана Грея;Харпер Ли;исторический роман;484;1977;814-9840166987;4.3;38114
Котлован;Михаил Булгаков;биография;366;1945;473-4272462846;4.1;79158
Алхимик;Эрих Мария Ремарк;детектив;472;1861;876-8786426082;2.0;63247
Ночная стража;Умберто Эко;фэнтези;256;2004;396-5679424144;0.4;93429
Автостопом по галактике;Юстейн Гордер;триллер;133;1930;734-3126221126;4.1;76149
Лолита;Алан Александр Милн;роман;388;1962;276-5452859721;4.3;46553
Трудно быть богом;Патрик Зюскинд;исторический роман;222;1906;636-4986648463;3.4;55384
Недовольство культурой;Антон Чехов;триллер;369;1957;704-7804928626;4.5;53363
Возвращение в Брайдсхед;Дж. Р. Р. Толкин;роман;470;2016;861-2980515437;1.5;65781
Белый шум;Стивен Кинг;исторический роман;117;1837;633-7606399489;4.6;51401
В дороге;Юстейн Гордер;роман;111;1820;428-1244672648;3.4;32372
Прощай, оружие;Эрнест Хемингуэй;исторический роман;126;1909;112-2387785839;0.1;3567
Осиная фабрика;Стивен Кинг;детская литература;237;1847;278-6035953678;1.2;77661
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Роберт Льюис Стивенсон;любовный роман;187;1875;718-2041076095;4.7;76670
Аутсайдеры;Колин Маккалоу;любовный роман;115;2006;455-6382292788;0.2;49060
В дороге;Ясунари Кавабата;исторический роман;406;1805;880-2034961087;0.4;24513
Божество реки;Александр Пушкин;приключения;421;1893;183-6435784696;3.0;37101
Свет в лесу;Эрнест Хемингуэй;научная фантастика;379;1999;109-9439194825;1.0;80922
Зеленая миля;Патрик Зюскинд;биография;459;1827;448-1625497672;0.2;25690
Американские горки;Александр Пушкин;детская литература;309;1961;921-9170085118;0.1;7973
Неукротимый;Борис Пастернак;детектив;487;1944;848-5305644502;0.8;55699
Божество реки;Лев Толстой;биография;479;1828;940-1826587406;3.6;76872
Падение дома Ашеров;Джордж Оруэлл;приключения;194;1835;406-7964744165;2.4;76433
Маленький принц;Синклер Льюис;биография;102;1883;286-1153579043;1.5;49634
Гарри Поттер и Философский камень;Исаак Бабель;детская литература;256;1973;454-3620330881;2.6;96173
Фауст;Дж. Р. Р. Толкин;научная фантастика;203;2002;962-2346260166;2.1;30790
Женщина в песках;Иван Тургенев;биография;206;1921;368-5410247921;4.2;39103
Плавучий трава;Казуо Исигуро;исторический роман;384;1863;533-6611161960;0.4;18515
Бесконечная история;Дон Делилло;биография;203;1815;356-6771176971;2.4;61915
Гордость и предубеждение;Иэн Бэнкс;исторический роман;205;1831;549-1212626211;2.6;95464
Бегущий по лезвию;Оскар Уайльд;исторический роман;138;1954;868-6558736751;2.7;95401
О дивный новый мир;Джозеф Конрад;триллер;382;1909;282-1747031595;4.7;69528
Граф Монте-Кристо;Уильям Голдинг;приключения;284;2011;738-4589925249;2.2;1839
Темная башня;Харуки Мураками;приключения;390;1967;608-1675194013;0.4;3715
Сумерки;Оскар Уайльд;любовный роман;284;1829;628-8955247006;0.3;76055
Убить пересмешника;Николай Гоголь;роман;290;1857;144-3722105374;2.2;72433
Под стеклянным колпаком;Иван Тургенев;детская литература;424;1834;618-6534604233;3.7;34464
Осиная фабрика;Оскар Уайльд;фэнтези;359;1806;165-4506842337;3.4;12458
Бойня номер пять, или Крестовый поход детей;Синклер Льюис;биография;396;1915;378-6740174732;2.0;87748
Война и мир;Салман Рушди;исторический роман;204;1827;802-8429002702;2.4;73957
На игле;Иэн Бэнкс;роман;486;1965;416-8068002183;1.6;25655
Заводной апельсин;Артур Конан Дойл;детская литература;350;1844;471-2774113537;2.6;89150
Ребекка;Джордж Оруэлл;фэнтези;295;2023;414-6979848232;4.9;98496
Американские горки;Федор Достоевский;биография;324;1837;714-6886820792;1.6;33407
Планета обезьян;Майн Рид;детектив;306;1919;937-9492196328;1.7;94530
Сквозь время;Эрих Мария Ремарк;любовный роман;302;1990;683-8208076013;1.5;95533
Исчезнувшая;Габриэль Гарсиа Маркес;фэнтези;257;1936;826-7036223499;2.2;94122
Дюна;Колин Маккалоу;приключения;118;1969;355-5381323587;1.4;54623
Приключения Гекльберри Финна;Юстейн Гордер;триллер;423;1979;840-6859534872;2.8;79568
Американские горки;Джордж Оруэлл;роман;409;1900;430-4576721495;2.9;54573
Черный дом;Майн Рид;триллер;284;1994;405-7314121058;0.4;96477
Белый шум;Патрик Зюскинд;приключения;440;1989;590-2006318276;3.2;20408
Плавучий трава;Марк Твен;роман;181;1879;627-7996697573;0.8;3121
Граф Монте-Кристо;Эрнест Хемингуэй;фэнтези;246;1826;661-7431643547;1.7;21307
Приключения Гекльберри Финна;Эрнест Хемингуэй;детская литература;472;1863;495-9349708564;2.6;51265
Ребекка;Казуо Исигуро;детектив;142;1804;436-8377644564;2.7;21001
Мертвые души;Ярослав Гашек;фэнтези;455;2018;439-9981103760;0.3;23312
Большие надежды;Тед Хьюз;роман;161;1977;476-3474958531;0.5;43654
Бесконечная история;Исаак Бабель;приключения;394;1855;561-4656597052;1.2;84530
Исчезнувшая;Жюль Верн;триллер;137;1888;708-3647353171;0.8;77206
Скотный двор;Артур Конан Дойл;научная фантастика;151;1806;318-7675175230;3.0;58328
Сто лет одиночества;Колин Маккалоу;исторический роман;393;1970;203-9488297576;0.1;96275
