title;author;genre;pages;published_year;isbn;rating;views
Возвращение в Брайдсхед;Майн Рид;научная фантастика;116;1976;542-9048621969;3.6;64469
Дракула;Фрэнсис Скотт Фицджеральд;фэнтези;293;2003;910-4844676296;2.0;49891
Рассказ мертвецов;Дж. Р. Р. Толкин;роман;295;1989;497-3289464549;2.1;34544
Большие надежды;Герберт Уэллс;триллер;340;1917;541-4272579712;2.7;27087
Бухта Эсмеральда;Стивен Кинг;приключения;298;1807;144-7080039613;4.1;79780
Женщина в песках;Артур Конан Дойл;приключения;421;1844;167-9681872973;3.8;32826
Имя розы;Харуки Мураками;любовный роман;449;1822;444-8053152649;3.1;8751
Гарри Поттер и Философский камень;Ярослав Гашек;любовный роман;342;1904;775-1037866762;1.1;37514
Аутсайдеры;Оскар Уайльд;биография;355;2010;976-1962468390;0.4;1796
На игле;Антон Чехов;научная фантастика;331;1815;125-8691757194;2.1;90591
Женщина в песках;Эрих Мария Ремарк;любовный роман;404;1889;209-9721128288;3.4;56197
Гордость и предубеждение;Марк Твен;детская литература;227;1947;351-6682827995;3.2;43211
Процесс;Дон Делилло;научная фантастика;298;1881;770-4555755071;1.7;77773
Имя розы;Джейн Остин;детектив;222;1869;117-2263914092;1.5;10268
Преступление и наказание;Жюль Верн;исторический роман;340;1961;107-3800039554;1.8;1835
Сквозь время;Патрик Зюскинд;триллер;282;1997;192-5671631082;1.8;69672
Дюна;Лев Толстой;приключения;238;1925;726-7727190305;2.7;89591
Молот ведьм;Антон Чехов;детектив;256;1939;299-2066162832;1.1;35580
Рассказ мертвецов;Габриэль Гарсиа Маркес;роман;135;1929;448-4595943861;4.1;97696
Слепота;Эрих Мария Ремарк;исторический роман;214;1813;321-7747576090;2.8;95516
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Салман Рушди;биография;179;1951;762-6336580488;3.8;25688
Приключения Гекльберри Финна;Роберт Льюис Стивенсон;фэнтези;220;1802;763-6496906831;4.3;15942
1984;Владимир Набоков;фэнтези;262;2019;551-2080015562;0.1;16063
Недовольство культурой;Эрнест Хемингуэй;научная фантастика;103;1898;690-6926751366;3.0;4733
Белый шум;Дон Делилло;фэнтези;138;1885;400-5839304065;0.9;75682
Вещие сестрички;Алексей Толстой;биография;306;1882;157-6320450393;0.2;54768
Дюна;Иван Тургенев;роман;444;1980;797-8020809680;2.8;59530
Зеленая миля;Умберто Эко;триллер;377;1887;883-6321484936;3.0;4528
Дракула;Клайв Стейплз Льюис;научная фантастика;296;2014;718-4462426690;2.8;78212
Маленький принц;Тед Хьюз;триллер;413;1945;208-6705304955;2.4;2131
Старик и море;Марк Твен;детектив;391;1930;517-5353291685;1.2;46652
Великий Гэтсби;Джордж Оруэлл;приключения;181;1990;388-4145989785;0.1;51578
Планета обезьян;Синклер Льюис;детектив;284;2023;530-1691611254;4.5;60825
Лев, колдунья и платяной шкаф;Уильям Голдинг;роман;211;1895;360-2297709826;4.9;65572
В дороге;Антон Чехов;детская литература;228;1812;214-3278002730;0.3;36827
Фауст;Оскар Уайльд;научная фантастика;188;1897;547-5372577901;4.2;23559
Лев, колдунья и платяной шкаф;Джейн Остин;фэнтези;201;1839;680-8919075865;4.3;37236
Бегущий по лезвию;Алексей Толстой;детская литература;473;1917;831-1237868156;4.9;93484
Плавучий трава;Иэн Бэнкс;детская литература;487;1987;873-2109813731;0.3;54276
Граф Монте-Кристо;Владимир Набоков;роман;278;1995;900-2217031342;0.5;54107
На игле;Оскар Уайльд;триллер;215;1958;897-2079174112;2.2;89913
Двенадцать стульев;Тед Хьюз;исторический роман;414;1966;353-7540370602;2.0;47438
Бесконечная история;Казуо Исигуро;биография;472;1988;200-6772708279;0.5;20347
О дивный новый мир;Герберт Уэллс;триллер;284;1814;606-3187968600;1.5;14246
Котлован;Синклер Льюис;детектив;220;2019;479-1656283931;5.0;51974
Дракула;Николай Гоголь;триллер;271;1821;722-9660835937;3.1;15609
Гордость и предубеждение;Алексей Толстой;роман;153;1830;581-1391244270;1.9;75171
Исчезнувшая;Ясунари Кавабата;фэнтези;378;1800;691-4386287462;1.6;58759
Страх и отвращение в Лас-Вегасе;Джон Фаулз;фэнтези;479;1982;756-3653289416;3.2;63342
Молот ведьм;Исаак Бабель;детская литература;302;1869;719-9737523617;4.1;32094
Война и мир;Артур Конан Дойл;детская литература;350;1859;948-3237506877;1.4;76435
Война и мир;Джордж Оруэлл;исторический роман;387;1933;911-3851571816;3.1;35518
Фауст;Николай Гоголь;приключения;382;1960;970-7172806244;2.6;72576
Старик и море;Сельма Лагерлёф;фэнтези;337;1839;270-9891034492;3.5;70534
Гроздья гнева;Джордж Оруэлл;детектив;378;1959;576-1809735031;4.5;13177
Маленький принц;Казуо Исигуро;роман;123;1800;749-2793055692;3.5;43841
Хроники Нарнии;Дж. Р. Р. Толкин;биография;290;1971;862-1261416541;4.8;24047
Ватек;Алексей Толстой;исторический роман;499;1914;768-1436910143;4.6;49892
Рассказ мертвецов;Патрик Зюскинд;любовный роман;137;1942;683-3086498853;2.0;32811
Рассказ мертвецов;Станислав Лем;биография;338;1906;264-2798652637;5.0;14981
Под стеклянным колпаком;Дон Делилло;детектив;311;1856;779-3736833478;3.2;54415
Идиот;Оскар Уайльд;приключения;363;1950;877-8892365194;3.0;45233
451 градус по Фаренгейту;Генрих Сенкевич;роман;118;1909;140-6357951039;2.1;89939
Ватек;Марк Твен;научная фантастика;294;1824;797-8435619802;3.7;67035
Бесконечная история;Генрих Сенкевич;роман;431;1898;364-1805760805;0.5;14786
Белый шум;Синклер Льюис;детская литература;310;2004;654-5651297908;4.9;87515
