id;name;street;city;zipcode;floors;year;parking;prob_price;views
940701;Ангар 2;Киевская улица 16;Ташкент;245656;9;1705;True;100518768;38313
667029;Скворечник 42;Краковская улица 81;Артейхо;894308;8;1939;False;39796204;66513
476116;Банк 27;Вроцлавская улица 6;Артейхо;178640;6;1851;False;719305036;82115
355319;Коттедж 89;Краковская улица 48;Лас-Росас;546852;5;2016;False;398366449;49767
128262;Газопровод 53;Морская улица 28;Луарка;413707;9;1973;True;202393237;33048
539166;Музей 26;Морская улица 25;Эльче;707909;9;1842;False;771525818;5859
720545;Церковь 50;Вроцлавская улица 4;Картахена;348726;1;2006;True;163951319;1774
796011;Порт 46;Весенняя улица 6;Картахена;594100;9;1829;False;512432005;53035
528958;Библиотека 56;Зимняя улица 48;Овьедо;143787;7;1641;True;428750986;16968
876739;Магазин 20;Зимняя улица 99;Картахена;196045;3;1954;False;372316851;22534
153740;Гусятник 78;Центральная улица 34;Вильнюс;408482;2;1669;False;830678973;82440
923249;Церковь 97;Осенняя улица 37;Подгорица;621567;9;1795;False;301154466;13973
668771;Больница 25;Школьная улица 19;Хихон;729809;9;1927;False;483511057;48770
822098;Аэропорт 42;Садовая улица 62;Сьюдад-Реаль;152492;7;1957;False;214786367;2123
126887;Кинотеатр 39;Горная улица 11;Сараево;737959;4;1738;False;848048705;60414
199288;Термитник 85;Юбилейная улица 31;Сория;496962;4;1821;False;511948126;21557
291294;Замок 48;Лесная улица 81;Рига;129961;5;1738;True;520743650;28610
254496;Теплотрасса 65;Центральная улица 78;Авилес;515419;10;1828;True;478275120;14194
709491;Аптека 25;Краковская улица 9;Белград;718849;2;1783;False;601315003;34853
893417;Муравейник 63;Весенняя улица 16;Виго;254078;4;1675;True;191187380;99402
854842;Борть 66;Солнечная улица 59;Москва;487001;3;1621;False;731998853;54330
566930;Гнездо 84;Полевая улица 54;Севилья;378009;6;1778;False;956766572;33345
343438;Склад 57;Весенняя улица 100;Фигерас;350991;2;1988;True;753847298;32111
867201;Пандус 86;Центральная улица 51;Будапешт;582028;3;1723;True;776982349;76758
782677;Кошара 62;Киевская улица 81;Душанбе;271734;6;1810;True;517121228;98477
178536;Мушиный лабиринт 45;Морская улица 20;Пласенсия;986392;8;1971;True;501708540;21246
666532;Порт 31;Речная улица 34;Трухильо;674961;5;1747;False;37165976;74228
256489;Дупло 18;Речная улица 93;Луго;610574;2;2019;True;736299733;59762
908731;Страусятник 41;Варшавская улица 92;Таллин;869530;4;1660;False;48197622;32023
813551;Свиноферма 13;Солнечная улица 40;Тудела;220691;9;1736;True;835734095;45446
866400;Псарня 58;Солнечная улица 87;Подгорица;251696;9;1875;True;758150088;12396
644170;Улей 40;Парковая улица 27;Баку;455848;3;1826;False;286219953;52187
519117;Музей 66;Солнечная улица 56;Санхенхо;635610;9;1817;True;314690410;22299
