title;author;genre;pages;published_year;isbn;rating;views
Война и мир;Генрих Сенкевич;детектив;161;1944;216-9806279201;4.7;2225
Город призраков;Марк Твен;триллер;340;1905;915-5695424147;3.7;57235
Заводной апельсин;Джозеф Конрад;фэнтези;485;1865;286-4380980312;4.6;75074
Зеленая миля;Эрих Мария Ремарк;триллер;182;1933;200-4108014499;1.1;86646
По направлению к сваолу;Станислав Лем;детектив;221;1938;702-5001693948;4.4;54358
Плавучий трава;Казуо Исигуро;приключения;400;1902;189-2874023025;3.8;9639
Процесс;Алексей Толстой;детская литература;332;2022;803-3497874811;0.7;61654
Сквозь время;Марк Твен;приключения;197;1966;556-8509481471;4.8;93381
451 градус по Фаренгейту;Станислав Лем;роман;213;1839;444-5475420819;3.5;28507
Исчезнувшая;Федор Достоевский;детектив;115;1845;826-3186631255;1.6;28606
Дракула;Тед Хьюз;роман;195;2000;783-4409368961;3.4;38808
Слепота;Лев Толстой;научная фантастика;455;1968;642-5534373535;2.5;39958
Хроники Нарнии;Габриэль Гарсиа Маркес;детектив;393;1967;266-3232765304;0.5;23991
Недовольство культурой;Патрик Зюскинд;детская литература;167;1857;984-3372513042;2.6;23982
Осиная фабрика;Стивен Кинг;триллер;449;1978;458-4445299384;1.3;49039
Приключения Гекльберри Финна;Салман Рушди;любовный роман;265;2012;853-5896893481;3.6;27103
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Патрик Зюскинд;триллер;472;1996;931-2945848139;0.9;36655
Страх и отвращение в Лас-Вегасе;Габриэль Гарсиа Маркес;приключения;139;1928;607-8536425160;2.7;54602
Падение дома Ашеров;Харпер Ли;любовный роман;442;1995;353-1287038948;4.1;7695
Слепота;Клайв Стейплз Льюис;биография;353;1906;176-7129777190;0.3;43769
Лев, колдунья и платяной шкаф;Юстейн Гордер;исторический роман;124;1963;662-7467328784;1.3;9875
Заводной апельсин;Алан Александр Милн;исторический роман;441;1927;228-3521810507;3.4;90215
Осиная фабрика;Оскар Уайльд;фэнтези;115;1931;292-7518208978;3.4;95187
Слепота;Харпер Ли;научная фантастика;141;1961;495-5493774684;0.4;95413
1984;Майн Рид;любовный роман;459;1985;641-9051004789;1.0;6611
Ватек;Николай Гоголь;приключения;408;1804;122-7715033594;1.3;10823
Солярис;Майн Рид;фэнтези;199;1961;488-3788664142;2.8;52325
Город призраков;Синклер Льюис;фэнтези;268;1905;957-6047254632;4.6;83739
Возвращение в Брайдсхед;Михаил Булгаков;исторический роман;149;2008;651-5139460526;1.7;87993
Процесс;Генрих Сенкевич;любовный роман;281;1990;963-4529153827;1.1;21353
Эпоха невинности;Николай Гоголь;исторический роман;102;2000;668-2053282039;5.0;57018
Ребекка;Ярослав Гашек;биография;100;1872;235-5702281899;4.7;19610
Белый шум;Джордж Оруэлл;детектив;129;2016;787-6159375172;2.4;37104
Котлован;Марк Твен;биография;267;1883;424-8374062393;2.0;76159
Ребекка;Джон Фаулз;детектив;434;1899;811-5848285299;2.4;81234
Вещие сестрички;Синклер Льюис;детская литература;476;1979;794-7353327806;2.3;23189
Мертвые души;Марк Твен;исторический роман;444;1934;812-6726130074;4.6;83249
Аутсайдеры;Генрих Сенкевич;детская литература;300;1965;941-3459633473;1.1;44065
Преступление и наказание;Джозеф Конрад;фэнтези;147;1920;863-5973173220;1.7;95341
