title;author;genre;pages;published_year;isbn;rating;views
Возвращение в Брайдсхед;Иэн Бэнкс;любовный роман;284;1857;669-8322337129;2.4;80346
Повелитель мух;Патрик Зюскинд;любовный роман;310;1851;116-9731571545;0.5;1589
Лолита;Оскар Уайльд;исторический роман;105;2016;989-7500496346;0.1;50590
451 градус по Фаренгейту;Михаил Булгаков;триллер;211;2002;830-1005303300;2.7;29145
Портрет Дориана Грея;Герберт Уэллс;приключения;374;2002;756-7957050536;1.5;70278
Белый шум;Джейн Остин;биография;314;1906;231-8109467690;4.8;3925
Недовольство культурой;Стивен Кинг;научная фантастика;381;1932;355-6857303187;2.1;7492
Сто лет одиночества;Дон Делилло;детская литература;230;1807;645-5060886021;3.0;58249
Недовольство культурой;Юстейн Гордер;фэнтези;366;1835;855-7176667703;1.9;9978
Гордость и предубеждение;Джон Фаулз;научная фантастика;259;1847;969-8704172491;0.5;8968
Прощай, оружие;Дж. Р. Р. Толкин;детектив;119;1888;185-1754406282;1.2;3891
Падение дома Ашеров;Борис Пастернак;приключения;123;1963;233-4271002973;0.4;70571
Граф Монте-Кристо;Ясунари Кавабата;детская литература;263;2015;690-3207533669;2.7;77322
Женщина в песках;Фрэнсис Скотт Фицджеральд;детская литература;266;1970;977-7797512628;4.8;33904
Двенадцать стульев;Артур Конан Дойл;детектив;331;1992;355-6254504032;2.8;38947
Сумерки;Эрнест Хемингуэй;приключения;286;1994;639-2059947732;0.9;63306
Кандида;Иван Тургенев;фэнтези;460;1973;199-5641900895;3.6;91986
Волхв;Александр Пушкин;фэнтези;237;1893;720-2447384848;4.2;70012
Лев, колдунья и платяной шкаф;Оскар Уайльд;детская литература;192;1989;406-4640190649;0.4;20654
Солярис;Антон Чехов;биография;181;2014;906-7521758342;1.5;10707
Черный дом;Джон Фаулз;триллер;342;1966;295-8825020882;1.2;39179
Зеленая миля;Джозеф Конрад;роман;197;1951;191-6519129869;2.4;95119
Молот ведьм;Уильям Голдинг;научная фантастика;107;2010;168-9567128348;5.0;23831
По направлению к сваолу;Артур Конан Дойл;детская литература;397;1921;298-1487536488;3.5;3176
В дороге;Харпер Ли;детектив;447;1904;294-3004355438;3.9;70698
Бесконечная история;Федор Достоевский;триллер;397;1831;176-2010374521;0.7;93941
Бесконечная история;Иван Тургенев;научная фантастика;478;1986;388-6502475994;1.4;36723
Зеленая миля;Владимир Набоков;биография;419;1981;217-7287342040;3.7;15928
Лолита;Александр Пушкин;научная фантастика;156;1963;332-9654791564;3.5;12209
Бухта Эсмеральда;Герберт Уэллс;детектив;303;2006;146-5770509307;2.3;92073
Фауст;Джек Лондон;триллер;261;1959;924-7448533345;2.3;75925
Падение дома Ашеров;Джордж Оруэлл;биография;476;1831;291-1347934107;0.2;96903
Сквозь время;Герберт Уэллс;триллер;450;2016;216-1770595779;1.5;77726
Слепота;Джейн Остин;любовный роман;109;2021;601-5225549330;3.9;71862
Дюна;Иван Тургенев;триллер;152;1994;867-7881279308;3.3;28757
Франкенштейн;Эрих Мария Ремарк;приключения;336;1875;154-7671373108;3.4;55551
Аутсайдеры;Казуо Исигуро;фэнтези;500;1914;614-5841207146;3.1;28717
Осиная фабрика;Джон Фаулз;фэнтези;241;1926;843-5873589219;1.0;3752
Дюна;Колин Маккалоу;роман;141;1832;952-1478476048;4.4;70970
Аутсайдеры;Федор Достоевский;триллер;233;1864;935-5666019511;1.3;22367
Бесконечная история;Михаил Булгаков;исторический роман;357;1980;593-6704459815;0.9;59179
Старик и море;Колин Маккалоу;любовный роман;207;1818;223-5551175600;3.2;93278
Мертвые души;Алан Александр Милн;детская литература;452;1844;452-8257509995;4.4;94484
Скотный двор;Михаил Булгаков;роман;212;1983;105-2458799742;1.6;89408
Сто лет одиночества;Тед Хьюз;детектив;309;1832;394-4917722475;4.0;85978
Город призраков;Исаак Бабель;детская литература;495;1882;602-2255750487;3.4;55010
Белый шум;Жюль Верн;роман;320;1953;250-1771917178;2.7;65144
Цветы для Элджернона;Джон Фаулз;триллер;105;1927;810-9082497827;0.2;12921
Зеленая миля;Александр Пушкин;любовный роман;189;1964;227-5354272215;1.4;47811
Преступление и наказание;Александр Пушкин;триллер;288;1895;877-5145861577;3.0;38697
Прощай, оружие;Джозеф Конрад;триллер;262;1830;969-2489103079;3.2;4713
Убить пересмешника;Харуки Мураками;приключения;364;1919;595-9911144716;3.8;40851
Волхв;Алан Александр Милн;исторический роман;236;1808;977-5645394011;4.2;82432
Недовольство культурой;Борис Пастернак;триллер;380;1840;936-3581987708;1.8;96780
Мастер и Маргарита;Колин Маккалоу;детектив;173;2001;483-6215083511;3.0;29370
Бухта Эсмеральда;Ярослав Гашек;детектив;324;1801;807-3646653911;5.0;24558
Страх и отвращение в Лас-Вегасе;Клайв Стейплз Льюис;биография;337;1941;361-3319746521;2.9;56426
Гордость и предубеждение;Алексей Толстой;детская литература;268;1914;544-1579101579;2.2;78159
Старик и море;Колин Маккалоу;биография;377;1966;354-1240141038;1.8;47394
Город призраков;Антон Чехов;роман;239;1937;821-6947079538;4.0;34865
20 000 лье под водой;Колин Маккалоу;триллер;219;1894;164-2842184769;2.9;59805
Великий Гэтсби;Генрих Сенкевич;фэнтези;101;1987;281-7746777349;3.7;22245
Рассказ мертвецов;Джон Фаулз;научная фантастика;225;1988;128-9292488250;3.7;39505
Страх и отвращение в Лас-Вегасе;Владимир Набоков;триллер;309;1976;268-1991207048;0.2;66665
Бойня номер пять, или Крестовый поход детей;Харуки Мураками;исторический роман;195;1991;196-3920344446;1.6;89832
Рассказ мертвецов;Эрнест Хемингуэй;фэнтези;108;1970;544-3973569744;1.2;6197
Эпоха невинности;Патрик Зюскинд;биография;113;1977;863-3568488872;1.7;69718
Бухта Эсмеральда;Михаил Булгаков;роман;219;1958;164-7955645691;0.1;57984
Котлован;Джордж Оруэлл;биография;144;1999;577-4087093647;2.5;51792
На игле;Сельма Лагерлёф;научная фантастика;137;1863;169-3513437206;4.3;90958
Ночная стража;Антон Чехов;любовный роман;368;1879;977-2798883543;0.2;55723
Падение дома Ашеров;Джон Фаулз;научная фантастика;183;1924;794-7717503937;4.7;42499
Ночная стража;Харпер Ли;приключения;143;1903;251-8646412423;4.4;21100
Божество реки;Казуо Исигуро;приключения;384;1848;763-8342955766;5.0;32643
Свет в лесу;Патрик Зюскинд;триллер;301;2008;661-6231449233;1.8;88936
Хроники Нарнии;Ярослав Гашек;научная фантастика;418;1926;388-4783707687;2.9;35465
Солярис;Михаил Булгаков;научная фантастика;174;1998;342-5988204162;0.7;64760
Планета обезьян;Михаил Булгаков;триллер;430;1891;595-5641750913;3.0;4408
Зеленая миля;Лев Толстой;детектив;342;1864;289-3250983588;1.9;44858
Алхимик;Эрих Мария Ремарк;любовный роман;390;1926;502-8959173203;0.7;90671
В дороге;Эрнест Хемингуэй;детская литература;150;1984;613-1615168705;5.0;38050
Недовольство культурой;Роберт Льюис Стивенсон;детектив;469;1859;563-8645177560;1.6;5075
Эпоха невинности;Борис Пастернак;научная фантастика;195;1844;170-6662653156;0.2;17547
Под стеклянным колпаком;Юстейн Гордер;научная фантастика;341;1875;903-6005476268;3.8;95886
Планета обезьян;Колин Маккалоу;детская литература;298;1921;990-4662243293;4.6;59191
По направлению к сваолу;Джек Лондон;биография;265;1893;625-7139310120;0.4;39154
Граф Монте-Кристо;Антон Чехов;роман;434;1951;244-1108184971;1.6;90487
Двенадцать стульев;Джейн Остин;исторический роман;130;1944;222-6898048158;1.5;77722
Сто лет одиночества;Станислав Лем;исторический роман;392;1920;198-5622056421;1.9;70930
Трудно быть богом;Артур Конан Дойл;приключения;393;1820;665-6532520947;4.4;29329
Заводной апельсин;Уильям Голдинг;роман;309;2015;969-9756534319;0.3;75741
20 000 лье под водой;Ярослав Гашек;триллер;399;1919;642-5592800962;3.4;4653
Идиот;Марк Твен;исторический роман;371;1846;656-3147882386;2.6;56639
Волхв;Алан Александр Милн;фэнтези;296;1929;997-1799201477;2.4;87320
Твин Пикс: Воспоминания специального агента ФБР Дейла Купера;Ясунари Кавабата;фэнтези;327;1845;363-5001292094;3.4;28868
1984;Дон Делилло;биография;115;1829;744-5004075422;1.1;34155
Большие надежды;Ясунари Кавабата;биография;130;1919;598-6409244268;4.6;90839
Плавучий трава;Эрнест Хемингуэй;приключения;189;1899;892-4456028092;4.9;41832
