id;name;city;begin;system;tours_count;min_rating;time_on_game
463164;Ставангер 2010;Луго;17.08;Swiss;7;2229;157
104420;Тилбург 1981;Тарраса;08.03;circular;12;2355;103
392979;Sinquefield Cup 1983;Любляна;09.08;Swiss;14;2295;92
623851;Кубок мира 1960;Хельсинки;25.05;circular;15;2373;178
200560;Макартур 1978;Сантьяго-де-Компостела;18.04;Swiss;14;2528;114
627558;Алушта 2005;Баку;26.05;Olympic;9;2557;47
223928;Пальма 1966;Кордова;19.02;circular;13;2340;167
364652;Реджо-нель-Эмилия 1989;Тирана;17.11;Swiss;14;2423;21
908389;Лондон 1962;Аликанте;26.07;Olympic;7;2274;33
928280;Чемпионат мира 2017;Бланес;23.06;circular;11;2436;99
682759;Цюрих 2017;Навалькарнеро;05.08;circular;9;2305;94
667266;Макартур 1980;Эль-Пуэрто-де-Санта-Мария;08.08;circular;10;2569;118
378893;Макартур 1990;Куэнка;20.01;Olympic;14;2319;23
885834;Шамкович 1956;Ташкент;08.05;Olympic;14;2632;20
781860;Ставангер 2019;Любляна;21.01;Olympic;13;2247;94
511816;Линарес 1975;Душанбе;03.11;circular;12;2618;99
251769;Вена 1963;Севилья;15.09;Swiss;10;2621;136
700910;Кубок мира 2008;Малага;14.01;circular;11;2592;57
589532;Аэрофлот Опен 1953;Фигерас;25.10;circular;7;2596;76
563787;Гашиш 1959;Картахена;03.07;circular;14;2600;104
588990;Дортмунд 1996;Малага;15.04;Swiss;7;2465;150
769344;Балтийская цепь 2010;Мартоса;26.01;circular;10;2531;95
245880;Вейк-ан-Зее 1986;Рига;04.04;circular;11;2509;83
100398;Гашиш 1956;Хельсинки;04.09;Swiss;14;2544;56
418955;Мемориал Таля 2011;Тирана;24.09;Olympic;13;2253;140
114911;Цюрих 1961;Севилья;06.03;Swiss;12;2461;49
305408;Пальма 1969;Белград;27.06;Swiss;12;2444;112
722562;Макартур 2007;Бильбао;01.10;Olympic;7;2536;113
711933;Кубок мира 1971;Кишинев;25.12;circular;10;2415;36
402641;Европа 1970;Навалькарнеро;06.08;Swiss;10;2271;82
464671;Чемпионат мира 1950;Самора;24.12;circular;8;2480;18
499242;Тилбург 1985;Куэнка;01.10;Olympic;9;2327;104
919283;Лондон 1951;Кадакес;03.09;circular;14;2428;16
147733;Алушта 2010;Москва;20.09;Swiss;10;2546;111
376629;Гран-при ФИДЕ 1997;Бишкек;02.04;Olympic;10;2556;36
807984;Сент-Луис 2015;Овьедо;24.11;Olympic;8;2573;51
688342;Реджо-нель-Эмилия 1967;Осера;08.08;circular;7;2424;23
361743;Сент-Луис 1964;Навалькарнеро;02.01;Swiss;9;2429;119
877187;Алушта 1972;София;28.06;Olympic;8;2201;140
683932;Турнир претендентов 1982;Камбадос;01.11;Swiss;15;2536;89
666385;Политика 1989;Осера;13.01;Olympic;8;2268;30
284593;Sinquefield Cup 1968;Луарка;18.10;circular;7;2426;98
384158;Гашиш 2014;Сараево;10.07;circular;13;2261;99
180379;Алушта 2011;Овьедо;09.01;Swiss;14;2335;67
400692;Цюрих 1951;Аликанте;09.07;Swiss;9;2332;140
573494;Шамкович 1952;Тудела;15.12;Swiss;9;2398;22
536688;Кубок мира 1982;Хельсинки;26.11;Swiss;15;2465;178
797215;Гран-при ФИДЕ 1972;Санхенхо;24.03;Swiss;9;2201;122
435681;Линарес 2008;Эль-Пуэрто-де-Санта-Мария;15.10;Swiss;6;2269;23
952124;Вейк-ан-Зее 1999;Сьюдад-Реаль;21.11;Swiss;12;2465;179
949467;Sinquefield Cup 2002;Артейхо;28.11;Swiss;11;2390;172
863450;Политика 1979;Загреб;18.09;Olympic;10;2630;168
553370;Пальма 2011;Тбилиси;01.01;circular;11;2294;36
964895;Политика 2008;Камбадос;03.02;Olympic;10;2529;75
755504;Европа 1952;Гранада;15.09;Swiss;12;2367;108
307375;Гашиш 2002;Махадаонда;23.02;circular;7;2584;25
188332;Реджо-нель-Эмилия 1954;Рига;08.09;Swiss;14;2423;37
721510;Балтийская цепь 1982;Сан-Себастьян;21.09;Swiss;7;2202;97
811701;Кубок мира 1963;Краков;04.04;Olympic;15;2559;87
624744;Аэрофлот Опен 1954;Минск;14.08;Olympic;9;2565;74
528666;Алушта 2016;Астана;18.04;Swiss;11;2618;65
433243;Цюрих 1968;Махадаонда;14.10;Swiss;9;2382;19
135626;Политика 1989;Осера;04.10;Olympic;11;2503;122
978258;Вейк-ан-Зее 1958;Рига;18.06;Olympic;8;2497;171
399903;Пойковский 1996;Самора;25.10;circular;6;2350;97
127456;Хогевен 1970;Навалькарнеро;21.09;circular;7;2645;174
959631;Сент-Луис 1992;Сараево;12.01;circular;9;2390;93
851099;Пойковский 1998;Пласенсия;01.02;circular;15;2491;40
483539;Гашиш 1997;Бишкек;20.04;Swiss;12;2511;73
453140;Sinquefield Cup 1984;Афины;07.07;Olympic;10;2262;79
617348;Вена 1961;Монсон;09.06;circular;15;2248;131
321844;Вена 2012;Сория;22.06;circular;13;2645;132
203637;Ставангер 1976;Артейхо;19.06;Swiss;14;2417;133
279734;Ставангер 1963;Кордова;23.05;Swiss;7;2469;136
164668;Лондон 1961;Мурсия;07.01;Olympic;6;2581;105
775115;Политика 2005;Малага;05.12;Swiss;14;2264;22
922446;Ставангер 2008;Севилья;14.09;circular;14;2407;59
180058;Ставангер 1970;Минск;12.07;circular;12;2232;25
174295;Макартур 1950;Сантьяго-де-Компостела;22.02;Olympic;15;2354;111
542030;Балтийская цепь 1972;Хихон;19.04;circular;12;2441;179
582696;Аэрофлот Опен 2024;Мартоса;16.02;circular;13;2413;137
